backbone,block,rank,u_abs_mean,u_abs_CI95_L,u_abs_CI95_U,u_spec_mean,u_spec_CI95_L,u_spec_CI95_U,p_raw_harmful,p_raw_protected,p_holm_harmful,p_holm_protected
EEGConformer,P01_04,4,-0.03563555309808787,-0.07081706949344113,-0.0017649696949186245,-0.028048049948761134,-0.05594555334021294,-0.0007942967525659963,0.025699743002569973,0.973150268497315,0.10279897201027989,1.0
EEGConformer,P05_08,4,-0.006125732201379381,-0.010248831849941043,-0.0024719870388330827,-4.6042345874691135e-05,-0.0038489897836957968,0.0035691578261215487,0.4876451235487645,0.5090649093509065,1.0,1.0
EEGConformer,P09_16,8,-0.0019196503221411215,-0.004978315746585254,0.0011240994907667373,0.0066554251740687355,0.0026336076560009164,0.01115876983560057,0.998440015599844,0.0015299847001529984,1.0,0.0045899541004589955
EEGConformer,P17_32,16,-0.0016907242901813926,-0.006300122459993572,0.0028901717687274094,0.014658887424016028,0.009153079667384168,0.020842643663589747,1.0,9.99990000099999e-06,1.0,3.999960000399996e-05
