Task,subject_id,contrast,WS_delta,Future_delta
OpenBMI_ERP,29,U-R,0.11731249999999993,0.08356249999999998
OpenBMI_ERP,36,J-U,0.0,0.0
OpenBMI_ERP,36,J-P,0.03749999999999998,0.025000000000000022
OpenBMI_ERP,36,P-R,0.07815625000000004,0.0773125
OpenBMI_ERP,36,U-R,0.11565625000000002,0.10231250000000003
OpenBMI_ERP,37,J-U,0.0,0.0
OpenBMI_ERP,37,J-P,0.06874999999999998,0.09375
OpenBMI_ERP,37,P-R,0.06165624999999997,0.038968749999999996
OpenBMI_ERP,37,U-R,0.13040624999999995,0.13271875
OpenBMI_ERP,39,J-U,0.0,0.0
OpenBMI_ERP,39,J-P,0.12812500000000004,0.15000000000000002
OpenBMI_ERP,39,P-R,-0.0319687500000001,-0.045093750000000044
OpenBMI_ERP,39,U-R,0.09615624999999994,0.10490624999999998
OpenBMI_ERP,42,J-U,0.0,0.0
OpenBMI_ERP,42,J-P,0.13437500000000002,0.13437500000000002
OpenBMI_ERP,42,P-R,0.017843750000000047,-0.002875000000000072
OpenBMI_ERP,42,U-R,0.15221875000000007,0.13149999999999995
OpenBMI_ERP,51,J-U,0.0,0.0
OpenBMI_ERP,51,J-P,0.08749999999999991,0.09999999999999998
OpenBMI_ERP,51,P-R,0.024781250000000088,0.019874999999999976
OpenBMI_ERP,51,U-R,0.11228125,0.11987499999999995
OpenBMI_ERP,54,J-U,0.0,0.0
OpenBMI_ERP,54,J-P,0.13437500000000002,0.10624999999999996
OpenBMI_ERP,54,P-R,-0.03818750000000004,0.0172500000000001
OpenBMI_ERP,54,U-R,0.09618749999999998,0.12350000000000005
OpenBMI_SSVEP,4,J-U,-0.039999999999999925,-0.016000000000000014
OpenBMI_SSVEP,4,J-P,0.3440000000000001,0.256
OpenBMI_SSVEP,4,P-R,-0.20157999999999998,-0.15823999999999994
OpenBMI_SSVEP,4,U-R,0.18242000000000003,0.11376000000000008
OpenBMI_SSVEP,12,J-U,-0.04399999999999993,-0.04399999999999993
OpenBMI_SSVEP,12,J-P,0.3260000000000002,0.3260000000000002
OpenBMI_SSVEP,12,P-R,-0.15986,-0.16411999999999993
OpenBMI_SSVEP,12,U-R,0.2101400000000001,0.20588000000000017
OpenBMI_SSVEP,13,J-U,-0.06399999999999995,-0.06399999999999995
OpenBMI_SSVEP,13,J-P,0.2940000000000001,0.24200000000000005
OpenBMI_SSVEP,13,P-R,-0.16710000000000003,-0.11834000000000006
OpenBMI_SSVEP,13,U-R,0.19090000000000001,0.18765999999999994
OpenBMI_SSVEP,17,J-U,-0.038000000000000034,-0.051999999999999935
OpenBMI_SSVEP,17,J-P,0.236,0.2839999999999999
OpenBMI_SSVEP,17,P-R,-0.0809200000000001,-0.11104000000000003
OpenBMI_SSVEP,17,U-R,0.19307999999999992,0.22495999999999983
OpenBMI_SSVEP,18,J-U,-0.018000000000000127,-0.014000000000000123
OpenBMI_SSVEP,18,J-P,0.246,0.276
OpenBMI_SSVEP,18,P-R,-0.13332000000000022,-0.16388000000000025
OpenBMI_SSVEP,18,U-R,0.1306799999999999,0.1261199999999999
OpenBMI_SSVEP,24,J-U,-0.03199999999999992,-0.02000000000000013
OpenBMI_SSVEP,24,J-P,0.346,0.3719999999999999
OpenBMI_SSVEP,24,P-R,-0.16759999999999997,-0.17286
OpenBMI_SSVEP,24,U-R,0.21039999999999992,0.21914
OpenBMI_SSVEP,25,J-U,-0.029999999999999916,-0.029999999999999916
OpenBMI_SSVEP,25,J-P,0.42000000000000004,0.42000000000000004
OpenBMI_SSVEP,25,P-R,-0.24062000000000006,-0.24102000000000012
OpenBMI_SSVEP,25,U-R,0.2093799999999999,0.20897999999999983
OpenBMI_SSVEP,29,J-U,-0.029999999999999916,-0.027999999999999914
OpenBMI_SSVEP,29,J-P,0.456,0.37
OpenBMI_SSVEP,29,P-R,-0.2623800000000001,-0.20592
OpenBMI_SSVEP,29,U-R,0.22361999999999982,0.19207999999999992
OpenBMI_SSVEP,36,J-U,-0.0119999999999999,-0.02400000000000002
OpenBMI_SSVEP,36,J-P,0.22399999999999998,0.23399999999999999
OpenBMI_SSVEP,36,P-R,-0.08357999999999988,-0.10721999999999987
OpenBMI_SSVEP,36,U-R,0.15242,0.15078000000000014
OpenBMI_SSVEP,37,J-U,-0.027999999999999914,-0.040000000000000036
OpenBMI_SSVEP,37,J-P,0.29200000000000004,0.29000000000000004
OpenBMI_SSVEP,37,P-R,-0.13763999999999998,-0.16570000000000007
OpenBMI_SSVEP,37,U-R,0.18235999999999997,0.1643
OpenBMI_SSVEP,39,J-U,-0.038000000000000145,-0.026000000000000023
OpenBMI_SSVEP,39,J-P,0.4019999999999998,0.3779999999999999
OpenBMI_SSVEP,39,P-R,-0.20686000000000004,-0.20006000000000002
OpenBMI_SSVEP,39,U-R,0.2331399999999999,0.2039399999999999
OpenBMI_SSVEP,42,J-U,-0.028000000000000136,-0.028000000000000136
OpenBMI_SSVEP,42,J-P,0.20599999999999985,0.20599999999999985
OpenBMI_SSVEP,42,P-R,-0.11681999999999998,-0.11689999999999995
OpenBMI_SSVEP,42,U-R,0.11718,0.11710000000000004
OpenBMI_SSVEP,51,J-U,-0.04800000000000004,-0.06599999999999995
OpenBMI_SSVEP,51,J-P,0.21000000000000002,0.26599999999999996
OpenBMI_SSVEP,51,P-R,-0.10704000000000002,-0.13310000000000005
OpenBMI_SSVEP,51,U-R,0.15096000000000004,0.19889999999999985
OpenBMI_SSVEP,54,J-U,-0.00599999999999995,-0.008000000000000007
OpenBMI_SSVEP,54,J-P,0.126,0.18199999999999994
OpenBMI_SSVEP,54,P-R,-0.04683999999999999,-0.07004000000000005
OpenBMI_SSVEP,54,U-R,0.08515999999999996,0.1199599999999999
WBCIC_MI,sub-4,J-U,0.0,0.0
WBCIC_MI,sub-4,J-P,0.07500000000000001,0.06874999999999998
WBCIC_MI,sub-4,P-R,-0.006343750000000037,0.060968750000000016
WBCIC_MI,sub-4,U-R,0.06865624999999997,0.12971875
WBCIC_MI,sub-8,J-U,0.0,0.0
WBCIC_MI,sub-8,J-P,0.22812500000000002,0.21250000000000002
WBCIC_MI,sub-8,P-R,0.06978125000000002,0.06359375
WBCIC_MI,sub-8,U-R,0.29790625000000004,0.27609375
WBCIC_MI,sub-10,J-U,0.0,0.0
WBCIC_MI,sub-10,J-P,0.03437499999999993,0.125
WBCIC_MI,sub-10,P-R,0.09303125000000007,0.11553124999999997
WBCIC_MI,sub-10,U-R,0.12740625,0.24053124999999997
WBCIC_MI,sub-15,J-U,0.0,0.0
WBCIC_MI,sub-15,J-P,0.04999999999999993,0.03750000000000009
WBCIC_MI,sub-15,P-R,0.12987500000000002,0.12046875000000001
WBCIC_MI,sub-15,U-R,0.17987499999999995,0.1579687500000001
WBCIC_MI,sub-20,J-U,0.0,0.0
WBCIC_MI,sub-20,J-P,-0.021874999999999978,-0.021874999999999978
WBCIC_MI,sub-20,P-R,0.06837499999999996,0.034406249999999916
WBCIC_MI,sub-20,U-R,0.046499999999999986,0.012531249999999938
WBCIC_MI,sub-39,J-U,0.0,0.0
WBCIC_MI,sub-39,J-P,0.04062500000000002,0.14687499999999998
WBCIC_MI,sub-39,P-R,0.011812500000000004,0.07215625000000003
WBCIC_MI,sub-39,U-R,0.052437500000000026,0.21903125
WBCIC_MI,sub-40,J-U,0.0,0.0
