Future_BA,Model,Task,WS_BA,fold,seed,selector,subject_id
0.609375,EEGNet,OpenBMI_MI,0.546875,0,0,PERSISTENCE_ONLY,4
0.609375,EEGNet,OpenBMI_MI,0.609375,0,0,PERSISTENCE_ONLY,12
0.640625,EEGNet,OpenBMI_MI,0.59375,0,0,PERSISTENCE_ONLY,13
0.609375,EEGNet,OpenBMI_MI,0.609375,0,0,PERSISTENCE_ONLY,17
0.578125,EEGNet,OpenBMI_MI,0.5625,0,0,PERSISTENCE_ONLY,18
0.5,EEGNet,OpenBMI_MI,0.5,0,0,PERSISTENCE_ONLY,24
0.953125,EEGNet,OpenBMI_MI,0.71875,0,0,PERSISTENCE_ONLY,25
0.515625,EEGNet,OpenBMI_MI,0.515625,0,0,PERSISTENCE_ONLY,29
0.765625,EEGNet,OpenBMI_MI,0.71875,0,0,PERSISTENCE_ONLY,36
0.625,EEGNet,OpenBMI_MI,0.609375,0,0,PERSISTENCE_ONLY,37
0.546875,EEGNet,OpenBMI_MI,0.546875,0,0,PERSISTENCE_ONLY,39
0.625,EEGNet,OpenBMI_MI,0.546875,0,0,PERSISTENCE_ONLY,42
0.609375,EEGNet,OpenBMI_MI,0.59375,0,0,PERSISTENCE_ONLY,51
0.625,EEGNet,OpenBMI_MI,0.53125,0,0,PERSISTENCE_ONLY,54
0.609375,EEGNet,OpenBMI_MI,0.546875,0,0,UTILITY_ONLY,4
0.609375,EEGNet,OpenBMI_MI,0.609375,0,0,UTILITY_ONLY,12
0.640625,EEGNet,OpenBMI_MI,0.59375,0,0,UTILITY_ONLY,13
0.609375,EEGNet,OpenBMI_MI,0.609375,0,0,UTILITY_ONLY,17
0.578125,EEGNet,OpenBMI_MI,0.5625,0,0,UTILITY_ONLY,18
0.5,EEGNet,OpenBMI_MI,0.5,0,0,UTILITY_ONLY,24
0.953125,EEGNet,OpenBMI_MI,0.71875,0,0,UTILITY_ONLY,25
0.515625,EEGNet,OpenBMI_MI,0.515625,0,0,UTILITY_ONLY,29
0.765625,EEGNet,OpenBMI_MI,0.71875,0,0,UTILITY_ONLY,36
0.625,EEGNet,OpenBMI_MI,0.609375,0,0,UTILITY_ONLY,37
0.546875,EEGNet,OpenBMI_MI,0.546875,0,0,UTILITY_ONLY,39
0.625,EEGNet,OpenBMI_MI,0.546875,0,0,UTILITY_ONLY,42
0.609375,EEGNet,OpenBMI_MI,0.59375,0,0,UTILITY_ONLY,51
0.625,EEGNet,OpenBMI_MI,0.53125,0,0,UTILITY_ONLY,54
0.609375,EEGNet,OpenBMI_MI,0.546875,0,0,JOINT,4
0.609375,EEGNet,OpenBMI_MI,0.609375,0,0,JOINT,12
0.640625,EEGNet,OpenBMI_MI,0.59375,0,0,JOINT,13
0.609375,EEGNet,OpenBMI_MI,0.609375,0,0,JOINT,17
0.578125,EEGNet,OpenBMI_MI,0.5625,0,0,JOINT,18
0.5,EEGNet,OpenBMI_MI,0.5,0,0,JOINT,24
0.953125,EEGNet,OpenBMI_MI,0.71875,0,0,JOINT,25
0.515625,EEGNet,OpenBMI_MI,0.515625,0,0,JOINT,29
0.765625,EEGNet,OpenBMI_MI,0.71875,0,0,JOINT,36
0.625,EEGNet,OpenBMI_MI,0.609375,0,0,JOINT,37
0.546875,EEGNet,OpenBMI_MI,0.546875,0,0,JOINT,39
0.625,EEGNet,OpenBMI_MI,0.546875,0,0,JOINT,42
0.609375,EEGNet,OpenBMI_MI,0.59375,0,0,JOINT,51
0.625,EEGNet,OpenBMI_MI,0.53125,0,0,JOINT,54
0.63,EEGNet,OpenBMI_MI,0.5690625,0,0,RANDOM,4
0.54875,EEGNet,OpenBMI_MI,0.5346875,0,0,RANDOM,12
0.54203125,EEGNet,OpenBMI_MI,0.516875,0,0,RANDOM,13
0.53390625,EEGNet,OpenBMI_MI,0.52890625,0,0,RANDOM,17
0.564375,EEGNet,OpenBMI_MI,0.52421875,0,0,RANDOM,18
0.55890625,EEGNet,OpenBMI_MI,0.53546875,0,0,RANDOM,24
0.73671875,EEGNet,OpenBMI_MI,0.59015625,0,0,RANDOM,25
0.49671875,EEGNet,OpenBMI_MI,0.4559375,0,0,RANDOM,29
0.64078125,EEGNet,OpenBMI_MI,0.605,0,0,RANDOM,36
0.56390625,EEGNet,OpenBMI_MI,0.51984375,0,0,RANDOM,37
0.545625,EEGNet,OpenBMI_MI,0.5321875,0,0,RANDOM,39
0.55953125,EEGNet,OpenBMI_MI,0.531875,0,0,RANDOM,42
0.5553125,EEGNet,OpenBMI_MI,0.518125,0,0,RANDOM,51
0.56421875,EEGNet,OpenBMI_MI,0.5315625,0,0,RANDOM,54
0.78125,EEGNet,OpenBMI_MI,0.671875,1,0,PERSISTENCE_ONLY,4
0.6875,EEGNet,OpenBMI_MI,0.6875,1,0,PERSISTENCE_ONLY,12
0.65625,EEGNet,OpenBMI_MI,0.640625,1,0,PERSISTENCE_ONLY,13
0.6875,EEGNet,OpenBMI_MI,0.6875,1,0,PERSISTENCE_ONLY,17
0.625,EEGNet,OpenBMI_MI,0.625,1,0,PERSISTENCE_ONLY,18
0.59375,EEGNet,OpenBMI_MI,0.59375,1,0,PERSISTENCE_ONLY,24
0.96875,EEGNet,OpenBMI_MI,0.6875,1,0,PERSISTENCE_ONLY,25
0.640625,EEGNet,OpenBMI_MI,0.5,1,0,PERSISTENCE_ONLY,29
0.828125,EEGNet,OpenBMI_MI,0.734375,1,0,PERSISTENCE_ONLY,36
0.734375,EEGNet,OpenBMI_MI,0.578125,1,0,PERSISTENCE_ONLY,37
0.515625,EEGNet,OpenBMI_MI,0.515625,1,0,PERSISTENCE_ONLY,39
0.65625,EEGNet,OpenBMI_MI,0.5625,1,0,PERSISTENCE_ONLY,42
0.640625,EEGNet,OpenBMI_MI,0.640625,1,0,PERSISTENCE_ONLY,51
0.671875,EEGNet,OpenBMI_MI,0.609375,1,0,PERSISTENCE_ONLY,54
0.78125,EEGNet,OpenBMI_MI,0.671875,1,0,UTILITY_ONLY,4
0.6875,EEGNet,OpenBMI_MI,0.6875,1,0,UTILITY_ONLY,12
0.65625,EEGNet,OpenBMI_MI,0.640625,1,0,UTILITY_ONLY,13
0.6875,EEGNet,OpenBMI_MI,0.6875,1,0,UTILITY_ONLY,17
0.625,EEGNet,OpenBMI_MI,0.625,1,0,UTILITY_ONLY,18
0.59375,EEGNet,OpenBMI_MI,0.59375,1,0,UTILITY_ONLY,24
0.96875,EEGNet,OpenBMI_MI,0.6875,1,0,UTILITY_ONLY,25
0.640625,EEGNet,OpenBMI_MI,0.5,1,0,UTILITY_ONLY,29
0.828125,EEGNet,OpenBMI_MI,0.734375,1,0,UTILITY_ONLY,36
0.734375,EEGNet,OpenBMI_MI,0.578125,1,0,UTILITY_ONLY,37
0.515625,EEGNet,OpenBMI_MI,0.515625,1,0,UTILITY_ONLY,39
0.65625,EEGNet,OpenBMI_MI,0.5625,1,0,UTILITY_ONLY,42
0.640625,EEGNet,OpenBMI_MI,0.640625,1,0,UTILITY_ONLY,51
0.671875,EEGNet,OpenBMI_MI,0.609375,1,0,UTILITY_ONLY,54
0.78125,EEGNet,OpenBMI_MI,0.671875,1,0,JOINT,4
0.6875,EEGNet,OpenBMI_MI,0.6875,1,0,JOINT,12
0.65625,EEGNet,OpenBMI_MI,0.640625,1,0,JOINT,13
0.6875,EEGNet,OpenBMI_MI,0.6875,1,0,JOINT,17
0.625,EEGNet,OpenBMI_MI,0.625,1,0,JOINT,18
0.59375,EEGNet,OpenBMI_MI,0.59375,1,0,JOINT,24
0.96875,EEGNet,OpenBMI_MI,0.6875,1,0,JOINT,25
0.640625,EEGNet,OpenBMI_MI,0.5,1,0,JOINT,29
0.828125,EEGNet,OpenBMI_MI,0.734375,1,0,JOINT,36
0.734375,EEGNet,OpenBMI_MI,0.578125,1,0,JOINT,37
0.515625,EEGNet,OpenBMI_MI,0.515625,1,0,JOINT,39
0.65625,EEGNet,OpenBMI_MI,0.5625,1,0,JOINT,42
0.640625,EEGNet,OpenBMI_MI,0.640625,1,0,JOINT,51
0.671875,EEGNet,OpenBMI_MI,0.609375,1,0,JOINT,54
0.58890625,EEGNet,OpenBMI_MI,0.536875,1,0,RANDOM,4
0.55140625,EEGNet,OpenBMI_MI,0.5328125,1,0,RANDOM,12
0.55125,EEGNet,OpenBMI_MI,0.52265625,1,0,RANDOM,13
0.5459375,EEGNet,OpenBMI_MI,0.53203125,1,0,RANDOM,17
0.553125,EEGNet,OpenBMI_MI,0.5371875,1,0,RANDOM,18
0.530625,EEGNet,OpenBMI_MI,0.504375,1,0,RANDOM,24
0.755,EEGNet,OpenBMI_MI,0.58625,1,0,RANDOM,25
0.5475,EEGNet,OpenBMI_MI,0.515625,1,0,RANDOM,29
0.65625,EEGNet,OpenBMI_MI,0.61125,1,0,RANDOM,36
0.55375,EEGNet,OpenBMI_MI,0.50359375,1,0,RANDOM,37
0.54296875,EEGNet,OpenBMI_MI,0.5309375,1,0,RANDOM,39
0.54734375,EEGNet,OpenBMI_MI,0.51,1,0,RANDOM,42
0.55234375,EEGNet,OpenBMI_MI,0.5190625,1,0,RANDOM,51
0.555,EEGNet,OpenBMI_MI,0.52015625,1,0,RANDOM,54
0.796875,EEGNet,OpenBMI_MI,0.703125,2,0,PERSISTENCE_ONLY,4
0.6875,EEGNet,OpenBMI_MI,0.6875,2,0,PERSISTENCE_ONLY,12
0.703125,EEGNet,OpenBMI_MI,0.5,2,0,PERSISTENCE_ONLY,13
0.484375,EEGNet,OpenBMI_MI,0.484375,2,0,PERSISTENCE_ONLY,17
0.578125,EEGNet,OpenBMI_MI,0.578125,2,0,PERSISTENCE_ONLY,18
0.625,EEGNet,OpenBMI_MI,0.578125,2,0,PERSISTENCE_ONLY,24
0.984375,EEGNet,OpenBMI_MI,0.625,2,0,PERSISTENCE_ONLY,25
0.5,EEGNet,OpenBMI_MI,0.453125,2,0,PERSISTENCE_ONLY,29
0.65625,EEGNet,OpenBMI_MI,0.65625,2,0,PERSISTENCE_ONLY,36
0.671875,EEGNet,OpenBMI_MI,0.609375,2,0,PERSISTENCE_ONLY,37
0.578125,EEGNet,OpenBMI_MI,0.578125,2,0,PERSISTENCE_ONLY,39
0.5625,EEGNet,OpenBMI_MI,0.5625,2,0,PERSISTENCE_ONLY,42
0.71875,EEGNet,OpenBMI_MI,0.671875,2,0,PERSISTENCE_ONLY,51
0.6875,EEGNet,OpenBMI_MI,0.546875,2,0,PERSISTENCE_ONLY,54
0.796875,EEGNet,OpenBMI_MI,0.703125,2,0,UTILITY_ONLY,4
0.6875,EEGNet,OpenBMI_MI,0.6875,2,0,UTILITY_ONLY,12
0.703125,EEGNet,OpenBMI_MI,0.5,2,0,UTILITY_ONLY,13
0.484375,EEGNet,OpenBMI_MI,0.484375,2,0,UTILITY_ONLY,17
0.578125,EEGNet,OpenBMI_MI,0.578125,2,0,UTILITY_ONLY,18
0.625,EEGNet,OpenBMI_MI,0.578125,2,0,UTILITY_ONLY,24
0.984375,EEGNet,OpenBMI_MI,0.625,2,0,UTILITY_ONLY,25
0.5,EEGNet,OpenBMI_MI,0.453125,2,0,UTILITY_ONLY,29
0.65625,EEGNet,OpenBMI_MI,0.65625,2,0,UTILITY_ONLY,36
0.671875,EEGNet,OpenBMI_MI,0.609375,2,0,UTILITY_ONLY,37
0.578125,EEGNet,OpenBMI_MI,0.578125,2,0,UTILITY_ONLY,39
0.5625,EEGNet,OpenBMI_MI,0.5625,2,0,UTILITY_ONLY,42
