Task,fold,seed,selector,K,block_ids,coordinate_ids,selector_score,selector_freeze_sha256
OpenBMI_MI,0,0,PERSISTENCE_ONLY,4,[2],"[2, 3, 4, 5]",0.0545954673085362,6fbee8586820d408cd316052b99463c0819146b8e3ffd1478b9b485b8cb9875b
OpenBMI_MI,0,0,UTILITY_ONLY,4,[2],"[2, 3, 4, 5]",0.06769035226987616,6fbee8586820d408cd316052b99463c0819146b8e3ffd1478b9b485b8cb9875b
OpenBMI_MI,0,0,JOINT,4,[2],"[2, 3, 4, 5]",,6fbee8586820d408cd316052b99463c0819146b8e3ffd1478b9b485b8cb9875b
OpenBMI_MI,0,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,6fbee8586820d408cd316052b99463c0819146b8e3ffd1478b9b485b8cb9875b
OpenBMI_MI,1,0,PERSISTENCE_ONLY,3,[2],"[2, 3, 4]",0.0578813336789608,32b62058047a6c319ddcb75fdfc195124aefe21d6e454ad4e30bb750f81932ab
OpenBMI_MI,1,0,UTILITY_ONLY,3,[2],"[2, 3, 4]",0.07797972554413395,32b62058047a6c319ddcb75fdfc195124aefe21d6e454ad4e30bb750f81932ab
OpenBMI_MI,1,0,JOINT,3,[2],"[2, 3, 4]",,32b62058047a6c319ddcb75fdfc195124aefe21d6e454ad4e30bb750f81932ab
OpenBMI_MI,1,0,RANDOM,3,,100 exact-rank draws in corrected PSWA artifact,,32b62058047a6c319ddcb75fdfc195124aefe21d6e454ad4e30bb750f81932ab
OpenBMI_MI,2,0,PERSISTENCE_ONLY,4,[2],"[2, 3, 4, 5]",0.04628015286289156,63b03618e0e50ae1338edddc8f7fd1100c7f821a5f2b8ff0fa38a64cc00ce216
OpenBMI_MI,2,0,UTILITY_ONLY,4,[2],"[2, 3, 4, 5]",0.08467056616803295,63b03618e0e50ae1338edddc8f7fd1100c7f821a5f2b8ff0fa38a64cc00ce216
OpenBMI_MI,2,0,JOINT,4,[2],"[2, 3, 4, 5]",,63b03618e0e50ae1338edddc8f7fd1100c7f821a5f2b8ff0fa38a64cc00ce216
OpenBMI_MI,2,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,63b03618e0e50ae1338edddc8f7fd1100c7f821a5f2b8ff0fa38a64cc00ce216
