Task,fold,seed,K,J_U_overlap,J_P_overlap,joint_coordinates,utility_coordinates,persistence_coordinates
OpenBMI_MI,0,0,4,1.0,1.0,"[2, 3, 4, 5]","[2, 3, 4, 5]","[2, 3, 4, 5]"
OpenBMI_MI,1,0,3,1.0,1.0,"[2, 3, 4]","[2, 3, 4]","[2, 3, 4]"
OpenBMI_MI,2,0,4,1.0,1.0,"[2, 3, 4, 5]","[2, 3, 4, 5]","[2, 3, 4, 5]"
OpenBMI_MI,3,0,8,1.0,1.0,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]"
OpenBMI_MI,4,0,5,1.0,0.8,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[0, 2, 3, 4, 5]"
OpenBMI_ERP,0,0,6,1.0,0.3333333333333333,"[4, 5, 6, 7, 8, 9]","[4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5]"
OpenBMI_ERP,1,0,9,1.0,0.4444444444444444,"[2, 7, 8, 9, 10, 11, 12, 13, 14]","[2, 7, 8, 9, 10, 11, 12, 13, 14]","[0, 3, 4, 5, 6, 7, 8, 9, 10]"
OpenBMI_ERP,2,0,8,1.0,0.5,"[5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12]","[0, 1, 2, 3, 5, 6, 7, 8]"
OpenBMI_ERP,3,0,4,1.0,0.0,"[7, 8, 9, 10]","[7, 8, 9, 10]","[3, 4, 5, 6]"
OpenBMI_ERP,4,0,5,1.0,0.0,"[2, 12, 13, 14, 15]","[2, 12, 13, 14, 15]","[0, 4, 5, 6, 7]"
OpenBMI_SSVEP,0,0,4,1.0,0.0,"[12, 13, 14, 15]","[12, 13, 14, 15]","[0, 1, 2, 3]"
OpenBMI_SSVEP,1,0,8,1.0,0.0,"[8, 9, 10, 11, 12, 13, 14, 15]","[8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7]"
OpenBMI_SSVEP,2,0,4,0.0,0.0,"[11, 12, 13, 14]","[15, 16, 17, 18]","[3, 4, 5, 6]"
OpenBMI_SSVEP,3,0,8,1.0,0.0,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 10, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 5, 6, 7, 8]"
OpenBMI_SSVEP,4,0,8,1.0,0.0,"[10, 11, 12, 13, 14, 15, 16, 17]","[10, 11, 12, 13, 14, 15, 16, 17]","[2, 3, 4, 5, 6, 7, 8, 9]"
WBCIC_MI,0,0,2,1.0,0.5,"[1, 2]","[1, 2]","[0, 1]"
WBCIC_MI,1,0,2,1.0,0.5,"[1, 2]","[1, 2]","[0, 1]"
WBCIC_MI,2,0,3,1.0,0.3333333333333333,"[2, 3, 4]","[2, 3, 4]","[0, 1, 2]"
WBCIC_MI,3,0,2,1.0,0.5,"[1, 2]","[1, 2]","[0, 1]"
WBCIC_MI,4,0,1,1.0,0.0,[2],[2],[0]
