model,task,n_subjects,n_checkpoints,BA,BA_ci_low,BA_ci_high,macro_F1,macro_F1_ci_low,macro_F1_ci_high,WS_BA,WS_BA_ci_low,WS_BA_ci_high,parameters,MACs
EEGConformer,OpenBMI_MI,14,15,0.7135238095238093,0.6608095238095236,0.7716190476190475,0.7075955778803971,0.6533378691513282,0.7672271080467237,0.6743333333333332,0.6363333333333332,0.717142857142857,853506,not fully counted
EEGConformer,OpenBMI_ERP,14,15,0.7947460317460318,0.7471442279942281,0.8425620129870128,0.7364246557299104,0.691582626118273,0.7835332648728717,0.7634808520096573,0.7228264235528639,0.8067542286330339,341506,not fully counted
EEGConformer,OpenBMI_SSVEP,14,15,0.8199523809523811,0.7425238095238094,0.8953345238095237,0.8116946972206055,0.7305449565997598,0.8905566568648673,0.7992380952380954,0.7203773809523809,0.8751440476190475,853572,not fully counted
EEGConformer,WBCIC_MI,10,15,0.7604000000000001,0.6879658333333334,0.8246666666666667,0.7534553888262463,0.675945343831214,0.8210072164339088,0.6810666666666666,0.5946,0.7694333333333333,847106,not fully counted
FBCNet,OpenBMI_MI,14,15,0.675952380952381,0.6205702380952379,0.7368571428571428,0.6530679068365653,0.5911534382047642,0.7209281022945828,0.646,0.597190476190476,0.702095238095238,21026,not fully counted
FBCNet,OpenBMI_ERP,14,15,0.788030303030303,0.7471366161616161,0.8302863997113994,0.7153851766717557,0.6803623569331283,0.753962744261193,0.7561305518146028,0.7165289988378981,0.7990579725829724,21026,not fully counted
FBCNet,OpenBMI_SSVEP,14,15,0.8055238095238096,0.7079988095238094,0.8926666666666667,0.7957348198778506,0.6914759237188777,0.8882353341806424,0.7750952380952381,0.6830464285714285,0.8567142857142855,23332,not fully counted
FBCNet,WBCIC_MI,10,15,0.5960000000000001,0.5505666666666668,0.6420333333333333,0.5727883269129663,0.526687809469428,0.6219270083651758,0.5647333333333333,0.5326658333333333,0.5955008333333333,19874,not fully counted
