model,task,parameters,MACs,MAC_status
EEGConformer,OpenBMI_MI,853506,not fully counted,not fully counted
EEGConformer,OpenBMI_ERP,341506,not fully counted,not fully counted
EEGConformer,OpenBMI_SSVEP,853572,not fully counted,not fully counted
EEGConformer,WBCIC_MI,847106,not fully counted,not fully counted
FBCNet,OpenBMI_MI,21026,not fully counted,not fully counted
FBCNet,OpenBMI_ERP,21026,not fully counted,not fully counted
FBCNet,OpenBMI_SSVEP,23332,not fully counted,not fully counted
FBCNet,WBCIC_MI,19874,not fully counted,not fully counted
