model,task,subject_id,future_BA,future_macro_F1,WS_BA,worst_session,session_BA,n_checkpoints
EEGConformer,OpenBMI_MI,4,0.7280000000000001,0.7173322347612746,0.6339999999999999,S1,"{""S1"": 0.6339999999999999, ""S2"": 0.7280000000000001}",15
EEGConformer,OpenBMI_MI,12,0.6973333333333331,0.6949508475786431,0.6973333333333331,S2,"{""S1"": 0.7826666666666667, ""S2"": 0.6973333333333331}",15
EEGConformer,OpenBMI_MI,13,0.6753333333333332,0.6688460613229351,0.6753333333333332,S2,"{""S1"": 0.6920000000000001, ""S2"": 0.6753333333333332}",15
EEGConformer,OpenBMI_MI,17,0.5766666666666667,0.5673233346039944,0.5766666666666667,S2,"{""S1"": 0.73, ""S2"": 0.5766666666666667}",15
EEGConformer,OpenBMI_MI,18,0.6306666666666667,0.6246589162043994,0.6306666666666667,S2,"{""S1"": 0.654, ""S2"": 0.6306666666666667}",15
EEGConformer,OpenBMI_MI,24,0.5446666666666667,0.5258299391500318,0.5446666666666667,S2,"{""S1"": 0.6120000000000001, ""S2"": 0.5446666666666667}",15
EEGConformer,OpenBMI_MI,25,0.9600000000000001,0.9599945308649304,0.7580000000000001,S1,"{""S1"": 0.7580000000000001, ""S2"": 0.9600000000000001}",15
EEGConformer,OpenBMI_MI,29,0.794,0.7918583677684004,0.6613333333333332,S1,"{""S1"": 0.6613333333333332, ""S2"": 0.794}",15
EEGConformer,OpenBMI_MI,36,0.8813333333333333,0.8800621549166487,0.8713333333333332,S1,"{""S1"": 0.8713333333333332, ""S2"": 0.8813333333333333}",15
EEGConformer,OpenBMI_MI,37,0.7146666666666665,0.7037631145355608,0.6713333333333333,S1,"{""S1"": 0.6713333333333333, ""S2"": 0.7146666666666665}",15
EEGConformer,OpenBMI_MI,39,0.7419999999999999,0.734867322297109,0.7419999999999999,S2,"{""S1"": 0.8379999999999999, ""S2"": 0.7419999999999999}",15
EEGConformer,OpenBMI_MI,42,0.7013333333333333,0.7003346061249993,0.7013333333333333,S2,"{""S1"": 0.704, ""S2"": 0.7013333333333333}",15
EEGConformer,OpenBMI_MI,51,0.6433333333333333,0.6406389375655557,0.6433333333333333,S2,"{""S1"": 0.6766666666666666, ""S2"": 0.6433333333333333}",15
EEGConformer,OpenBMI_MI,54,0.7,0.6958777226310763,0.6333333333333333,S1,"{""S1"": 0.6333333333333333, ""S2"": 0.7}",15
EEGConformer,OpenBMI_ERP,4,0.8229090909090909,0.7822051135056923,0.7525656565656565,S1,"{""S1"": 0.7525656565656565, ""S2"": 0.8229090909090909}",15
EEGConformer,OpenBMI_ERP,12,0.94179797979798,0.903137912258202,0.9183636363636365,S1,"{""S1"": 0.9183636363636365, ""S2"": 0.94179797979798}",15
EEGConformer,OpenBMI_ERP,13,0.8204646464646466,0.7093278854932916,0.8204646464646466,S2,"{""S1"": 0.8534343434343434, ""S2"": 0.8204646464646466}",15
EEGConformer,OpenBMI_ERP,17,0.7617575757575759,0.6613843365349539,0.7617575757575759,S2,"{""S1"": 0.7756363636363636, ""S2"": 0.7617575757575759}",15
EEGConformer,OpenBMI_ERP,18,0.8650303030303031,0.8150475162715544,0.698893544296819,S1,"{""S1"": 0.698893544296819, ""S2"": 0.8650303030303031}",15
EEGConformer,OpenBMI_ERP,24,0.7133939393939394,0.6506367377210241,0.7133939393939394,S2,"{""S1"": 0.8863838383838385, ""S2"": 0.7133939393939394}",15
EEGConformer,OpenBMI_ERP,25,0.7117373737373739,0.6872056711409523,0.7117373737373739,S2,"{""S1"": 0.7351919191919193, ""S2"": 0.7117373737373739}",15
EEGConformer,OpenBMI_ERP,29,0.8255959595959595,0.771830900895796,0.8255959595959595,S2,"{""S1"": 0.8276565656565656, ""S2"": 0.8255959595959595}",15
EEGConformer,OpenBMI_ERP,36,0.9135353535353535,0.8207236379323994,0.8866060606060607,S1,"{""S1"": 0.8866060606060607, ""S2"": 0.9135353535353535}",15
EEGConformer,OpenBMI_ERP,37,0.9101212121212122,0.8559083030241557,0.7932727272727274,S1,"{""S1"": 0.7932727272727274, ""S2"": 0.9101212121212122}",15
EEGConformer,OpenBMI_ERP,39,0.6778787878787879,0.6386707837482093,0.6778787878787879,S2,"{""S1"": 0.7636161616161616, ""S2"": 0.6778787878787879}",15
EEGConformer,OpenBMI_ERP,42,0.8160404040404041,0.7551475445325753,0.8160404040404041,S2,"{""S1"": 0.8748888888888887, ""S2"": 0.8160404040404041}",15
EEGConformer,OpenBMI_ERP,51,0.6801616161616162,0.6282548125014312,0.6801616161616162,S2,"{""S1"": 0.8172121212121213, ""S2"": 0.6801616161616162}",15
EEGConformer,OpenBMI_ERP,54,0.6660202020202022,0.6304640246585084,0.6320000000000001,S1,"{""S1"": 0.6320000000000001, ""S2"": 0.6660202020202022}",15
EEGConformer,OpenBMI_SSVEP,4,0.9899999999999999,0.989707135401935,0.9806666666666667,S1,"{""S1"": 0.9806666666666667, ""S2"": 0.9899999999999999}",15
EEGConformer,OpenBMI_SSVEP,12,0.9179999999999999,0.9184672539022657,0.9179999999999999,S2,"{""S1"": 0.9866666666666667, ""S2"": 0.9179999999999999}",15
EEGConformer,OpenBMI_SSVEP,13,0.6573333333333333,0.6323877075766894,0.6573333333333333,S2,"{""S1"": 0.7853333333333332, ""S2"": 0.6573333333333333}",15
EEGConformer,OpenBMI_SSVEP,17,0.8573333333333333,0.8553869865108635,0.8213333333333335,S1,"{""S1"": 0.8213333333333335, ""S2"": 0.8573333333333333}",15
EEGConformer,OpenBMI_SSVEP,18,0.9986666666666667,0.9986661331199147,0.966,S1,"{""S1"": 0.966, ""S2"": 0.9986666666666667}",15
EEGConformer,OpenBMI_SSVEP,24,0.744,0.7292439262864984,0.744,S2,"{""S1"": 0.7486666666666666, ""S2"": 0.744}",15
EEGConformer,OpenBMI_SSVEP,25,0.8186666666666667,0.8099083916400158,0.8186666666666667,S2,"{""S1"": 0.9279999999999998, ""S2"": 0.8186666666666667}",15
EEGConformer,OpenBMI_SSVEP,29,0.8446666666666668,0.8377112629462481,0.8246666666666669,S1,"{""S1"": 0.8246666666666669, ""S2"": 0.8446666666666668}",15
