model,task,fold,seed,checkpoint_sha256,normalizer_sha256,split_sha256,selected_epoch,epochs_completed,early_stopped,parameters,train_seconds,checkpoint_complete
EEGConformer,OpenBMI_MI,0,0,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,22,30,True,853506,63.44833360001212,True
EEGConformer,OpenBMI_MI,0,1,d37ecb92bda88b16609a77f41e3b536b9fc9889f9111527199143f0f3e24c990,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,37,45,True,853506,81.82773649998126,True
EEGConformer,OpenBMI_MI,0,2,b81bb61a82a3cf95346a104087dedd3f57a941536d1b010b958eb115eb5b8dce,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,13,21,True,853506,38.147358799993526,True
EEGConformer,OpenBMI_MI,1,0,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,19,27,True,853506,49.01321050000843,True
EEGConformer,OpenBMI_MI,1,1,8534f42a9dab12dbfcce9d7623c172096b0921d1c9e8bb52cdec8a93a2e18af7,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,29,37,True,853506,67.02451700001257,True
EEGConformer,OpenBMI_MI,1,2,60d6d9cc84504beb6f92a582d53f8b6311657b94683c0e6c6584a8ea8c8ba441,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,26,34,True,853506,61.687639799987664,True
EEGConformer,OpenBMI_MI,2,0,a5a0a2eafbba9b026c6368c26c3f3f7021adc2daca0091dd43662c3447374c34,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,14,22,True,853506,43.45501979999244,True
EEGConformer,OpenBMI_MI,2,1,6d9cb3d84121ebf3c50362ac461c6a6f5d5f5b45083f1cb46973d7ac81f54dbc,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,38,46,True,853506,87.8963593999797,True
EEGConformer,OpenBMI_MI,2,2,a25cfc5e5bb8a5fd302d1059655f947d728013178c24ed17a9a8c79ae5a7233d,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,35,43,True,853506,82.33439049997833,True
EEGConformer,OpenBMI_MI,3,0,ee78fd8820d87c3a5caf05e5c7f49c30de7646cb6def3fa53b2f4856bdde570a,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,36,44,True,853506,82.39793730000383,True
EEGConformer,OpenBMI_MI,3,1,291d0772ab863a959085d45fe454da10e646a0018821722fa4aafec89ccfe2f8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,33,41,True,853506,76.33501869998872,True
EEGConformer,OpenBMI_MI,3,2,c470e9bed303dd397f376ed2ccd540e86f5a7376a3e122702d5dc0aed8e4e320,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,10,18,True,853506,34.3891200000071,True
EEGConformer,OpenBMI_MI,4,0,8ee4853ad1850a57ef7ba3c6091f132fe2ab4c169efa140810e39cd20076f77b,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,30,38,True,853506,72.54693849998876,True
EEGConformer,OpenBMI_MI,4,1,15b9f5c7fc211c40e59088a8a87f5ac60c40d9d78409328491addfd83a8f7c73,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,35,43,True,853506,81.9422501999943,True
EEGConformer,OpenBMI_MI,4,2,28d2d383da181b09c198f4f2eb8bca2ccf3c4535c7bdf9b745ddc61c3f7a3116,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,31,39,True,853506,74.40782379999291,True
EEGConformer,OpenBMI_ERP,0,0,b2c4b787de81eeb9f42483e90b9bb028b4cd7b0e25f73ce34cacf5be77608cb2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,36,44,True,341506,635.4462609999755,True
EEGConformer,OpenBMI_ERP,0,1,aaf72edc4b184cab9a5a2106d8924b3381b4ea489f0f25116176eadd6539b03a,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,22,30,True,341506,429.52946339998743,True
EEGConformer,OpenBMI_ERP,0,2,5cd1f847c3488df598e8e0d63964940dc0d846f03ff14fa02fb698368e2ea487,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,21,29,True,341506,419.0252509000129,True
EEGConformer,OpenBMI_ERP,1,0,5a3314ca87e74651737745d1829830e3889b298cd59011992e6832ff06fdcde0,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,18,26,True,341506,375.22979589999886,True
EEGConformer,OpenBMI_ERP,1,1,61cc8cdf01143f1669daed58c3b42bc9b37f5dfc08d52873bae34343e60596e2,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,31,39,True,341506,560.3341917000071,True
EEGConformer,OpenBMI_ERP,1,2,db606135cc1d49b3318e686c571c7489b1edb437c0a42fdb07574b9cf8c4689e,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,30,38,True,341506,531.5400589999917,True
