model,task,dataset,subject_id,session,fold,seed,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
EEGConformer,OpenBMI_MI,OpenBMI,4,S1,0,0,0.6499999999999999,0.6491228070175439,0.65,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,12,S1,0,0,0.79,0.78997899789979,0.79,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,13,S1,0,0,0.6799999999999999,0.6715927750410509,0.68,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,17,S1,0,0,0.76,0.7575757575757576,0.76,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,18,S1,0,0,0.59,0.5899589958995899,0.59,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,24,S1,0,0,0.53,0.49304282170208175,0.53,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,25,S1,0,0,0.78,0.7785829307568438,0.78,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,29,S1,0,0,0.6799999999999999,0.6567996567996568,0.68,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,36,S1,0,0,0.9299999999999999,0.9296553110240177,0.93,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
EEGConformer,OpenBMI_MI,OpenBMI,37,S1,0,0,0.7,0.6989160979526294,0.7,100,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
