model,reference,task,metric,direction,delta,ci_low,ci_high,n_subjects,bootstrap_draws,status
EEGConformer,SIRE-EEG,OpenBMI_MI,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_MI,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_MI,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_ERP,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_ERP,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_ERP,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_SSVEP,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_SSVEP,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,OpenBMI_SSVEP,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,WBCIC_MI,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,WBCIC_MI,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
EEGConformer,SIRE-EEG,WBCIC_MI,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_MI,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_MI,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_MI,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_ERP,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_ERP,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_ERP,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_SSVEP,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_SSVEP,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,OpenBMI_SSVEP,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,WBCIC_MI,future_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,WBCIC_MI,future_macro_F1,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
FBCNet,SIRE-EEG,WBCIC_MI,WS_BA,baseline minus SIRE-EEG,,,,,20000,UNAVAILABLE_FORMAL_SIRE_SOURCE_NOT_PROVIDED
