dataset,outer_fold,phase,control,common_seed
WBCIC,0,selection,ERM_ORDER_B0,1658141643980762262
WBCIC,0,refit,ERM_ORDER_B0,1423680968017927051
WBCIC,0,selection,ERM_ORDER_B1,1658141643980762262
WBCIC,0,refit,ERM_ORDER_B1,1423680968017927051
WBCIC,0,selection,ERM_ORDER_B3,1658141643980762262
WBCIC,0,refit,ERM_ORDER_B3,1423680968017927051
WBCIC,0,selection,ERM_ORDER_B4,1658141643980762262
WBCIC,0,refit,ERM_ORDER_B4,1423680968017927051
WBCIC,1,selection,ERM_ORDER_B0,5466291856474815946
WBCIC,1,refit,ERM_ORDER_B0,794384077190215184
WBCIC,1,selection,ERM_ORDER_B1,5466291856474815946
WBCIC,1,refit,ERM_ORDER_B1,794384077190215184
WBCIC,1,selection,ERM_ORDER_B3,5466291856474815946
WBCIC,1,refit,ERM_ORDER_B3,794384077190215184
WBCIC,1,selection,ERM_ORDER_B4,5466291856474815946
WBCIC,1,refit,ERM_ORDER_B4,794384077190215184
