dataset,outer_fold,control,selected_epoch_original,selected_epoch_repeat,validation_BA_abs_diff,held_BA_abs_diff,parameter_max_abs_diff,state_hash_original,state_hash_repeat,pass
WBCIC,0,ERM_ORDER_B0_REPEAT,3,3,0.0,0.0,0.0,d7538654899f6ef2986d269287623a67a583983e58c68b58eaf5334ffde99eb3,d7538654899f6ef2986d269287623a67a583983e58c68b58eaf5334ffde99eb3,True
WBCIC,1,ERM_ORDER_B0_REPEAT,7,7,0.0,0.0,0.0,c97a9e98f5324b371231b158a7abeb1960813c5b973e577171d02b386ef0064a,c97a9e98f5324b371231b158a7abeb1960813c5b973e577171d02b386ef0064a,True
