dataset,fold,method,mean_subject_BA_CURRENT,mean_subject_BA_RESTORE_SOURCE_BN,mean_subject_macro_F1_CURRENT,mean_subject_macro_F1_RESTORE_SOURCE_BN,mean_subject_accuracy_CURRENT,mean_subject_accuracy_RESTORE_SOURCE_BN,delta_vs_EEGNet_pp_CURRENT,delta_vs_EEGNet_pp_RESTORE_SOURCE_BN,delta_vs_FROZEN_LOGIT50_pp_CURRENT,delta_vs_FROZEN_LOGIT50_pp_RESTORE_SOURCE_BN,BN_recovery_pp
OpenBMI,0,JOINT-CE,0.81875,0.83375,0.8164909018578523,0.8324962758814995,0.81875,0.83375,1.875,3.3749999999999987,-0.7499999999999979,0.7500000000000007,1.5000000000000013
OpenBMI,0,NRRF-v1,0.8175,0.8274999999999999,0.8152261370428364,0.8261419544538522,0.8175,0.8275,1.7500000000000016,2.7499999999999982,-0.8749999999999967,0.1250000000000001,0.9999999999999898
OpenBMI,1,JOINT-CE,0.8425,0.8450000000000001,0.8410611407337428,0.8434024615269953,0.8424999999999999,0.845,3.0,3.25,1.3877787807814457e-15,0.2500000000000016,0.2500000000000058
OpenBMI,1,NRRF-v1,0.8362499999999999,0.8475,0.8344846853029049,0.8457237081541248,0.8362499999999999,0.8474999999999999,2.375000000000002,3.499999999999999,-0.6249999999999964,0.5000000000000004,1.1250000000000093
OpenBMI,2,JOINT-CE,0.74625,0.74,0.7403400687743669,0.7342569094984683,0.7462500000000001,0.74,5.875000000000001,5.250000000000002,-0.1250000000000029,-0.750000000000002,-0.6249999999999978
OpenBMI,2,NRRF-v1,0.74625,0.7475,0.7407021935014555,0.7422037326424245,0.7462500000000001,0.7475,5.875000000000003,6.000000000000003,-0.1250000000000015,-1.3877787807814457e-15,0.12500000000000844
OpenBMI,3,JOINT-CE,0.81125,0.8125,0.8100225917011459,0.8113298722215929,0.81125,0.8125,5.125,5.249999999999999,0.874999999999998,0.9999999999999968,0.12499999999999734
OpenBMI,3,NRRF-v1,0.8087500000000001,0.8125,0.8073942974672487,0.8115127694841935,0.8087500000000001,0.8125,4.875000000000003,5.249999999999999,0.6250000000000006,0.9999999999999968,0.374999999999992
OpenBMI,4,JOINT-CE,0.77875,0.7737499999999999,0.7746789124749305,0.7663945596705452,0.77875,0.7737499999999999,5.000000000000002,4.5,-0.2499999999999974,-0.7499999999999993,-0.5000000000000115
OpenBMI,4,NRRF-v1,0.7775000000000001,0.7737499999999999,0.7735993573145012,0.7660643442657982,0.7775,0.7737499999999999,4.875000000000002,4.5,-0.3749999999999975,-0.7499999999999993,-0.3750000000000142
WBCIC,0,JOINT-CE,0.6764285714285715,0.7707142857142858,0.6241018949575243,0.7631583213756433,0.6764285714285715,0.7707142857142857,-9.499999999999998,-0.0714285714285715,-12.214285714285712,-2.785714285714285,9.42857142857143
WBCIC,0,NRRF-v1,0.6842857142857144,0.7742857142857142,0.6365637592026332,0.7708178800433375,0.6842857142857144,0.7742857142857144,-8.714285714285715,0.285714285714286,-11.428571428571429,-2.4285714285714275,8.999999999999986
WBCIC,1,JOINT-CE,0.7983333333333333,0.7991666666666667,0.7818445993902623,0.7849634233398405,0.7983333333333333,0.7991666666666667,-1.4166666666666716,-1.3333333333333364,0.4999999999999986,0.5833333333333339,0.08333333333333526
WBCIC,1,NRRF-v1,0.7966666666666667,0.7958333333333334,0.7794833072407253,0.7807709668541412,0.7966666666666667,0.7958333333333334,-1.5833333333333366,-1.6666666666666718,0.3333333333333336,0.2499999999999983,-0.08333333333333526
WBCIC,2,JOINT-CE,0.7583333333333333,0.7691666666666667,0.7555864024747602,0.7632134232272398,0.7583333333333333,0.7691666666666667,0.9166666666666656,2.0,0.1666666666666668,1.250000000000001,1.0833333333333361
WBCIC,2,NRRF-v1,0.7525,0.7625000000000001,0.7494076586852403,0.7565805862883427,0.7525,0.7625000000000001,0.3333333333333299,1.3333333333333328,-0.4166666666666689,0.5833333333333339,1.000000000000012
WBCIC,3,JOINT-CE,0.7157207491582492,0.8406092171717172,0.6901562090419663,0.8403737813981328,0.716068376068376,0.8405982905982906,-9.896043771043768,2.592803030303035,-12.486321548821548,0.0025252525252557,12.488846801346797
WBCIC,3,NRRF-v1,0.6788541666666666,0.8330923821548822,0.6416606893560203,0.8327900542836062,0.6792948717948719,0.8330555555555557,-13.582702020202015,1.841119528619532,-16.172979797979796,-0.7491582491582476,15.423821548821559
WBCIC,4,JOINT-CE,0.7941666666666666,0.7925,0.7903596566089387,0.7886337643935275,0.7941666666666666,0.7925,2.6666666666666687,2.5000000000000004,1.416666666666668,1.2499999999999991,-0.1666666666666594
WBCIC,4,NRRF-v1,0.7875,0.7875,0.7832535467165439,0.7824543838766843,0.7875,0.7875000000000001,2.0000000000000018,2.0000000000000018,0.7500000000000007,0.7500000000000007,0.0
