dataset,fold,method,subject_id,EEGNet_BA,FROZEN_LOGIT50_BA,BA_CURRENT,BA_RESTORE_SOURCE_BN,macro_F1_CURRENT,macro_F1_RESTORE_SOURCE_BN,accuracy_CURRENT,accuracy_RESTORE_SOURCE_BN,restore_minus_current_pp,restore_minus_EEGNet_pp,restore_minus_LOGIT50_pp
OpenBMI,0,JOINT-CE,15,0.8300000000000001,0.8999999999999999,0.89,0.8899999999999999,0.8899009108197378,0.8897243107769424,0.89,0.89,-1.1102230246251565e-14,5.999999999999983,-1.0000000000000009
OpenBMI,0,JOINT-CE,3,0.84,0.86,0.85,0.84,0.8487750781328763,0.8376623376623377,0.85,0.84,-1.0000000000000009,0.0,-2.0000000000000018
OpenBMI,0,JOINT-CE,32,0.65,0.63,0.63,0.63,0.62996299629963,0.6290726817042607,0.63,0.63,0.0,-2.0000000000000018,0.0
OpenBMI,0,JOINT-CE,33,0.76,0.85,0.86,0.88,0.859775641025641,0.88,0.86,0.88,2.0000000000000018,12.0,3.0000000000000027
OpenBMI,0,JOINT-CE,38,0.76,0.75,0.72,0.73,0.7057587221521648,0.7237851662404092,0.72,0.73,1.0000000000000009,-3.0000000000000027,-2.0000000000000018
OpenBMI,0,JOINT-CE,47,0.8999999999999999,0.92,0.9,0.97,0.898989898989899,0.96999699969997,0.9,0.97,6.999999999999995,7.000000000000006,4.999999999999993
OpenBMI,0,JOINT-CE,5,0.73,0.75,0.75,0.77,0.7487689679429204,0.769792813532179,0.75,0.77,2.0000000000000018,4.0000000000000036,2.0000000000000018
OpenBMI,0,JOINT-CE,6,0.93,0.95,0.95,0.96,0.94999499949995,0.9599358974358976,0.95,0.96,1.0000000000000009,2.9999999999999916,1.0000000000000009
OpenBMI,0,NRRF-v1,15,0.8300000000000001,0.8999999999999999,0.89,0.8899999999999999,0.8899009108197378,0.8894583458948849,0.89,0.89,-1.1102230246251565e-14,5.999999999999983,-1.0000000000000009
OpenBMI,0,NRRF-v1,3,0.84,0.86,0.8400000000000001,0.84,0.8389694041867954,0.8368013055895553,0.84,0.84,-1.1102230246251565e-14,0.0,-2.0000000000000018
OpenBMI,0,NRRF-v1,32,0.65,0.63,0.64,0.64,0.64,0.6394230769230769,0.64,0.64,0.0,-1.0000000000000009,1.0000000000000009
OpenBMI,0,NRRF-v1,33,0.76,0.85,0.85,0.86,0.8498648783905515,0.8599439775910365,0.85,0.86,1.0000000000000009,9.999999999999998,1.0000000000000009
OpenBMI,0,NRRF-v1,38,0.76,0.75,0.72,0.73,0.7057587221521648,0.7237851662404092,0.72,0.73,1.0000000000000009,-3.0000000000000027,-2.0000000000000018
OpenBMI,0,NRRF-v1,47,0.8999999999999999,0.92,0.9,0.94,0.898989898989899,0.9399759903961584,0.9,0.94,3.9999999999999925,4.0000000000000036,1.9999999999999907
OpenBMI,0,NRRF-v1,5,0.73,0.75,0.74,0.77,0.7383252818035426,0.769792813532179,0.74,0.77,3.0000000000000027,4.0000000000000036,2.0000000000000018
OpenBMI,0,NRRF-v1,6,0.93,0.95,0.96,0.95,0.96,0.9499549594635172,0.96,0.95,-1.0000000000000009,1.9999999999999907,0.0
OpenBMI,1,JOINT-CE,14,0.72,0.73,0.7,0.74,0.7,0.7390606182256123,0.7,0.74,4.0000000000000036,2.0000000000000018,1.0000000000000009
OpenBMI,1,JOINT-CE,2,0.81,0.79,0.81,0.8,0.8098288459613652,0.7999199679871949,0.81,0.8,-1.0000000000000009,-1.0000000000000009,1.0000000000000009
OpenBMI,1,JOINT-CE,26,0.86,0.87,0.8600000000000001,0.8500000000000001,0.8594941790445605,0.849624060150376,0.86,0.85,-1.0000000000000009,-0.9999999999999898,-1.9999999999999907
OpenBMI,1,JOINT-CE,28,0.78,0.92,0.92,0.94,0.9197109594540344,0.939903846153846,0.92,0.94,1.9999999999999907,15.999999999999993,1.9999999999999907
OpenBMI,1,JOINT-CE,31,0.8,0.8,0.81,0.8,0.8056265984654731,0.7947454844006567,0.81,0.8,-1.0000000000000009,0.0,0.0
OpenBMI,1,JOINT-CE,35,0.86,0.8300000000000001,0.8200000000000001,0.8200000000000001,0.8139727159983464,0.8139727159983464,0.82,0.82,0.0,-3.9999999999999925,-1.0000000000000009
OpenBMI,1,JOINT-CE,40,0.8200000000000001,0.86,0.88,0.88,0.8799519807923168,0.88,0.88,0.88,0.0,5.999999999999995,2.0000000000000018
OpenBMI,1,JOINT-CE,43,0.85,0.94,0.94,0.93,0.939903846153846,0.92999299929993,0.94,0.93,-0.9999999999999898,8.000000000000007,-0.9999999999999898
OpenBMI,1,NRRF-v1,14,0.72,0.73,0.72,0.74,0.7198879551820728,0.7390606182256123,0.72,0.74,2.0000000000000018,2.0000000000000018,1.0000000000000009
OpenBMI,1,NRRF-v1,2,0.81,0.79,0.8,0.81,0.7992773986350863,0.8098288459613652,0.8,0.81,1.0000000000000009,0.0,2.0000000000000018
OpenBMI,1,NRRF-v1,26,0.86,0.87,0.8600000000000001,0.86,0.8594941790445605,0.859775641025641,0.86,0.86,-1.1102230246251565e-14,0.0,-1.0000000000000009
OpenBMI,1,NRRF-v1,28,0.78,0.92,0.89,0.94,0.8891017239641092,0.939903846153846,0.89,0.94,4.999999999999993,15.999999999999993,1.9999999999999907
OpenBMI,1,NRRF-v1,31,0.8,0.8,0.8,0.8,0.7947454844006567,0.7933030177759405,0.8,0.8,0.0,0.0,0.0
OpenBMI,1,NRRF-v1,35,0.86,0.8300000000000001,0.8200000000000001,0.8200000000000001,0.8139727159983464,0.8139727159983464,0.82,0.82,0.0,-3.9999999999999925,-1.0000000000000009
OpenBMI,1,NRRF-v1,40,0.8200000000000001,0.86,0.8600000000000001,0.88,0.8594941790445605,0.8799519807923168,0.86,0.88,1.9999999999999907,5.999999999999995,2.0000000000000018
OpenBMI,1,NRRF-v1,43,0.85,0.94,0.94,0.93,0.939903846153846,0.92999299929993,0.94,0.93,-0.9999999999999898,8.000000000000007,-0.9999999999999898
OpenBMI,2,JOINT-CE,1,0.63,0.65,0.67,0.67,0.648,0.648,0.67,0.67,0.0,4.0000000000000036,2.0000000000000018
OpenBMI,2,JOINT-CE,11,0.71,0.74,0.69,0.6799999999999999,0.6756982948007113,0.6692848284415047,0.69,0.68,-1.0000000000000009,-3.0000000000000027,-6.000000000000005
OpenBMI,2,JOINT-CE,23,0.7,0.77,0.79,0.78,0.7851662404092072,0.7756017951856384,0.79,0.78,-1.0000000000000009,8.000000000000007,1.0000000000000009
OpenBMI,2,JOINT-CE,30,0.69,0.78,0.74,0.74,0.7390606182256123,0.7390606182256123,0.74,0.74,0.0,5.000000000000004,-4.0000000000000036
OpenBMI,2,JOINT-CE,48,0.6699999999999999,0.7,0.7,0.69,0.6998799519807923,0.6897207486738064,0.7,0.69,-1.0000000000000009,2.0000000000000018,-1.0000000000000009
OpenBMI,2,JOINT-CE,50,0.6699999999999999,0.6599999999999999,0.6799999999999999,0.68,0.6767676767676768,0.6753246753246753,0.68,0.68,1.1102230246251565e-14,1.000000000000012,2.000000000000013
OpenBMI,2,JOINT-CE,52,0.78,0.8400000000000001,0.85,0.85,0.84998499849985,0.84998499849985,0.85,0.85,0.0,6.999999999999995,0.9999999999999898
OpenBMI,2,JOINT-CE,8,0.65,0.8400000000000001,0.85,0.83,0.8481627695110842,0.8270776116366596,0.85,0.83,-2.0000000000000018,17.999999999999993,-1.000000000000012
OpenBMI,2,NRRF-v1,1,0.63,0.65,0.67,0.67,0.648,0.648,0.67,0.67,0.0,4.0000000000000036,2.0000000000000018
OpenBMI,2,NRRF-v1,11,0.71,0.74,0.6799999999999999,0.7,0.6692848284415047,0.6921182266009853,0.68,0.7,2.0000000000000018,-1.0000000000000009,-4.0000000000000036
OpenBMI,2,NRRF-v1,23,0.7,0.77,0.79,0.79,0.7851662404092072,0.7851662404092072,0.79,0.79,0.0,9.000000000000007,2.0000000000000018
OpenBMI,2,NRRF-v1,30,0.69,0.78,0.74,0.75,0.7390606182256123,0.7487689679429204,0.74,0.75,1.0000000000000009,6.000000000000005,-3.0000000000000027
OpenBMI,2,NRRF-v1,48,0.6699999999999999,0.7,0.72,0.71,0.72,0.7099709970997099,0.72,0.71,-1.0000000000000009,4.0000000000000036,1.0000000000000009
OpenBMI,2,NRRF-v1,50,0.6699999999999999,0.6599999999999999,0.67,0.67,0.6659580929243851,0.6659580929243851,0.67,0.67,0.0,1.1102230246251565e-14,1.000000000000012
OpenBMI,2,NRRF-v1,52,0.78,0.8400000000000001,0.85,0.85,0.84998499849985,0.84998499849985,0.85,0.85,0.0,6.999999999999995,0.9999999999999898
OpenBMI,2,NRRF-v1,8,0.65,0.8400000000000001,0.85,0.84,0.8481627695110842,0.8376623376623377,0.85,0.84,-1.0000000000000009,18.999999999999993,-1.1102230246251565e-14
OpenBMI,3,JOINT-CE,10,0.71,0.81,0.8300000000000001,0.86,0.8286117552172598,0.8590982286634461,0.83,0.86,2.9999999999999916,15.000000000000002,4.999999999999993
OpenBMI,3,JOINT-CE,16,0.8,0.86,0.88,0.87,0.8799519807923168,0.8699869986998701,0.88,0.87,-1.0000000000000009,6.999999999999995,1.0000000000000009
OpenBMI,3,JOINT-CE,19,0.73,0.76,0.79,0.8,0.78997899789979,0.7999199679871949,0.79,0.8,1.0000000000000009,7.000000000000006,4.0000000000000036
OpenBMI,3,JOINT-CE,22,0.66,0.6799999999999999,0.71,0.69,0.7076318177235609,0.6884735202492211,0.71,0.69,-2.0000000000000018,2.9999999999999916,1.0000000000000009
OpenBMI,3,JOINT-CE,27,0.92,0.95,0.94,0.94,0.9399759903961584,0.9399759903961584,0.94,0.94,0.0,1.9999999999999907,-1.0000000000000009
OpenBMI,3,JOINT-CE,34,0.6599999999999999,0.73,0.69,0.7,0.6846709388668497,0.6940024479804161,0.69,0.7,1.0000000000000009,4.0000000000000036,-3.0000000000000027
OpenBMI,3,JOINT-CE,45,0.76,0.79,0.77,0.76,0.769792813532179,0.7596153846153846,0.77,0.76,-1.0000000000000009,0.0,-3.0000000000000027
OpenBMI,3,JOINT-CE,49,0.84,0.8400000000000001,0.8799999999999999,0.8799999999999999,0.8795664391810518,0.8795664391810518,0.88,0.88,0.0,3.9999999999999925,3.9999999999999813
OpenBMI,3,NRRF-v1,10,0.71,0.81,0.8500000000000001,0.86,0.8492613807657522,0.8590982286634461,0.85,0.86,0.9999999999999898,15.000000000000002,4.999999999999993
OpenBMI,3,NRRF-v1,16,0.8,0.86,0.88,0.87,0.8799519807923168,0.8699869986998701,0.88,0.87,-1.0000000000000009,6.999999999999995,1.0000000000000009
OpenBMI,3,NRRF-v1,19,0.73,0.76,0.8,0.79,0.8,0.7898108297467721,0.8,0.79,-1.0000000000000009,6.000000000000005,3.0000000000000027
OpenBMI,3,NRRF-v1,22,0.66,0.6799999999999999,0.69,0.7,0.6884735202492211,0.6998799519807923,0.69,0.7,1.0000000000000009,3.9999999999999925,2.0000000000000018
OpenBMI,3,NRRF-v1,27,0.92,0.95,0.94,0.94,0.9399759903961584,0.9399759903961584,0.94,0.94,0.0,1.9999999999999907,-1.0000000000000009
OpenBMI,3,NRRF-v1,34,0.6599999999999999,0.73,0.69,0.71,0.6828644501278772,0.7050147492625369,0.69,0.71,2.0000000000000018,5.000000000000004,-2.0000000000000018
OpenBMI,3,NRRF-v1,45,0.76,0.79,0.76,0.75,0.7591328783621036,0.7487689679429204,0.76,0.75,-1.0000000000000009,-1.0000000000000009,-4.0000000000000036
OpenBMI,3,NRRF-v1,49,0.84,0.8400000000000001,0.8600000000000001,0.8799999999999999,0.8594941790445605,0.8795664391810518,0.86,0.88,1.9999999999999796,3.9999999999999925,3.9999999999999813
OpenBMI,4,JOINT-CE,20,0.88,0.91,0.91,0.89,0.9095568284594512,0.8891017239641092,0.91,0.89,-2.0000000000000018,1.0000000000000009,-2.0000000000000018
OpenBMI,4,JOINT-CE,21,0.84,0.91,0.88,0.93,0.8792270531400965,0.92999299929993,0.88,0.93,5.000000000000004,9.000000000000007,2.0000000000000018
OpenBMI,4,JOINT-CE,41,0.6799999999999999,0.75,0.76,0.74,0.7599039615846338,0.7362012987012987,0.76,0.74,-2.0000000000000018,6.000000000000005,-1.0000000000000009
OpenBMI,4,JOINT-CE,44,0.67,0.82,0.8600000000000001,0.81,0.8594941790445605,0.8056265984654731,0.86,0.81,-5.000000000000004,14.000000000000002,-0.9999999999999898
OpenBMI,4,JOINT-CE,46,0.66,0.6799999999999999,0.7,0.6799999999999999,0.6744791666666667,0.6483516483516483,0.7,0.68,-2.0000000000000018,1.9999999999999907,0.0
OpenBMI,4,JOINT-CE,53,0.77,0.8200000000000001,0.8200000000000001,0.79,0.8193496587715776,0.7874278773155178,0.82,0.79,-3.0000000000000027,2.0000000000000018,-3.0000000000000027
OpenBMI,4,JOINT-CE,7,0.72,0.74,0.71,0.74,0.7064480210547626,0.7390606182256123,0.71,0.74,3.0000000000000027,2.0000000000000018,0.0
OpenBMI,4,JOINT-CE,9,0.61,0.62,0.5900000000000001,0.61,0.5889724310776943,0.5953937130407718,0.59,0.61,1.9999999999999907,0.0,-1.0000000000000009
OpenBMI,4,NRRF-v1,20,0.88,0.91,0.8999999999999999,0.89,0.8996386993175431,0.8891017239641092,0.9,0.89,-0.9999999999999898,1.0000000000000009,-2.0000000000000018
