method,n_subjects,BA_mean,BA_CI95_L,BA_CI95_U,macro_F1_mean,accuracy_mean,delta_BA_vs_Frozen_mean,delta_BA_vs_Frozen_CI95_L,delta_BA_vs_Frozen_CI95_U,negative_transfer_rate,negative_transfer_count,worst_quartile_delta,worst_subject_delta,protected_drift_mean,decision_drift_mean,complement_adaptation_mean
Frozen,41,0.7011588445429909,0.6586585365853659,0.7448780641783691,0.6694388781551941,0.7011632270168856,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Generic,41,0.7718944013303769,0.7293334257206209,0.8123917336474502,0.7700912257778993,0.7718949343339587,0.07073555678738605,0.0435441880697216,0.10097570599285541,0.14634146341463414,6,-0.004076561065197452,-0.010000000000000009,0.35117941505714656,1.4766590968972482,0.10707150895541326
IdentityGuard,41,0.7718931694998769,0.7303715585735403,0.8128051706085243,0.7702431077107365,0.7718918073796123,0.07073432495688592,0.04329791820645477,0.10121957763611727,0.14634146341463414,6,-0.003626606978879762,-0.02499999999999991,0.18822910406541102,1.2840135397841759,0.231678909233643
PCAGuard,41,0.7726210273466371,0.7317673688100518,0.8127429785661493,0.7710223376182861,0.7726235146966854,0.0714621828036462,0.043292652131066756,0.10170608524267061,0.12195121951219512,5,-0.0036409550045914045,-0.02499999999999991,0.18141686442584862,0.9972935781875775,0.4641329566913687
PERSISTGuard,41,0.7652988728750925,0.7228584742239468,0.8063428376755358,0.7639874585712748,0.7653033145716073,0.0641400283321015,0.03694490638088198,0.09451508607415612,0.17073170731707318,7,-0.006841712580348976,-0.020000000000000018,3.400757291051747e-08,4.4963181299629756e-09,0.17205825034998615
PersistenceGuard,41,0.771405364621828,0.73,0.8125682780549397,0.769402345650049,0.7714040025015634,0.07024652007883714,0.0434171863451589,0.10024652007883712,0.17073170731707318,7,-0.005444788797061551,-0.02499999999999991,0.3857144085599937,1.4628781208283788,0.10035322565335782
RandomGuard,41,0.7720155313295557,0.7311202061263037,0.8133416135439763,0.7700413803582823,0.77201480091724,0.07085668678656482,0.04390841981809969,0.10093900385973555,0.17073170731707318,7,-0.004382652280379592,-0.023333333333333355,0.35049613143211,1.4625981449188044,0.12009607133191852
