absolute_BA_difference,fold,model,protected_indices_valid,protected_rank,recovered_active_rank,recovered_protected_erased_BA,recovery_status,seed,stored_active_rank,stored_protected_erased_BA,task,tolerance
0.0,0,LiteBN,True,8,20,0.5871428571428572,PASS,0,20,0.5871428571428572,OpenBMI_MI,1e-05
0.0,1,LiteBN,True,8,20,0.5778571428571428,PASS,0,20,0.5778571428571428,OpenBMI_MI,1e-05
0.0,2,LiteBN,True,8,20,0.5692857142857143,PASS,0,20,0.5692857142857143,OpenBMI_MI,1e-05
1.1102230246251565e-16,3,LiteBN,True,8,20,0.5685714285714286,PASS,0,20,0.5685714285714285,OpenBMI_MI,1e-05
0.0,4,LiteBN,True,4,20,0.6449999999999999,PASS,0,20,0.6449999999999999,OpenBMI_MI,1e-05
1.1102230246251565e-16,0,TFFormer,True,8,20,0.5971428571428572,PASS,0,20,0.5971428571428571,OpenBMI_MI,1e-05
0.0,1,TFFormer,True,8,20,0.5750000000000001,PASS,0,20,0.5750000000000001,OpenBMI_MI,1e-05
0.0,2,TFFormer,True,4,20,0.6242857142857143,PASS,0,20,0.6242857142857143,OpenBMI_MI,1e-05
1.1102230246251565e-16,3,TFFormer,True,8,20,0.5535714285714286,PASS,0,20,0.5535714285714287,OpenBMI_MI,1e-05
1.1102230246251565e-16,4,TFFormer,True,8,20,0.5964285714285715,PASS,0,20,0.5964285714285714,OpenBMI_MI,1e-05
0.0,0,LiteBN,True,5,20,0.5513203463203463,PASS,0,20,0.5513203463203463,OpenBMI_ERP,1e-05
0.0,1,LiteBN,True,5,20,0.631991341991342,PASS,0,20,0.631991341991342,OpenBMI_ERP,1e-05
0.0,2,LiteBN,True,4,20,0.7112121212121212,PASS,0,20,0.7112121212121212,OpenBMI_ERP,1e-05
0.0,3,LiteBN,True,6,20,0.6601731601731603,PASS,0,20,0.6601731601731603,OpenBMI_ERP,1e-05
0.0,4,LiteBN,True,5,20,0.7194155844155844,PASS,0,20,0.7194155844155844,OpenBMI_ERP,1e-05
1.1102230246251565e-16,0,TFFormer,True,5,20,0.5751731601731601,PASS,0,20,0.5751731601731602,OpenBMI_ERP,1e-05
0.0,1,TFFormer,True,5,20,0.6293290043290043,PASS,0,20,0.6293290043290043,OpenBMI_ERP,1e-05
0.0,2,TFFormer,True,0,20,0.7998268398268399,PASS,0,20,0.7998268398268399,OpenBMI_ERP,1e-05
0.0,3,TFFormer,True,6,20,0.6576190476190477,PASS,0,20,0.6576190476190477,OpenBMI_ERP,1e-05
0.0,4,TFFormer,True,4,20,0.7165367965367965,PASS,0,20,0.7165367965367965,OpenBMI_ERP,1e-05
0.0,0,LiteBN,True,4,20,0.8250000000000001,PASS,0,20,0.8250000000000001,OpenBMI_SSVEP,1e-05
1.1102230246251565e-16,1,LiteBN,True,4,20,0.7835714285714285,PASS,0,20,0.7835714285714286,OpenBMI_SSVEP,1e-05
0.0,2,LiteBN,True,4,20,0.827857142857143,PASS,0,20,0.827857142857143,OpenBMI_SSVEP,1e-05
1.1102230246251565e-16,3,LiteBN,True,8,20,0.7007142857142858,PASS,0,20,0.7007142857142857,OpenBMI_SSVEP,1e-05
0.0,4,LiteBN,True,8,20,0.7249999999999999,PASS,0,20,0.7249999999999999,OpenBMI_SSVEP,1e-05
0.0,0,TFFormer,True,8,20,0.7071428571428572,PASS,0,20,0.7071428571428572,OpenBMI_SSVEP,1e-05
0.0,1,TFFormer,True,8,20,0.772142857142857,PASS,0,20,0.772142857142857,OpenBMI_SSVEP,1e-05
0.0,2,TFFormer,True,0,20,0.9185714285714287,PASS,0,20,0.9185714285714287,OpenBMI_SSVEP,1e-05
0.0,3,TFFormer,True,4,20,0.8914285714285715,PASS,0,20,0.8914285714285715,OpenBMI_SSVEP,1e-05
0.0,4,TFFormer,True,8,20,0.7614285714285713,PASS,0,20,0.7614285714285713,OpenBMI_SSVEP,1e-05
0.0,0,LiteBN,True,3,20,0.6205,PASS,0,20,0.6205,WBCIC_MI,1e-05
2.220446049250313e-16,1,LiteBN,True,4,20,0.5639999999999998,PASS,0,20,0.5640000000000001,WBCIC_MI,1e-05
1.1102230246251565e-16,2,LiteBN,True,4,20,0.5509999999999999,PASS,0,20,0.551,WBCIC_MI,1e-05
0.0,3,LiteBN,True,4,20,0.592,PASS,0,20,0.592,WBCIC_MI,1e-05
1.1102230246251565e-16,4,LiteBN,True,4,20,0.5914999999999999,PASS,0,20,0.5915,WBCIC_MI,1e-05
1.1102230246251565e-16,0,TFFormer,True,2,20,0.6169999999999999,PASS,0,20,0.617,WBCIC_MI,1e-05
1.1102230246251565e-16,1,TFFormer,True,4,20,0.5545,PASS,0,20,0.5545000000000001,WBCIC_MI,1e-05
0.0,2,TFFormer,True,4,20,0.5295,PASS,0,20,0.5295,WBCIC_MI,1e-05
0.0,3,TFFormer,True,4,20,0.596,PASS,0,20,0.596,WBCIC_MI,1e-05
1.1102230246251565e-16,4,TFFormer,True,4,20,0.5894999999999999,PASS,0,20,0.5895,WBCIC_MI,1e-05
