artifact_type,task,model,fold,seed,path,sha256,status
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_peeh_v1/code/run_peeh.py,679fd3becb61baa035d5d2978186e7085e77135d7004c7bfef30ba5c050406c9,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_peeh_v1/outputs/peeh_v1/RUN_LEVEL_PEEH.csv,7c15d5032591adfbdbb3a3992e9f70f8c3dce5f4bb58ae7b72892d1860f4ff61,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_peeh_v1/outputs/peeh_v1/PROTECTED_BLOCK_SELECTION.csv,ac366dc9cd7237a41f0c38ac13265b2630d4ab0f5379657466fab08ff80c022e,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_peeh_v1/outputs/peeh_v1/TASK_LEVEL_PEEH.csv,4b11033dbaa49d39c5bafd23c1ee363db16b8862554d00f6925d13d334ee70b8,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_peeh_v1/protocol/PROTOCOL_LOCK.json,a039d7cd24146d95ddd2d3d7708bb763c6f657c5d8e44db95827c001e1af150f,REUSED_EXACT
frozen_64d_embeddings,OpenBMI_MI,LiteBN,0,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/embeddings/OpenBMI_MI/LiteBN/fold0_seed0.npz,a95a28134f9046c1ce65539c28ae8fe0adde7dfc90898b77ea88b39b9d75b2c9,REUSED_EXACT
corrected_peeh_run,OpenBMI_MI,LiteBN,0,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/run_results/OpenBMI_MI/LiteBN/fold0_seed0.json,ed7f9647585aa5d333bc478c9dbdc48f4e49ed7ef5bd5e0436111c40ef6c3e56,REUSED_EXACT
protected_union,OpenBMI_MI,LiteBN,0,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/run_results/OpenBMI_MI/LiteBN/fold0_seed0.json#protected_coordinates,2587b2760d17a77b71c7f4eed2e33d5e90d666b11366c088f57685dc0d69dcc8,REUSED_EXACT
frozen_checkpoint,OpenBMI_MI,LiteBN,0,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,VERIFIED_EXACT
frozen_train_only_normalizer,OpenBMI_MI,LiteBN,0,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,VERIFIED_EXACT
revised_final_random_sets,OpenBMI_MI,LiteBN,0,0,"revised PSWA rule#stable_seed(final-random,model,task,fold,draw)",1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,EXACT_DETERMINISTIC_RECONSTRUCTION_NO_REDRAW
frozen_64d_embeddings,OpenBMI_MI,LiteBN,1,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/embeddings/OpenBMI_MI/LiteBN/fold1_seed0.npz,a6c7d52204a8144fce538256e0c9f5439964f6305deb32295a5daa74260b743f,REUSED_EXACT
corrected_peeh_run,OpenBMI_MI,LiteBN,1,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/run_results/OpenBMI_MI/LiteBN/fold1_seed0.json,bf0d096d55fe108c855172803ecfa23bcfc6d5093a3843f5a8529397e5ba08b9,REUSED_EXACT
protected_union,OpenBMI_MI,LiteBN,1,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/run_results/OpenBMI_MI/LiteBN/fold1_seed0.json#protected_coordinates,ba53a4aa12c9f94924ab277189a5e8f6496c4117e8aa33eba863ac442fbcaf2c,REUSED_EXACT
frozen_checkpoint,OpenBMI_MI,LiteBN,1,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,VERIFIED_EXACT
frozen_train_only_normalizer,OpenBMI_MI,LiteBN,1,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold1.npz,2dcccf19c978071b433212549388d9fa8a43224eec3dbb980ccdee27af1de9db,VERIFIED_EXACT
revised_final_random_sets,OpenBMI_MI,LiteBN,1,0,"revised PSWA rule#stable_seed(final-random,model,task,fold,draw)",c6a684558b6fd09a3f6351cdedc324cc638fc3b68f174eeb08443981d81d4599,EXACT_DETERMINISTIC_RECONSTRUCTION_NO_REDRAW
frozen_64d_embeddings,OpenBMI_MI,LiteBN,2,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/embeddings/OpenBMI_MI/LiteBN/fold2_seed0.npz,d0b3dc6dd265c536017921cfaab8f9be69ab5d46508c3a9136ae3503bd511c79,REUSED_EXACT
corrected_peeh_run,OpenBMI_MI,LiteBN,2,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/run_results/OpenBMI_MI/LiteBN/fold2_seed0.json,d9fc42025aa933bc34a681d5be7b82c7d8bc69d916f2a768d53b2dd6f2b50da8,REUSED_EXACT
protected_union,OpenBMI_MI,LiteBN,2,0,/root/rivermind-data/litebn_tfformer_peeh_v1_runtime/run_results/OpenBMI_MI/LiteBN/fold2_seed0.json#protected_coordinates,ba53a4aa12c9f94924ab277189a5e8f6496c4117e8aa33eba863ac442fbcaf2c,REUSED_EXACT
