BA,active_rank,basis_sha256,fold,model,protected_coordinates,protected_rank,random_sets_sha256,recovery_status,seed,session,status,subject_id,task,trials
0.71,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,4,OpenBMI_MI,100
0.77,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,4,OpenBMI_MI,100
0.73,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,12,OpenBMI_MI,100
0.61,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,12,OpenBMI_MI,100
0.6699999999999999,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,13,OpenBMI_MI,100
0.71,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,13,OpenBMI_MI,100
0.6499999999999999,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,17,OpenBMI_MI,100
0.65,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,17,OpenBMI_MI,100
0.64,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,18,OpenBMI_MI,100
0.6000000000000001,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,18,OpenBMI_MI,100
0.5900000000000001,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,24,OpenBMI_MI,100
0.62,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,24,OpenBMI_MI,100
0.71,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,25,OpenBMI_MI,100
0.97,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S2,VALID,25,OpenBMI_MI,100
0.58,20,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,0,LiteBN,"[3, 4, 5, 6, 7, 8, 9, 10]",8,1df0f91b7d877ecb41b6de731c772cdae9c8556c61c922f03e0b6a85f6a19c8a,PASS,0,S1,VALID,29,OpenBMI_MI,100
