method,fold,seed,subject_id,BA,macro_f1,n_trials,source_model_noadapt_BA,adaptation_delta_BA,negative_transfer,adaptation_time_s,target_trainable_parameters,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used
B0_VANILLA_EEGNET,4,2,3,0.96,0.959983993597439,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,2,3,0.96,0.959983993597439,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,2,3,0.96,0.959983993597439,100,0.96,0.0,False,0.5345839000074193,130,False,False,False
A2_DUAL_CONTROL,4,2,3,0.95,0.9499549594635172,100,0.94,0.010000000000000009,False,0.45496890001231804,98,False,False,False
A6_PUD_ALL_ADAPT,4,2,3,0.98,0.98,100,0.9299999999999999,0.050000000000000044,False,0.4589239999768324,196,False,False,False
A7_IDENTITY_PROTECTED,4,2,3,0.87,0.8684077335762729,100,0.87,0.0,False,0.43524919997435063,98,False,False,False
A8_RANDOM_PROTECTED,4,2,3,0.9099999999999999,0.9099189270343309,100,0.9099999999999999,0.0,False,0.47271210001781583,98,False,False,False
A10_FULL_PUD_FREEZE,4,2,3,0.97,0.96999699969997,100,0.9299999999999999,0.040000000000000036,False,0.46828370000002906,98,False,False,False
B0_VANILLA_EEGNET,4,2,8,0.78,0.7799119647859143,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,2,8,0.78,0.7799119647859143,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,2,8,0.75,0.7497747973175859,100,0.78,-0.030000000000000027,True,0.41461710003204644,130,False,False,False
A2_DUAL_CONTROL,4,2,8,0.87,0.8698828946051447,100,0.89,-0.020000000000000018,True,0.5007431000121869,98,False,False,False
A6_PUD_ALL_ADAPT,4,2,8,0.78,0.78,100,0.8200000000000001,-0.040000000000000036,True,0.5008711000555195,196,False,False,False
A7_IDENTITY_PROTECTED,4,2,8,0.79,0.7898108297467721,100,0.79,0.0,False,0.46012169995810837,98,False,False,False
A8_RANDOM_PROTECTED,4,2,8,0.79,0.7889659330720531,100,0.86,-0.06999999999999995,True,0.43702610000036657,98,False,False,False
A10_FULL_PUD_FREEZE,4,2,8,0.86,0.86,100,0.8200000000000001,0.039999999999999925,False,0.4357339999987744,98,False,False,False
B0_VANILLA_EEGNET,4,2,11,0.77,0.7694235588972431,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,4,2,11,0.77,0.7694235588972431,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,4,2,11,0.72,0.7159090909090908,100,0.77,-0.050000000000000044,True,0.4090921000461094,130,False,False,False
A2_DUAL_CONTROL,4,2,11,0.77,0.7694235588972431,100,0.74,0.030000000000000027,False,0.42971609998494387,98,False,False,False
A6_PUD_ALL_ADAPT,4,2,11,0.75,0.7493734335839599,100,0.76,-0.010000000000000009,True,0.5100992000079714,196,False,False,False
A7_IDENTITY_PROTECTED,4,2,11,0.76,0.7596153846153846,100,0.72,0.040000000000000036,False,0.465594700013753,98,False,False,False
