method,fold,seed,subject_id,strategy,trainable_parameter_names,trainable_parameters,parameter_update_l2,adaptation_time_s,adaptation_seed,all_adapt,protected_parameter_update_l2,adaptive_parameter_update_l2,protected_buffer_update_l2
A2_DUAL_CONTROL,4,2,30,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.47561709996080026,3687719488.0,False,0.0,0.1500864948051677,0.0
A6_PUD_ALL_ADAPT,4,2,30,head,"['protected_head.weight', 'protected_head.bias', 'adaptive_head.weight', 'adaptive_head.bias']",196,,0.4588009000290185,3687719488.0,True,0.1030568840685398,0.09828056982525983,69.3207695100195
A7_IDENTITY_PROTECTED,4,2,30,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4437879000324756,3687719488.0,False,0.0,0.1395477364496906,0.0
A8_RANDOM_PROTECTED,4,2,30,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4632247999543324,3687719488.0,False,0.0,0.14011075281033875,0.0
A10_FULL_PUD_FREEZE,4,2,30,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.47142990003339946,3687719488.0,False,0.0,0.14620210432293285,0.0
B2_STRONG_GENERIC,4,2,38,head,"['head.weight', 'head.bias']",130,0.17311225762855342,0.4098136000102386,,,,,
A2_DUAL_CONTROL,4,2,38,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4671637999708764,2494110740.0,False,0.0,0.15204145454823864,0.0
A6_PUD_ALL_ADAPT,4,2,38,head,"['protected_head.weight', 'protected_head.bias', 'adaptive_head.weight', 'adaptive_head.bias']",196,,0.5006691999733448,2494110740.0,True,0.1043047940358885,0.11331297642386379,69.33513998717164
A7_IDENTITY_PROTECTED,4,2,38,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.48059390002163127,2494110740.0,False,0.0,0.1488410931698142,0.0
A8_RANDOM_PROTECTED,4,2,38,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.43910609994782135,2494110740.0,False,0.0,0.15063303988193097,0.0
A10_FULL_PUD_FREEZE,4,2,38,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4399224999942817,2494110740.0,False,0.0,0.09724599979090566,0.0
B2_STRONG_GENERIC,4,2,52,head,"['head.weight', 'head.bias']",130,0.14336621781696704,0.4109523000079207,,,,,
A2_DUAL_CONTROL,4,2,52,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.44204290001653135,2470543701.0,False,0.0,0.11818712473202954,0.0
A6_PUD_ALL_ADAPT,4,2,52,head,"['protected_head.weight', 'protected_head.bias', 'adaptive_head.weight', 'adaptive_head.bias']",196,,0.4544611999881454,2470543701.0,True,0.08750260128165648,0.09006527452698405,69.28737652158411
A7_IDENTITY_PROTECTED,4,2,52,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4583699000068009,2470543701.0,False,0.0,0.09612176595738461,0.0
A8_RANDOM_PROTECTED,4,2,52,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4746648000436835,2470543701.0,False,0.0,0.10038453315089542,0.0
A10_FULL_PUD_FREEZE,4,2,52,head,"['adaptive_head.weight', 'adaptive_head.bias']",98,,0.4309143000282347,2470543701.0,False,0.0,0.12158109349057668,0.0
