subject_id,erm_BA,erm_macro_F1,erm_accuracy,erm_recall_0,erm_recall_1,erm_trials,prd_BA,prd_macro_F1,prd_accuracy,prd_recall_0,prd_recall_1,prd_trials,delta_BA_pp
15,0.78,0.779205138498595,0.78,0.84,0.72,100,0.8200000000000001,0.8197115384615384,0.82,0.78,0.86,100,4.0000000000000036
38,0.6799999999999999,0.677938808373591,0.68,0.76,0.6,100,0.6599999999999999,0.6510673234811166,0.66,0.82,0.5,100,-2.0000000000000018
6,0.96,0.959983993597439,0.96,0.94,0.98,100,0.94,0.9399759903961584,0.94,0.92,0.96,100,-2.0000000000000018
33,0.8,0.797979797979798,0.8,0.9,0.7,100,0.77,0.7647058823529411,0.77,0.92,0.62,100,-3.0000000000000027
32,0.65,0.6471418489767113,0.65,0.56,0.74,100,0.67,0.6643271284711627,0.67,0.54,0.8,100,2.0000000000000018
3,0.8200000000000001,0.8152709359605912,0.82,0.66,0.98,100,0.88,0.8799519807923168,0.88,0.86,0.9,100,5.999999999999995
5,0.74,0.7373737373737375,0.74,0.84,0.64,100,0.7,0.6940024479804161,0.7,0.84,0.56,100,-4.0000000000000036
47,0.89,0.8899889988998899,0.89,0.9,0.88,100,0.8500000000000001,0.8492613807657522,0.85,0.78,0.92,100,-3.9999999999999925
26,0.8500000000000001,0.849624060150376,0.85,0.8,0.9,100,0.86,0.8590982286634461,0.86,0.78,0.94,100,0.9999999999999898
2,0.8,0.7960016319869441,0.8,0.66,0.94,100,0.79,0.7882851093860268,0.79,0.7,0.88,100,-1.0000000000000009
14,0.72,0.7126436781609196,0.72,0.56,0.88,100,0.77,0.769792813532179,0.77,0.74,0.8,100,5.000000000000004
31,0.76,0.7519636213311285,0.76,0.94,0.58,100,0.77,0.7631551848419318,0.77,0.94,0.6,100,1.0000000000000009
28,0.84,0.8376623376623377,0.84,0.72,0.96,100,0.8300000000000001,0.8291628982011858,0.83,0.76,0.9,100,-0.9999999999999898
35,0.86,0.8590982286634461,0.86,0.94,0.78,100,0.88,0.8792270531400965,0.88,0.96,0.8,100,2.0000000000000018
