seed,fold,candidate_order,eigenvalue,P_cross_session,U_signed_loss,U_signed_BA,D_decision_flip,PUD_score,passed,identity_required,source_subjects
0,0,0,1.3125061861269598,0.821725621737642,0.00021342139731439502,-0.002903225806451637,0.002903225806451613,9.44942109573084e-06,True,False,31
0,0,1,0.3153134766961119,0.820329884037236,0.010040474259501941,0.007096774193548372,0.03870967741935484,0.0016205130644901247,True,False,31
0,0,2,0.23139775870933263,0.7766981770108772,0.0030599899096550587,0.002903225806451637,0.022903225806451613,0.00035968357703166666,True,False,31
0,0,3,0.19998550482354752,0.7698166692467,0.08989156517494445,0.04322580645161289,0.14903225806451612,0.026714459652052446,True,False,31
0,0,4,0.14938424843517986,0.816096483205642,-9.663641786916699e-05,-0.001612903225806539,0.004193548387096774,0.0,False,False,31
0,0,5,0.10126232634710526,0.731184336074527,0.00202063705158817,0.002903225806451637,0.017741935483870968,0.00019679573874355183,True,False,31
0,0,6,0.06303743836549504,0.7255971028837226,0.0004452050147212283,-0.002258064516129088,0.01,3.230394704862257e-05,True,False,31
0,0,7,0.055051555710283244,0.882617933223115,0.001107964478584078,-0.002580645161290418,0.015483870967741935,0.0001216853673655408,True,False,31
0,0,8,0.048284494725631864,0.7071615650304526,0.003333504776667273,-0.001935483870967758,0.027096774193548386,0.00038804181474966167,True,False,31
0,0,9,0.03541737810550476,0.6677855296794656,0.0008419383752730214,-0.003225806451612856,0.013548387096774193,6.544268492750671e-05,True,False,31
0,0,10,0.03311942750809849,0.8043898778858164,0.00025434628796927594,0.000645161290322549,0.0032258064516129032,1.1620134650065255e-05,True,False,31
0,0,11,0.03038997925690951,0.605950595470831,0.0015400582287927178,0.0,0.011612903225806452,0.00010056451501912793,True,False,31
0,0,12,0.025832553793101613,0.6408946009212014,0.0008390668328904782,-0.001290322580645209,0.012903225806451613,6.108468206611241e-05,True,False,31
0,0,13,0.021871264777418374,0.7091078914059342,-0.00024726576683309354,-0.00064516129032266,0.001935483870967742,0.0,False,False,31
0,0,14,0.020789517415211314,0.6662174507567921,0.0006794485158856389,-0.001612903225806539,0.016451612903225808,5.8059969202096584e-05,True,False,31
0,0,15,0.015274544056706973,0.6267204678434517,-0.00032746582641257627,-0.003548387096774186,0.004193548387096774,0.0,False,False,31
0,0,16,0.014129769786563006,0.6763258936425932,4.92683044442388e-05,-0.00064516129032266,0.005806451612903226,2.539095529361903e-06,True,False,31
0,0,17,0.01272203335057349,0.6939664074943158,0.00043264989157942857,-0.00032258064516133,0.007419354838709678,2.586176264523771e-05,True,False,31
0,0,18,0.009179539180153328,0.5844921083111191,-0.0002171954297525147,-0.001290322580645209,0.001935483870967742,0.0,False,False,31
0,0,19,0.008270467910532717,0.6425319213862379,0.00017317445116127317,-0.000967741935483879,0.004193548387096774,7.205586944946769e-06,True,False,31
0,0,20,0.007231131336132841,0.47657034906532414,-2.249430433298727e-05,-0.00032258064516133,0.007419354838709678,0.0,False,False,31
