fold,subject_id,role,protected_rank,BA_NoAdapt,BA_Strong_Generic,FutureDeltaBA,NegativeTransfer,internal_holdout_used,history_CE,history_BA,history_margin,history_entropy,history_confidence,update_norm,gradient_norm,history_improvement,split_history_disagreement,sample_count,identity_projection_norm,identity_nearest_distance,identity_confidence,persistence_magnitude,persistence_split_stability,protected_utility_t0,decision_coupling_t0,protected_functional_retention,cumulative_protected_damage,maximum_protected_damage,damaging_step_fraction,decision_coupling_degradation,protected_contribution_change,task_protected_gradient_conflict,task_protected_gradient_cosine,protected_function_slope,protected_split_disagreement,damage_alpha_0,damage_alpha_05,damage_alpha_075,damage_alpha_1,BA_alpha_0_0,BA_alpha_0_5,BA_alpha_0_75,BA_alpha_1_0
0,1,meta,8,0.71,0.7,-0.010000000000000009,1,False,0.6249698523596606,0.7066666666666667,1.5797115196176446,0.4609831498221195,0.7783079508052634,0.2975873943497526,0.42260431178470803,0.05000000000000001,0.04666666666666667,100.0,1.8747129552412307,0.4550163069057193,0.11617707918049403,0.5644383693439298,0.550943737595876,0.01815511356393233,0.24333333333333332,1.8846380429792424,0.000329399516562634,0.00022475111626811076,0.16666666666666666,0.03333333333333335,-0.15755811443774848,-0.08791285402792082,-0.49622686351012285,0.023935789676752587,0.000195982950111769,0.0,0.000329399516562634,0.000329399516562634,0.000329399516562634,0.71,0.7,0.71,0.7
0,3,meta,8,0.8400000000000001,0.9,0.05999999999999994,0,False,0.4351936050912359,0.7966666666666667,2.0867633545919015,0.38483812935934597,0.8253929571150427,0.2791538831452152,0.4518744782722977,0.043333333333333335,0.09333333333333327,100.0,2.3094665577567985,0.37022335300947146,0.19474803295834123,1.001871003331704,0.5408436814189541,0.107700416866069,0.16,1.1742088651567661,0.0,0.0,0.0,0.013333333333333341,-0.08360102114747818,-0.1104447979361697,-0.4728032667387225,0.017978180778223923,0.0,0.0,0.0,0.0,0.0,0.8400000000000001,0.8500000000000001,0.89,0.9
0,5,meta,8,0.86,0.86,0.0,0,False,0.19114308338247188,0.93,2.611761592018344,0.2916293098947018,0.8816207154072813,0.19118877371596069,0.23947678398369932,0.020000000000000018,0.020000000000000018,100.0,1.296056466717183,0.6812551956345666,0.08519191870694016,0.7897049743497125,0.60639929435431,0.25882342972619904,0.11666666666666665,0.9289223924306557,0.016740978479067543,0.0044893248971717425,1.0,0.04,0.03968664588782963,0.024332745451025355,0.1987777708125209,-0.01674076005876278,0.00660765688928532,0.0,0.008775720053255146,0.012859268085943612,0.016740978479067543,0.86,0.86,0.86,0.86
0,6,meta,8,0.95,0.96,0.010000000000000009,0,False,0.13981108128029218,0.9566666666666667,3.0927871454648095,0.24117809958896153,0.909667076300995,0.17955888629530714,0.22959653912432124,0.006666666666666672,0.03333333333333336,100.0,0.8283801179686431,0.28444482299989415,0.10633293162144719,0.6299864693394137,0.5740509825116087,0.2867263210232213,0.08,0.9700187626976241,0.009130648543650874,0.0023197650443113247,0.6666666666666666,0.03000000000000001,0.10361879090933224,0.023265113345990063,0.1693451233107208,-0.008530860029007164,0.011360592091510496,0.0,0.004618620756107528,0.006890604519615012,0.009130648543650874,0.95,0.95,0.96,0.96
0,7,meta,8,0.87,0.87,0.0,0,False,0.3536948001039765,0.8366666666666668,1.8393095149376293,0.41526077383826737,0.810634843085961,0.2353350938899296,0.32310809588968115,0.029999999999999916,0.013333333333333308,100.0,1.242884975711571,0.19665015347246814,0.14340231991018174,0.940161795012584,0.5391433566127253,0.20018795723125152,0.18000000000000002,1.073071965812491,0.0,0.0,0.0,0.013333333333333327,0.06448446631775943,-0.03724501264938929,-0.2974709460771156,0.013572847709769575,0.0,0.0,0.0,0.0,0.0,0.87,0.87,0.87,0.87
0,8,meta,8,0.8200000000000001,0.8,-0.020000000000000018,1,False,0.3776561722902687,0.8300000000000001,2.0075156777566496,0.39031652235274733,0.8203419462000574,0.24991142252023654,0.2642669680012364,0.04,0.07333333333333332,100.0,2.141560461657812,0.3990475411752948,0.137706970518374,0.4730863734438644,0.6079120502257469,0.15852616522076474,0.16666666666666666,1.0535004938698755,0.0,0.0,0.0,0.0,-0.016161397635097757,-0.010320680794544929,-0.11179675498080797,0.008271968017563068,0.0050425320508918165,0.0,0.0,0.0,0.0,0.8200000000000001,0.8,0.8,0.8
0,9,meta,8,0.66,0.69,0.029999999999999916,0,False,0.4956915186908651,0.77,1.4435670349925076,0.48363006454710744,0.7630705994202244,0.27376866406883543,0.32226409935561856,0.05666666666666668,0.03999999999999996,100.0,2.081545555981524,0.1977833053679575,0.17778041819636484,0.6420498786504062,0.5996719167543069,0.1077375469301235,0.22999999999999998,1.1703410169678254,0.0,0.0,0.0,0.003333333333333336,-0.009563706780189843,-0.01915950977323661,-0.20130348511635413,0.016722631405870252,0.0,0.0,0.0,0.0,0.0,0.66,0.68,0.68,0.69
0,10,meta,8,0.71,0.73,0.020000000000000018,0,False,0.6459048700579287,0.66,1.3558817705865363,0.49993871601038214,0.7521088936801572,0.2914831822132999,0.39126546365677334,0.04999999999999997,0.03333333333333329,100.0,2.2890722340318015,0.3168805785027015,0.16518827237758646,0.6708199601615097,0.5183732378698634,0.0009036852928254365,0.19333333333333336,1.0972783643504271,0.0,0.0,0.0,0.0,-0.1416795192063051,-0.08540840352042363,-0.6212257797975435,0.028707252663873736,0.0,0.0,0.0,0.0,0.0,0.71,0.7,0.71,0.73
0,11,meta,8,0.77,0.8,0.030000000000000027,0,False,0.4685521305577529,0.7666666666666666,1.9486379765447364,0.39881122474685,0.8195919934339301,0.2550610838633278,0.411413244251244,0.030000000000000027,0.10000000000000009,100.0,2.390712689644221,0.5091034121723422,0.17252215841565152,1.1073958831936972,0.5777279031730486,0.07560195755425292,0.17,1.6640739077957727,0.0,0.0,0.0,0.02666666666666666,-0.10820579267371988,-0.09511217718808355,-0.5593897958373505,0.02316867802026038,0.0,0.0,0.0,0.0,0.0,0.77,0.79,0.79,0.8
0,15,meta,8,0.9,0.88,-0.020000000000000018,1,False,0.08909753406517273,0.96,3.9059755343631686,0.14421602332523611,0.9492528745427581,0.14340494585021246,0.14024497615242498,0.010000000000000009,0.03333333333333336,100.0,1.0231955378617923,0.3693243111728233,0.11049987730383204,0.6540416560612071,0.6981840602864137,0.24377849378290697,0.04666666666666667,0.9698081188154682,0.008880394330779159,0.00235913527964506,0.6666666666666666,0.01666666666666667,-0.037214354815240824,0.02336426312961687,0.2699390664845745,-0.00827989207733224,0.006581568058546039,0.0,0.004623639750174362,0.006796392949011705,0.008880394330779159,0.9,0.9,0.9,0.88
0,16,meta,8,0.95,0.95,0.0,0,False,0.3889009020302878,0.84,1.8700773748068344,0.41283458771447085,0.8091390559929966,0.24098004804493645,0.31451132423797584,0.029999999999999954,0.05999999999999994,100.0,1.0321400367332945,0.6802415442827231,0.08003594542553435,0.7477005776260107,0.6760980979304992,0.17132121700185468,0.19333333333333336,1.0303069342967721,0.004163424611718591,0.0011716410400125314,0.3333333333333333,0.01,-0.013668121171175107,-0.016724815209112287,-0.16153745001072903,0.004226663315977293,0.004490262989936526,0.0,0.002254105442851003,0.0032502559792924415,0.004163424611718591,0.95,0.95,0.95,0.95
0,20,meta,8,0.9,0.9,0.0,0,False,0.3422209392754736,0.8466666666666667,1.9565483327640283,0.40072584921204407,0.8205394445207022,0.23966177088596516,0.2597142548515255,0.013333333333333345,0.06666666666666661,100.0,0.9287027475647657,0.6384524678427094,0.08293667230014672,0.6923450156631921,0.5356985566596021,0.2005745122155993,0.16666666666666666,0.9767805843255513,0.0057519617113936565,0.0016002390549710126,0.6666666666666666,0.010000000000000009,0.010346320395417644,0.005517177447059432,0.05552134520842561,-0.005635635179790754,0.009595541922452025,0.0,0.003093415274339817,0.004477606610726899,0.0057519617113936565,0.9,0.9,0.9,0.9
0,21,meta,8,0.9,0.9,0.0,0,False,0.37997266756576203,0.7933333333333333,1.8635844435631537,0.41020556591144947,0.8099424008863579,0.2432620062493264,0.3027208759117174,0.07333333333333332,0.07999999999999992,100.0,0.9717898892391673,0.49619911886130214,0.0940625616878097,0.9710255744856383,0.5592556714964763,0.1896769070371748,0.16666666666666666,1.0407222254919075,0.001494872548599831,0.0004275974807776047,0.3333333333333333,0.006666666666666664,0.01717806684545368,-0.0247659475796497,-0.2199704629982974,0.006209827812390603,0.0029851280265393854,0.0,0.0008192171528501232,0.0011748237516539712,0.001494872548599831,0.9,0.9,0.9,0.9
0,22,meta,8,0.79,0.79,0.0,0,False,0.5470373096396018,0.7233333333333333,1.4261516003551116,0.48927059171444,0.7615593058299225,0.2597462281990455,0.2588914934154277,0.01666666666666668,0.06666666666666672,100.0,2.487365819193865,0.5487768609246704,0.14614289671061317,0.576922283082421,0.5956432403551816,0.09259663405334999,0.22666666666666666,1.165320837428564,0.0,0.0,0.0,0.01999999999999999,-0.06087392875588785,-0.024298294819297548,-0.31601179603541435,0.015141093513338227,0.005003096224024765,0.0,0.0,0.0,0.0,0.79,0.79,0.79,0.79
0,23,meta,8,0.75,0.78,0.030000000000000027,0,False,0.5175184833866878,0.71,1.5993372090972564,0.45787204824820615,0.783108735053311,0.2804600375043283,0.4073727584838048,0.0733333333333334,0.1666666666666667,100.0,1.0843227765262988,0.2721473120250791,0.11818831056896158,0.6985703813008617,0.6432530983230955,0.10217347692642868,0.21999999999999997,1.1962994600313086,0.0,0.0,0.0,0.02999999999999999,-0.046199684689206245,-0.06545867405446985,-0.44975580291462763,0.019516801209754398,0.0,0.0,0.0,0.0,0.0,0.75,0.76,0.77,0.78
0,26,meta,8,0.87,0.88,0.010000000000000009,0,False,0.29471750622777565,0.8666666666666667,2.56211392670714,0.3013254678544763,0.8793468228974763,0.21542399394520304,0.22634123592678135,0.020000000000000018,0.013333333333333272,100.0,0.8161078849875686,0.5541486293406356,0.07986661513368055,0.6550581642577419,0.557668720350672,0.2190913323110015,0.14333333333333334,1.1254536192798799,0.0,0.0,0.0,0.01,0.032179128063807516,-0.03502861063569775,-0.3506000036857267,0.024506027342590372,0.0006092551954535175,0.0,0.0,0.0,0.0,0.87,0.88,0.88,0.88
0,27,meta,8,0.94,0.95,0.010000000000000009,0,False,0.24598489622205003,0.9066666666666666,2.179208747880717,0.3657200372666602,0.8409149062250831,0.21096232235493564,0.26909100581038814,0.026666666666666616,0.09333333333333331,100.0,2.1923173930985036,0.46982362448695003,0.14947048051780065,0.7610596487300135,0.50884253899476,0.22113512533195653,0.15000000000000002,0.9721332158852767,0.006691638925406547,0.0018482449097730336,1.0,0.026666666666666672,0.07082948396252926,0.013495627150326985,0.13884675898031995,-0.006691304646596677,0.00835791491812928,0.0,0.0035791890463893103,0.0051932286754517165,0.006691638925406547,0.94,0.95,0.95,0.95
0,28,meta,8,0.83,0.83,0.0,0,False,0.3625145362542132,0.8400000000000002,2.740571985266818,0.2880991538699314,0.881861531839168,0.2632605041522504,0.3808355063546334,0.026666666666666578,0.05333333333333327,100.0,1.022398235269097,0.3874132661954288,0.11093197713726262,0.8023771761099677,0.6597574881100488,0.12780573603369408,0.11333333333333334,1.3794080433421794,0.0,0.0,0.0,0.006666666666666672,-0.06731097241978519,-0.09917061463767089,-0.4069655217362187,0.034698008024987764,0.0,0.0,0.0,0.0,0.0,0.83,0.83,0.83,0.83
0,30,meta,8,0.8,0.81,0.010000000000000009,0,False,0.41766365056105803,0.8133333333333334,1.749374135747897,0.4331006835431288,0.8043759182220317,0.24114816168517228,0.3362796377720103,0.009999999999999972,0.10000000000000002,100.0,0.8834436743448566,0.2167929552828365,0.12259539778688783,0.6988607056754715,0.5868914181931449,0.1506306029259211,0.22666666666666666,1.0730833391387444,0.0007881714805561546,0.0003107221696674878,0.3333333333333333,0.003333333333333327,0.01105543891891895,-0.05011628117978101,-0.378814841374576,0.01385795171129287,0.003703327331392725,0.0,0.000542379756084658,0.0006996870260745544,0.0007881714805561546,0.8,0.8,0.81,0.81
0,31,meta,8,0.92,0.9,-0.020000000000000018,1,False,0.23927240043929454,0.9066666666666666,2.4734139069436334,0.32229557818210053,0.8611903483404107,0.20965828764202643,0.24162777158601356,0.023333333333333317,0.05999999999999998,100.0,2.0242076163441394,0.40475347373474785,0.13984148215985548,0.7174683320155344,0.5434233817727656,0.2376891176042346,0.12666666666666668,1.0444314769108034,0.0,0.0,0.0,0.016666666666666673,0.09819933634480593,-0.008662636164336233,-0.08597088553792193,0.01004559895777598,0.002880505103739143,0.0,0.0,0.0,0.0,0.92,0.92,0.92,0.9
