method,subjects,BA,delta_vs_strong_generic,paired_CI95_L,paired_CI95_U,wins,losses,ties,fold_positive_count,negative_transfer_rate,generic_harmed,rescued_harms,new_harms,mean_alpha,internal_holdout_used,dataset,backbone,seed,delta_vs_vanilla,delta_vs_noadapt,worst_quartile_BA,macro_F1,accuracy,fold_correct,strict_holdout,valid_for_main_claim
Vanilla EEGNet,40,0.7496666666666667,,,,,,,,,,,,,False,OpenBMI,StandardEEGNet,"0,1,2",0.0,,,0.7449880923148804,0.7496666666666667,True,False,False
NoAdapt,40,0.7639999999999999,-0.008749999999999999,-0.014999999999999994,-0.002500000000000005,9.0,24.0,7.0,0.0,0.0,9.0,9.0,0.0,,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.014333333333333198,0.0,0.657,0.7600951124529152,0.764,True,False,False
Strong Generic,40,0.77275,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.225,9.0,0.0,0.0,,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.023083333333333345,0.008750000000000147,0.6609999999999999,0.7693328446947171,0.77275,True,False,False
confidence guard,40,0.7735,0.0007499999999999978,-0.0015000000000000013,0.003,5.0,2.0,33.0,1.0,0.175,9.0,3.0,1.0,0.94375,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.023833333333333262,0.009500000000000064,0.662,0.7701124216481963,0.7735,True,False,False
update-magnitude guard,40,0.774,0.0012499999999999983,-0.001006250000000006,0.0037500000000000007,6.0,2.0,32.0,2.0,0.15,9.0,4.0,1.0,0.93125,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.024333333333333318,0.01000000000000012,0.664,0.7708083398711731,0.774,True,False,False
identity guard,40,0.77225,-0.0005000000000000033,-0.0025000000000000022,0.0012499999999999955,4.0,4.0,32.0,1.0,0.225,9.0,1.0,1.0,0.775,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.02258333333333329,0.00825000000000009,0.6599999999999999,0.7687428025522893,0.77225,True,False,False
P-only guard,40,0.7735,0.0007500000000000007,-0.0014999999999999985,0.0030000000000000027,5.0,2.0,33.0,2.0,0.175,9.0,3.0,1.0,0.925,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.023833333333333262,0.009500000000000064,0.662,0.7700640728124222,0.7735,True,False,False
generic-diagnostic guard,40,0.77275,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.225,9.0,0.0,0.0,0.9875,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.023083333333333345,0.008750000000000147,0.6609999999999999,0.7693328446947171,0.77275,True,False,False
random guard,40,0.772,-0.0007500000000000007,-0.003250000000000003,0.0020000000000000018,4.0,6.0,30.0,1.0,0.2,9.0,2.0,1.0,0.8625,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.022333333333333316,0.008000000000000118,0.662,0.7685626635307192,0.772,True,False,False
V1_PERSIST_ROLLBACK,40,0.77125,-0.0014999999999999985,-0.004750000000000004,0.0012500000000000011,1.0,5.0,34.0,1.0,0.2,9.0,1.0,0.0,0.85,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.021583333333333288,0.00725000000000009,0.6599999999999999,0.7675943039134985,0.77125,True,False,False
V2_PERSIST_FIXED_SHRINK,40,0.7737499999999999,0.000999999999999998,-0.0012562500000000035,0.0034999999999999975,7.0,3.0,30.0,2.0,0.175,9.0,3.0,1.0,0.89375,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.024083333333333234,0.009750000000000036,0.663,0.770351256340932,0.7737499999999999,True,False,False
V3_PERSIST_TRUST_REGION,40,0.7735000000000001,0.0007499999999999978,-0.0017500000000000016,0.0032500000000000003,7.0,4.0,29.0,2.0,0.175,9.0,3.0,1.0,0.8625,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.023833333333333373,0.009500000000000175,0.663,0.7700888652727971,0.7735000000000001,True,False,False
V4_FULL_FIXED_SHRINK,40,0.7735,0.0007500000000000007,-0.0005000000000000004,0.002250000000000002,3.0,1.0,36.0,1.0,0.2,9.0,1.0,0.0,0.9625,False,OpenBMI,clean StandardEEGNet ensemble,"0,1,2",0.023833333333333262,0.009500000000000064,0.664,0.7701908403312252,0.7735,True,False,False
