risk_model,AUROC,AUPRC,balanced_accuracy,Brier,risk_outcome_Spearman,mean_risk_harmed,mean_risk_non_harmed,rescued_harms,new_harms,BA_after_guard
M_generic,0.5985663082437276,0.32496265917318545,0.5931899641577061,0.21575110150333804,-0.28737578912260914,0.43330426202551525,0.3889619832635701,0.0,0.0,0.77275
M_confidence,0.7275985663082437,0.5249567775502176,0.6881720430107527,0.21718942898917648,-0.3988324050558576,0.519037943792164,0.45221192138972366,3.0,1.0,0.7735
M_update,0.6630824372759856,0.35023397273139273,0.4982078853046595,0.20720143068623836,-0.4277883402003557,0.45536009066087046,0.39495492013616357,4.0,1.0,0.774
M_identity,0.4551971326164875,0.220188091941429,0.5340501792114696,0.30573666657072895,-0.19443198418338403,0.560438681492061,0.5591555521376658,1.0,1.0,0.77225
M_P,0.7275985663082437,0.4169909755694069,0.6881720430107527,0.21549467364131664,-0.34785097170308554,0.5199507324758231,0.4269246949974638,3.0,1.0,0.7735
M_static_PUD,0.6093189964157706,0.3663952133559977,0.5519713261648745,0.23650209301232952,-0.2553818542252457,0.5192616476513552,0.4623308507702838,,,
M_PERSIST,0.6129032258064516,0.2815345148678482,0.6003584229390682,0.22968262559989774,-0.25376791685653594,0.4784061242006366,0.40781348539749557,3.0,1.0,0.7737499999999999
M_full,0.6917562724014338,0.3773289705745846,0.6881720430107527,0.21261176351868274,-0.35411684619337036,0.501565611759192,0.39517365219196265,1.0,0.0,0.7735
M_random,0.40501792114695334,0.19712779299034558,0.44802867383512546,0.28758018313569156,0.11345030327106637,0.46112051075288973,0.4994701826785184,2.0,1.0,0.772
