ablation,method,subjects,BA,delta_vs_strong_generic,paired_CI95_L,paired_CI95_U,wins,losses,ties,fold_positive_count,negative_transfer_rate,generic_harmed,rescued_harms,new_harms,mean_alpha,internal_holdout_used
w/o P,generic-diagnostic guard,40,0.77275,0.0,0.0,0.0,0,0,40,0,0.225,9,0,0,0.9875,False
w/o U,P-only guard,40,0.7735,0.0007500000000000007,-0.0014999999999999985,0.0030000000000000027,5,2,33,2,0.175,9,3,1,0.925,False
w/o D,w/o D,40,0.77325,0.0004999999999999976,-0.0017500000000000016,0.002999999999999997,5,3,32,2,0.175,9,3,1,0.88125,False
identity instead of decision,identity guard,40,0.77225,-0.0005000000000000033,-0.0025000000000000022,0.0012499999999999955,4,4,32,1,0.225,9,1,1,0.775,False
confidence-only guard,confidence guard,40,0.7735,0.0007499999999999978,-0.0015000000000000013,0.003,5,2,33,1,0.175,9,3,1,0.94375,False
update-magnitude guard,update-magnitude guard,40,0.774,0.0012499999999999983,-0.001006250000000006,0.0037500000000000007,6,2,32,2,0.15,9,4,1,0.93125,False
random guard,random guard,40,0.772,-0.0007500000000000007,-0.003250000000000003,0.0020000000000000018,4,6,30,1,0.2,9,2,1,0.8625,False
Generic/NoAdapt oracle (diagnostic only),oracle,40,0.77675,0.003999999999999998,0.0015000000000000013,0.0069999999999999975,9,0,31,5,0.0,9,9,0,,False
