task,target,feature_set,heldout_fold,heldout_seed,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,0,1965,1254,0.6281558646648586,0.7343816486964863,0.5933872367916339,0.7231695085255767,0.5749601275917066
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,1,1896,1141,0.6545774300456786,0.745796354392598,0.612342490321607,0.7227488151658767,0.5346187554776511
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,2,2235,1388,0.6978095260777996,0.7879677339086915,0.6422268457243568,0.7568058076225045,0.600864553314121
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,0,1337,639,0.6611355493675201,0.6414354224183013,0.606596759801086,0.5890625,0.5899843505477308
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,1,1358,743,0.721914015910011,0.7445741153485133,0.6616704417380648,0.7257799671592775,0.594885598923284
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,2,1293,632,0.6874820467645876,0.6887990452205751,0.6219072559796244,0.6192052980132451,0.5917721518987342
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,0,1302,682,0.6602379150506102,0.6825981703614349,0.6190615835777127,0.675146771037182,0.5058651026392962
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,1,1442,630,0.6178160919540229,0.5578895605520933,0.5717296113847838,0.5870206489675516,0.31587301587301586
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,2,1226,676,0.6630177514792899,0.7156329065680007,0.6110301237224314,0.7189054726368159,0.4275147928994083
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,0,1688,968,0.7240272038567493,0.7768687733774287,0.6629074839302111,0.7070506454816285,0.7355371900826446
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,1,1420,1017,0.710555787347109,0.8624497967836313,0.6625554164806234,0.8702791461412152,0.5211406096361848
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,2,1583,1040,0.7437615101289135,0.853832787441176,0.6715009208103131,0.7792207792207793,0.75
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,0,1884,983,0.6743744658077437,0.6918642819479197,0.6312563298606838,0.6332429990966576,0.7131230925737538
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,1,1686,937,0.6771960621989048,0.7157593047575497,0.6323066115902669,0.6730564430244942,0.6744930629669157
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,2,1703,1004,0.6678650206042782,0.7306647770608498,0.617561228619143,0.6842619745845552,0.6972111553784861
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,0,1965,1254,0.6620255407730424,0.7464555675436362,0.6111380291926595,0.7134328358208956,0.7623604465709729
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,1,1896,1141,0.6673442025410498,0.7454765460615584,0.5713246774352694,0.6435006435006435,0.8764241893076249
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,2,2235,1388,0.7111852648268682,0.7885796486275639,0.6447484595572099,0.7583408476104598,0.6059077809798271
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,0,1337,639,0.6956988668720377,0.6722992318726326,0.6210029998520252,0.5659760087241004,0.812206572769953
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,1,1358,743,0.7512457735613696,0.7787291873051804,0.6572322708422239,0.6612729234088457,0.8250336473755047
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,2,1293,632,0.7162933989544036,0.7173573751919973,0.6444409601869052,0.6314984709480123,0.6534810126582279
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,0,1302,682,0.6491462491722637,0.667913773684329,0.6127565982404692,0.6858407079646017,0.45454545454545453
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,1,1442,630,0.6518121041520056,0.5872662867267052,0.6032840722495896,0.5316946959896507,0.6523809523809524
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,2,1226,676,0.6460381925766541,0.7041145376199607,0.6042495965572888,0.72,0.3994082840236686
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,0,1688,968,0.7061509986225896,0.7477426670629128,0.6490128558310376,0.7017726798748697,0.6952479338842975
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,1,1420,1017,0.6957138081888297,0.8431393694429375,0.5069525266499288,0.719037508846426,0.9990167158308751
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,2,1583,1040,0.7394868253293668,0.8418189529405373,0.660833687491146,0.7603603603603604,0.8115384615384615
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,0,1884,983,0.6775855469733527,0.6865361881435539,0.6074995229670209,0.6855753646677472,0.4303153611393693
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,1,1686,937,0.683204785320306,0.719053865326686,0.6289859264504932,0.6788990825688074,0.6318036286019211
OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,2,1703,1004,0.6602602465673786,0.7199873258110046,0.6184012163078729,0.7444444444444445,0.46713147410358563
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,0,1965,1254,0.6281558646648586,0.7343816486964863,0.5933872367916339,0.7231695085255767,0.5749601275917066
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,1,1896,1141,0.6545774300456786,0.745796354392598,0.612342490321607,0.7227488151658767,0.5346187554776511
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,2,2235,1388,0.6978095260777996,0.7879677339086915,0.6422268457243568,0.7568058076225045,0.600864553314121
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,0,1337,639,0.6611355493675201,0.6414354224183013,0.606596759801086,0.5890625,0.5899843505477308
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,1,1358,743,0.721914015910011,0.7445741153485133,0.6616704417380648,0.7257799671592775,0.594885598923284
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,2,1293,632,0.6874820467645876,0.6887990452205751,0.6219072559796244,0.6192052980132451,0.5917721518987342
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,0,1302,682,0.6602379150506102,0.6825981703614349,0.6190615835777127,0.675146771037182,0.5058651026392962
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,1,1442,630,0.6178160919540229,0.5578895605520933,0.5717296113847838,0.5870206489675516,0.31587301587301586
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,2,1226,676,0.6630177514792899,0.7156329065680007,0.6110301237224314,0.7189054726368159,0.4275147928994083
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,0,1688,968,0.7240272038567493,0.7768687733774287,0.6629074839302111,0.7070506454816285,0.7355371900826446
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,1,1420,1017,0.710555787347109,0.8624497967836313,0.6625554164806234,0.8702791461412152,0.5211406096361848
OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,2,1583,1040,0.7437615101289135,0.853832787441176,0.6715009208103131,0.7792207792207793,0.75
