comparison,task,target,feature_set,heldout_fold,evaluation_scope,n_rows,n_rescue,ROC_AUC,PR_AUC,balanced_accuracy,precision_RESCUE,recall_RESCUE
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,1736,1169,0.5996140749491192,0.7528330750504478,0.5645745545945147,0.7352572145545797,0.5012831479897348
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,1321,627,0.6819675597166875,0.6478967497524244,0.6254946706562057,0.6225402504472272,0.5550239234449761
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,1381,695,0.6773161062986346,0.6773810563979994,0.6211433185812866,0.6502636203866432,0.5323741007194245
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,1527,949,0.6914380827022435,0.7930011664074401,0.6270213409854117,0.7283372365339579,0.6554267650158061
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,1706,936,0.6510225885225884,0.6896868606890614,0.6002580752580753,0.6358024691358025,0.6602564102564102
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,1736,1169,0.5872638698415716,0.7406783154802327,0.5504176831522141,0.7768817204301075,0.24721984602224123
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,1321,627,0.687947271899949,0.6419455906208591,0.6114519991359063,0.54510556621881,0.9059011164274322
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,1381,695,0.6763701575183002,0.6694122589119569,0.5538016234242926,0.5346869712351946,0.9093525179856116
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,1527,949,0.6496913523978983,0.7398009965069055,0.602932061065919,0.6969387755102041,0.7197049525816649
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,4,seed0,1706,936,0.6302419802419803,0.6591776870432159,0.5552475302475303,0.6797752808988764,0.25854700854700857
X,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,0,seed0,1736,1169,0.5996140749491192,0.7528330750504478,0.5645745545945147,0.7352572145545797,0.5012831479897348
X,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,1,seed0,1321,627,0.6819675597166875,0.6478967497524244,0.6254946706562057,0.6225402504472272,0.5550239234449761
X,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,2,seed0,1381,695,0.6773161062986346,0.6773810563979994,0.6211433185812866,0.6502636203866432,0.5323741007194245
X,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,3,seed0,1527,949,0.6914380827022435,0.7930011664074401,0.6270213409854117,0.7283372365339579,0.6554267650158061
X,OpenBMI_ERP,SAFE_SWITCH,CONF_ONLY,4,seed0,1706,936,0.6510225885225884,0.6896868606890614,0.6002580752580753,0.6358024691358025,0.6602564102564102
X,OpenBMI_ERP,SAFE_SWITCH,MECH,0,seed0,1736,1169,0.5872638698415716,0.7406783154802327,0.5504176831522141,0.7768817204301075,0.24721984602224123
X,OpenBMI_ERP,SAFE_SWITCH,MECH,1,seed0,1321,627,0.687947271899949,0.6419455906208591,0.6114519991359063,0.54510556621881,0.9059011164274322
X,OpenBMI_ERP,SAFE_SWITCH,MECH,2,seed0,1381,695,0.6763701575183002,0.6694122589119569,0.5538016234242926,0.5346869712351946,0.9093525179856116
X,OpenBMI_ERP,SAFE_SWITCH,MECH,3,seed0,1527,949,0.6496913523978983,0.7398009965069055,0.602932061065919,0.6969387755102041,0.7197049525816649
X,OpenBMI_ERP,SAFE_SWITCH,MECH,4,seed0,1706,936,0.6302419802419803,0.6591776870432159,0.5552475302475303,0.6797752808988764,0.25854700854700857
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,134,73,0.5434538513361779,0.6097240179869419,0.5007859869750729,0.5454545454545454,0.5753424657534246
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,109,65,0.5737762237762237,0.6842500180596208,0.5512237762237763,0.7083333333333334,0.26153846153846155
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,181,90,0.6140415140415141,0.621423212192241,0.5691697191697191,0.5638297872340425,0.5888888888888889
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,140,61,0.6075949367088607,0.5951462950179522,0.5836273085702428,0.5135135135135135,0.6229508196721312
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,121,70,0.5117647058823529,0.6543449430398431,0.5226890756302521,0.6037735849056604,0.45714285714285713
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,134,73,0.4199416123961374,0.48631559345695125,0.5104423983831126,0.5529411764705883,0.6438356164383562
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,109,65,0.505944055944056,0.6336676648372479,0.5194055944055944,0.8,0.06153846153846154
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,MECH,2,seed0,181,90,0.6240537240537241,0.6257061084612368,0.5900488400488401,0.6481481481481481,0.3888888888888889
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,MECH,3,seed0,140,61,0.5156671508611745,0.5269298424775666,0.46078024486407965,0.40816326530612246,0.6557377049180327
X,OpenBMI_MI,CLEAN_RESCUE_VS_HARM,MECH,4,seed0,121,70,0.4969187675070028,0.5893563712035232,0.5091036414565826,0.6,0.21428571428571427
X,OpenBMI_MI,SAFE_SWITCH,CONF_ONLY,0,seed0,134,73,0.5434538513361779,0.6097240179869419,0.5007859869750729,0.5454545454545454,0.5753424657534246
X,OpenBMI_MI,SAFE_SWITCH,CONF_ONLY,1,seed0,109,65,0.5737762237762237,0.6842500180596208,0.5512237762237763,0.7083333333333334,0.26153846153846155
X,OpenBMI_MI,SAFE_SWITCH,CONF_ONLY,2,seed0,181,90,0.6140415140415141,0.621423212192241,0.5691697191697191,0.5638297872340425,0.5888888888888889
