comparison,task,seed,fold,method,configuration,cudnn_tf32_allowed,matmul_tf32_allowed,max_metric_difference,max_logit_difference,historical_logits_available,failed_subjects,status
X,OpenBMI_ERP,0,1,LiteBN_BASELINE,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
X,OpenBMI_ERP,0,1,LiteBN_X,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
X,OpenBMI_ERP,0,1,CELL,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
X,OpenBMI_ERP,0,1,LiteBN_BASELINE,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],PASS
X,OpenBMI_ERP,0,1,LiteBN_X,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],PASS
X,OpenBMI_ERP,0,1,CELL,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
X,OpenBMI_ERP,0,1,LiteBN_BASELINE,full_fp32,False,False,1.1102230246251565e-16,,False,[],PASS
X,OpenBMI_ERP,0,1,LiteBN_X,full_fp32,False,False,0.0006329680536316662,,False,"[""31""]",FAIL
X,OpenBMI_ERP,0,1,CELL,full_fp32,False,False,0.0006329680536316662,,False,[],ERP_REPLAY_UNRESOLVED
X,OpenBMI_ERP,0,1,LiteBN_BASELINE,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],PASS
X,OpenBMI_ERP,0,1,LiteBN_X,cudnn_tf32_off_matmul_tf32_on,False,True,0.0006329680536316662,,False,"[""31""]",FAIL
X,OpenBMI_ERP,0,1,CELL,cudnn_tf32_off_matmul_tf32_on,False,True,0.0006329680536316662,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,1,0,LiteBN_BASELINE,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,0.0,,False,[],PASS
XS,OpenBMI_ERP,1,0,LiteBN_XS,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,0,CELL,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,1,0,LiteBN_BASELINE,all_tf32_on,True,True,0.0,,False,[],PASS
XS,OpenBMI_ERP,1,0,LiteBN_XS,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,0,CELL,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,1,0,LiteBN_BASELINE,full_fp32,False,False,0.0005050505050505638,,False,"[""5""]",FAIL
XS,OpenBMI_ERP,1,0,LiteBN_XS,full_fp32,False,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,0,CELL,full_fp32,False,False,0.0005050505050505638,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,1,0,LiteBN_BASELINE,cudnn_tf32_off_matmul_tf32_on,False,True,0.0,,False,[],PASS
XS,OpenBMI_ERP,1,0,LiteBN_XS,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,0,CELL,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,1,3,LiteBN_BASELINE,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,3,LiteBN_XS,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,3,CELL,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,1,3,LiteBN_BASELINE,all_tf32_on,True,True,0.0015151515151515804,,False,"[""45""]",FAIL
XS,OpenBMI_ERP,1,3,LiteBN_XS,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,3,CELL,all_tf32_on,True,True,0.0015151515151515804,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,1,3,LiteBN_BASELINE,full_fp32,False,False,0.0006643795913710004,,False,"[""22""]",FAIL
XS,OpenBMI_ERP,1,3,LiteBN_XS,full_fp32,False,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,3,CELL,full_fp32,False,False,0.0006643795913710004,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,1,3,LiteBN_BASELINE,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,3,LiteBN_XS,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,1,3,CELL,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,2,0,LiteBN_BASELINE,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,0.0,,False,[],PASS
XS,OpenBMI_ERP,2,0,LiteBN_XS,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,2,0,CELL,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,2,0,LiteBN_BASELINE,all_tf32_on,True,True,0.0,,False,[],PASS
XS,OpenBMI_ERP,2,0,LiteBN_XS,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,2,0,CELL,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,2,0,LiteBN_BASELINE,full_fp32,False,False,0.0,,False,[],PASS
XS,OpenBMI_ERP,2,0,LiteBN_XS,full_fp32,False,False,0.0015151515151514694,,False,"[""33""]",FAIL
XS,OpenBMI_ERP,2,0,CELL,full_fp32,False,False,0.0015151515151514694,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,2,0,LiteBN_BASELINE,cudnn_tf32_off_matmul_tf32_on,False,True,0.0,,False,[],PASS
XS,OpenBMI_ERP,2,0,LiteBN_XS,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,2,0,CELL,cudnn_tf32_off_matmul_tf32_on,False,True,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,2,3,LiteBN_BASELINE,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,2,3,LiteBN_XS,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,2,3,CELL,historical_pytorch_default_cudnn_tf32_on_matmul_tf32_off,True,False,1.1102230246251565e-16,,False,[],ERP_REPLAY_REPAIRED
XS,OpenBMI_ERP,2,3,LiteBN_BASELINE,all_tf32_on,True,True,1.1102230246251565e-16,,False,[],PASS
XS,OpenBMI_ERP,2,3,LiteBN_XS,all_tf32_on,True,True,0.0006208122712314523,,False,"[""49""]",FAIL
XS,OpenBMI_ERP,2,3,CELL,all_tf32_on,True,True,0.0006208122712314523,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,2,3,LiteBN_BASELINE,full_fp32,False,False,0.0015151515151514694,,False,"[""49""]",FAIL
XS,OpenBMI_ERP,2,3,LiteBN_XS,full_fp32,False,False,0.0006208122712314523,,False,"[""49""]",FAIL
XS,OpenBMI_ERP,2,3,CELL,full_fp32,False,False,0.0015151515151514694,,False,[],ERP_REPLAY_UNRESOLVED
XS,OpenBMI_ERP,2,3,LiteBN_BASELINE,cudnn_tf32_off_matmul_tf32_on,False,True,0.0015151515151514694,,False,"[""49""]",FAIL
XS,OpenBMI_ERP,2,3,LiteBN_XS,cudnn_tf32_off_matmul_tf32_on,False,True,0.0006208122712314523,,False,"[""49""]",FAIL
XS,OpenBMI_ERP,2,3,CELL,cudnn_tf32_off_matmul_tf32_on,False,True,0.0015151515151514694,,False,[],ERP_REPLAY_UNRESOLVED
