comparison,task,candidate,seed_scope,feature_set,B0_BA,candidate_BA,selective_policy_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,ci_low_pp,ci_high_pp,nonnegative_folds,positive_folds,worst_fold_pp,switch_rate_disagreements,switch_rate_all_trials,intervention_precision,realized_rescue_count,realized_harm_count,switched_both_wrong_count,oracle_headroom_pp,recovered_oracle_fraction
X,OpenBMI_ERP,X,seed0,CONF_ONLY,0.8325530303030302,0.8349848484848484,0.8411818181818183,0.862878787878788,0.6196969696969695,0.31285984848484716,1.4553409090909093,4,4,-0.08712121212121338,0.6451570851257985,0.06248737373737374,0.6437664174580724,3186,1763,0,5.187878787878787,0.1663259345794393
X,OpenBMI_ERP,X,seed0,MECH,0.8325530303030302,0.8349848484848484,0.8378257575757576,0.5272727272727276,0.28409090909090917,0.045454545454545976,1.0257765151515168,4,4,-0.6098484848484866,0.5774996740972493,0.055934343434343434,0.6137697516930023,2719,1711,0,5.187878787878787,0.10163551401869167
X,OpenBMI_MI,X,seed0,CONF_ONLY,0.7847500000000001,0.793,0.7882499999999999,0.3500000000000003,-0.47500000000000153,-0.7000000000000011,1.3500000000000003,4,4,-2.125000000000001,0.4992700729927007,0.0855,0.52046783625731,178,164,0,8.975,0.0389972144846797
X,OpenBMI_MI,X,seed0,MECH,0.7847500000000001,0.793,0.7887500000000001,0.4000000000000002,-0.42500000000000177,-0.5000000000000007,1.2249999999999996,4,4,-2.250000000000002,0.3883211678832117,0.0665,0.5300751879699248,141,125,0,8.975,0.04456824512534821
X,OpenBMI_SSVEP,X,seed0,CONF_ONLY,0.8919999999999998,0.91325,0.92075,2.875,0.7499999999999997,1.1250000000000004,5.025,5,5,1.1250000000000002,0.5200892857142857,0.05825,0.7889447236180904,157,42,34,5.5249999999999995,0.5203619909502263
X,OpenBMI_SSVEP,X,seed0,MECH,0.8919999999999998,0.91325,0.9162500000000001,2.4249999999999994,0.2999999999999993,0.6500000000000007,4.549999999999999,5,5,0.2500000000000001,0.6116071428571429,0.0685,0.7117903930131004,163,66,45,5.5249999999999995,0.4389140271493212
X,WBCIC_MI,X,seed0,CONF_ONLY,0.7902743157380254,0.7836697621375041,0.7933437194525904,0.30694037145650105,0.9673957315086343,-0.27419354838709553,0.8870967741935486,4,4,-0.8333333333333321,0.30479102956167176,0.04826472962066183,0.5317725752508361,159,140,0,7.582640925382861,0.040479349408333365
X,WBCIC_MI,X,seed0,MECH,0.7902743157380254,0.7836697621375041,0.790759815900945,0.048550016291952255,0.7090053763440856,-0.48387096774193444,0.6775822743564678,3,3,-0.33249158249158045,0.35575942915392456,0.05633575464083938,0.504297994269341,176,173,0,7.582640925382861,0.006402784566710955
XS,OpenBMI_ERP,XS,seed0,CONF_ONLY,0.8325530303030302,0.8317348484848486,0.8402499999999999,0.7696969696969701,0.8515151515151512,0.05378787878787929,1.4204924242424253,5,5,0.4545454545454547,0.5413405088062623,0.05588383838383838,0.6640307275192047,2939,1487,0,5.413636363636364,0.14217744192555282
XS,OpenBMI_ERP,XS,seed1,CONF_ONLY,0.8325530303030302,0.8423863636363637,0.8455757575757575,1.3022727272727266,0.3189393939393933,0.7909090909090899,1.8477462121212114,5,5,0.7045454545454521,0.4946167649320687,0.048724747474747476,0.6973309147447525,2691,1168,0,5.654545454545456,0.23030546623794193
XS,OpenBMI_ERP,XS,seed2,CONF_ONLY,0.8325530303030302,0.8339772727272727,0.8425151515151516,0.9962121212121222,0.8537878787878797,0.3469507575757581,1.6325757575757578,5,5,0.25757575757575646,0.5329601990049752,0.054103535353535355,0.7117852975495916,3050,1235,0,5.378787878787879,0.18521126760563397
XS,OpenBMI_ERP,XS,seed0,MECH,0.8325530303030302,0.8317348484848486,0.8397121212121211,0.7159090909090913,0.7977272727272725,0.04696969696969856,1.3591098484848496,5,5,0.4545454545454533,0.5030577299412916,0.05193181818181818,0.674203744225626,2773,1340,0,5.413636363636364,0.13224181360201517
XS,OpenBMI_ERP,XS,seed1,MECH,0.8325530303030302,0.8423863636363637,0.8449924242424242,1.243939393939396,0.2606060606060625,0.6810606060606086,1.8409090909090924,5,5,0.5151515151515142,0.5478082542937708,0.053964646464646465,0.7000467945718297,2992,1282,0,5.654545454545456,0.21998928188638828
XS,OpenBMI_ERP,XS,seed2,MECH,0.8325530303030302,0.8339772727272727,0.8411136363636362,0.8560606060606057,0.7136363636363632,0.24545454545454454,1.4765151515151518,5,5,0.045454545454541584,0.4818407960199005,0.04891414141414142,0.7336086732059887,2842,1032,0,5.378787878787879,0.15915492957746472
XS,OpenBMI_MI,XS,seed0,CONF_ONLY,0.7915,0.799,0.8084999999999999,1.6999999999999988,0.9499999999999991,0.9249999999999986,2.5249999999999977,5,5,0.12499999999999595,0.44662921348314605,0.0795,0.6069182389937107,193,125,0,9.274999999999999,0.18328840970350394
XS,OpenBMI_MI,XS,seed1,CONF_ONLY,0.7915,0.75075,0.79,-0.1499999999999999,3.925,-0.95,0.6500000000000002,2,2,-0.9999999999999996,0.3516778523489933,0.0655,0.48854961832061067,128,134,0,7.275,-0.020618556701030914
XS,OpenBMI_MI,XS,seed2,CONF_ONLY,0.7915,0.7787499999999999,0.795,0.3499999999999989,1.6250000000000004,-0.6500000000000002,1.2749999999999995,4,3,-0.25000000000000133,0.38809831824062097,0.075,0.5233333333333333,157,143,0,9.025,0.03878116343490293
