B0_wrong_trials,B0_correct_trials,rescued_exactly_0_of_3,harmed_exactly_0_of_3,rescued_exactly_1_of_3,harmed_exactly_1_of_3,rescued_exactly_2_of_3,harmed_exactly_2_of_3,rescued_exactly_3_of_3,harmed_exactly_3_of_3,any_rescue_rate,majority_rescue_rate,unanimous_rescue_rate,majority_given_any_rescue,unanimous_given_any_rescue,any_harm_rate,majority_harm_rate,unanimous_harm_rate,majority_given_any_harm,unanimous_given_any_harm,rescue_jaccard_seed0_seed1,harm_jaccard_seed0_seed1,rescue_jaccard_seed0_seed2,harm_jaccard_seed0_seed2,rescue_jaccard_seed1_seed2,harm_jaccard_seed1_seed2,mean_rescue_jaccard,mean_harm_jaccard,subject_equal_mean_rescue_jaccard,subject_equal_mean_harm_jaccard,task,subjects
10839,68361,3971,61138,2359,4841,2152,1703,2357,679,0.6336377894639726,0.41599778577359536,0.2174554848233232,0.6565230052417006,0.34318578916715203,0.10565965974751686,0.03484442884100584,0.009932563888766987,0.3297798698601689,0.09400526097189534,0.4873490987266413,0.21292115317818688,0.5105966742745354,0.2229456273095196,0.5184696569920845,0.23148320029701133,0.5054718099977538,0.22244999359490594,0.48903562781288523,0.21367963866704573,OpenBMI_ERP,40
834,3166,289,2397,216,441,180,218,149,110,0.6534772182254197,0.39448441247002397,0.17865707434052758,0.6036697247706422,0.27339449541284405,0.2428932406822489,0.10360075805432722,0.03474415666456096,0.4265279583875163,0.14304291287386217,0.4085106382978723,0.27403846153846156,0.49693251533742333,0.3072916666666667,0.41739130434782606,0.3003003003003003,0.44094481932770724,0.2938768095018095,0.42997569041258465,0.2671838632367032,OpenBMI_MI,40
432,3568,113,3292,75,176,96,67,148,33,0.7384259259259259,0.5648148148148148,0.3425925925925926,0.7648902821316614,0.46394984326018807,0.0773542600896861,0.028026905829596414,0.009248878923766817,0.36231884057971014,0.11956521739130435,0.609271523178808,0.23529411764705882,0.6476510067114094,0.22857142857142856,0.5780141843971631,0.29411764705882354,0.6116455714291268,0.2526610644257703,0.7139872902185356,0.2121905995569097,OpenBMI_SSVEP,40
1320,4875,512,3961,329,547,266,243,213,124,0.6121212121212121,0.36287878787878786,0.16136363636363638,0.5928217821782178,0.2636138613861386,0.1874871794871795,0.07528205128205129,0.025435897435897435,0.40153172866520787,0.13566739606126915,0.4452449567723343,0.29301075268817206,0.4147018030513176,0.26907630522088355,0.43676470588235294,0.2784090909090909,0.43223715523533496,0.28016538293938215,0.4561742559833947,0.2640562338819439,WBCIC_MI,31
