task,fold,subject_id,B0_wrong_trials,B0_correct_trials,rescued_exactly_0_of_3,harmed_exactly_0_of_3,rescued_exactly_1_of_3,harmed_exactly_1_of_3,rescued_exactly_2_of_3,harmed_exactly_2_of_3,rescued_exactly_3_of_3,harmed_exactly_3_of_3,any_rescue_rate,majority_rescue_rate,unanimous_rescue_rate,majority_given_any_rescue,unanimous_given_any_rescue,any_harm_rate,majority_harm_rate,unanimous_harm_rate,majority_given_any_harm,unanimous_given_any_harm,rescue_jaccard_seed0_seed1,harm_jaccard_seed0_seed1,rescue_jaccard_seed0_seed2,harm_jaccard_seed0_seed2,rescue_jaccard_seed1_seed2,harm_jaccard_seed1_seed2,mean_rescue_jaccard,mean_harm_jaccard
OpenBMI_ERP,0,15,290,1690,140,1404,52,158,49,83,49,45,0.5172413793103449,0.33793103448275863,0.16896551724137931,0.6533333333333333,0.32666666666666666,0.16923076923076924,0.0757396449704142,0.026627218934911243,0.44755244755244755,0.15734265734265734,0.4728682170542636,0.2814070351758794,0.5390070921985816,0.32558139534883723,0.4609375,0.32098765432098764,0.49093760308428175,0.3093253616152348
OpenBMI_ERP,0,3,232,1748,63,1599,67,107,52,34,50,8,0.728448275862069,0.4396551724137931,0.21551724137931033,0.6035502958579881,0.2958579881656805,0.08524027459954234,0.02402745995423341,0.004576659038901602,0.28187919463087246,0.053691275167785234,0.41732283464566927,0.20155038759689922,0.50625,0.12631578947368421,0.4444444444444444,0.1724137931034483,0.4560057596967046,0.16675999005801057
OpenBMI_ERP,0,32,263,1717,76,1603,66,78,50,27,71,9,0.7110266159695817,0.4600760456273764,0.26996197718631176,0.6470588235294118,0.37967914438502676,0.06639487478159581,0.020966802562609202,0.0052417006406523005,0.3157894736842105,0.07894736842105263,0.509090909090909,0.20430107526881722,0.5523255813953488,0.18421052631578946,0.5316455696202531,0.22105263157894736,0.5310206867021703,0.20318807772118466
OpenBMI_ERP,0,33,259,1721,129,1510,52,133,42,52,36,26,0.5019305019305019,0.30115830115830117,0.138996138996139,0.6,0.27692307692307694,0.12260313771063336,0.0453224869262057,0.015107495642068565,0.3696682464454976,0.12322274881516587,0.4444444444444444,0.25625,0.4426229508196721,0.21022727272727273,0.4444444444444444,0.3170731707317073,0.44383727990285365,0.26118348115299334
OpenBMI_ERP,0,38,399,1581,130,1366,105,151,87,51,77,13,0.6741854636591479,0.41102756892230574,0.19298245614035087,0.6096654275092936,0.2862453531598513,0.1359898798228969,0.04048070841239722,0.008222643896268185,0.29767441860465116,0.06046511627906977,0.4,0.14857142857142858,0.44813278008298757,0.16759776536312848,0.5108225108225108,0.24285714285714285,0.4529850969684995,0.18634211226389996
OpenBMI_ERP,0,47,322,1658,74,1565,50,66,73,19,125,8,0.7701863354037267,0.6149068322981367,0.38819875776397517,0.7983870967741935,0.5040322580645161,0.05609167671893848,0.016284680337756333,0.0048250904704463205,0.2903225806451613,0.08602150537634409,0.6217391304347826,0.19402985074626866,0.6437768240343348,0.2463768115942029,0.670995670995671,0.16883116883116883,0.6455038751549295,0.2030792770572135
OpenBMI_ERP,0,5,699,1281,182,933,133,199,154,99,230,50,0.7396280400572246,0.5493562231759657,0.3290414878397711,0.7427466150870407,0.4448742746615087,0.2716627634660422,0.11631537861046058,0.039032006245121,0.4281609195402299,0.14367816091954022,0.5387931034482759,0.2846153846153846,0.6061855670103092,0.27946127946127947,0.6396588486140725,0.3194444444444444,0.5948791730242192,0.29450703617370283
OpenBMI_ERP,0,6,297,1683,119,1530,70,104,64,37,44,12,0.5993265993265994,0.36363636363636365,0.14814814814814814,0.6067415730337079,0.24719101123595505,0.09090909090909091,0.029114676173499703,0.0071301247771836,0.3202614379084967,0.0784313725490196,0.36129032258064514,0.15315315315315314,0.46496815286624205,0.2018348623853211,0.4407894736842105,0.2518518518518518,0.4223493163770325,0.20227995579677538
OpenBMI_ERP,1,14,346,1634,150,1426,76,131,61,48,59,29,0.5664739884393064,0.3468208092485549,0.17052023121387283,0.6122448979591837,0.3010204081632653,0.12729498164014688,0.047123623011015914,0.017747858017135864,0.3701923076923077,0.13942307692307693,0.4797687861271676,0.2682926829268293,0.44025157232704404,0.2647058823529412,0.4722222222222222,0.2893081761006289,0.464080860225478,0.27410224712679976
OpenBMI_ERP,1,2,65,1915,23,1830,17,61,9,16,16,8,0.6461538461538462,0.38461538461538464,0.24615384615384617,0.5952380952380952,0.38095238095238093,0.044386422976501305,0.012532637075718016,0.004177545691906005,0.2823529411764706,0.09411764705882353,0.5882352941176471,0.2153846153846154,0.5,0.16216216216216217,0.48717948717948717,0.2545454545454545,0.5251382604323781,0.2106974106974107
