comparison,task,seed_scope,feature_set,bootstrap_unit,bootstrap_resamples,point_delta_pp,ci_low_pp,ci_high_pp
X,OpenBMI_ERP,seed0,CONF_ONLY,real_subject,10000,0.862878787878788,0.31285984848484716,1.4553409090909093
X,OpenBMI_ERP,seed0,MECH,real_subject,10000,0.5272727272727276,0.045454545454545976,1.0257765151515168
X,OpenBMI_MI,seed0,CONF_ONLY,real_subject,10000,0.3500000000000003,-0.7000000000000011,1.3500000000000003
X,OpenBMI_MI,seed0,MECH,real_subject,10000,0.4000000000000002,-0.5000000000000007,1.2249999999999996
X,OpenBMI_SSVEP,seed0,CONF_ONLY,real_subject,10000,2.875,1.1250000000000004,5.025
X,OpenBMI_SSVEP,seed0,MECH,real_subject,10000,2.4249999999999994,0.6500000000000007,4.549999999999999
X,WBCIC_MI,seed0,CONF_ONLY,real_subject,10000,0.30694037145650105,-0.27419354838709553,0.8870967741935486
X,WBCIC_MI,seed0,MECH,real_subject,10000,0.048550016291952255,-0.48387096774193444,0.6775822743564678
XS,OpenBMI_ERP,seed0,CONF_ONLY,real_subject,10000,0.7696969696969701,0.05378787878787929,1.4204924242424253
XS,OpenBMI_ERP,seed1,CONF_ONLY,real_subject,10000,1.3022727272727266,0.7909090909090899,1.8477462121212114
XS,OpenBMI_ERP,seed2,CONF_ONLY,real_subject,10000,0.9962121212121222,0.3469507575757581,1.6325757575757578
XS,OpenBMI_ERP,seed0,MECH,real_subject,10000,0.7159090909090913,0.04696969696969856,1.3591098484848496
XS,OpenBMI_ERP,seed1,MECH,real_subject,10000,1.243939393939396,0.6810606060606086,1.8409090909090924
XS,OpenBMI_ERP,seed2,MECH,real_subject,10000,0.8560606060606057,0.24545454545454454,1.4765151515151518
XS,OpenBMI_MI,seed0,CONF_ONLY,real_subject,10000,1.6999999999999988,0.9249999999999986,2.5249999999999977
XS,OpenBMI_MI,seed1,CONF_ONLY,real_subject,10000,-0.1499999999999999,-0.95,0.6500000000000002
XS,OpenBMI_MI,seed2,CONF_ONLY,real_subject,10000,0.3499999999999989,-0.6500000000000002,1.2749999999999995
XS,OpenBMI_MI,seed0,MECH,real_subject,10000,1.3749999999999998,0.6500000000000004,2.0999999999999988
XS,OpenBMI_MI,seed1,MECH,real_subject,10000,-0.6250000000000002,-1.5000000000000013,0.22500000000000026
XS,OpenBMI_MI,seed2,MECH,real_subject,10000,0.14999999999999986,-0.7000000000000008,0.9499999999999998
XS,OpenBMI_SSVEP,seed0,CONF_ONLY,real_subject,10000,4.399999999999999,2.0500000000000003,7.6256249999999905
XS,OpenBMI_SSVEP,seed1,CONF_ONLY,real_subject,10000,2.224999999999999,1.099999999999999,3.449999999999998
XS,OpenBMI_SSVEP,seed2,CONF_ONLY,real_subject,10000,2.7999999999999994,1.1499999999999984,4.974999999999999
XS,OpenBMI_SSVEP,seed0,MECH,real_subject,10000,4.325,1.8249999999999997,7.975
XS,OpenBMI_SSVEP,seed1,MECH,real_subject,10000,2.0999999999999988,0.9999999999999989,3.3999999999999995
XS,OpenBMI_SSVEP,seed2,MECH,real_subject,10000,2.6750000000000003,0.7,5.45
XS,WBCIC_MI,seed0,CONF_ONLY,real_subject,10000,0.7113473444118588,-0.40322580645161393,1.7759052215705424
XS,WBCIC_MI,seed1,CONF_ONLY,real_subject,10000,1.0488758553274653,-0.06402737047898709,2.017595307917885
XS,WBCIC_MI,seed2,CONF_ONLY,real_subject,10000,0.9835043988269769,-0.03263379765396428,1.9835043988269765
XS,WBCIC_MI,seed0,MECH,real_subject,10000,0.483850602802216,-0.6129240998696649,1.5322580645161283
XS,WBCIC_MI,seed1,MECH,real_subject,10000,0.8548183447376974,-0.2580645161290344,1.774153327631149
XS,WBCIC_MI,seed2,MECH,real_subject,10000,0.8850399152818484,0.04633023786249402,1.770131252036492
XS,OpenBMI_ERP,equal_seed_mean,CONF_ONLY,real_subject_with_seed_replicas_together,10000,1.022727272727273,0.5098169191919174,1.5603661616161617
XS,OpenBMI_ERP,equal_seed_mean,MECH,real_subject_with_seed_replicas_together,10000,0.9386363636363642,0.4171527777777776,1.4878914141414148
XS,OpenBMI_MI,equal_seed_mean,CONF_ONLY,real_subject_with_seed_replicas_together,10000,0.6333333333333325,-0.06666666666666694,1.3083333333333333
XS,OpenBMI_MI,equal_seed_mean,MECH,real_subject_with_seed_replicas_together,10000,0.29999999999999977,-0.3749999999999999,0.9166666666666667
XS,OpenBMI_SSVEP,equal_seed_mean,CONF_ONLY,real_subject_with_seed_replicas_together,10000,3.1416666666666653,1.5,5.2502083333333305
XS,OpenBMI_SSVEP,equal_seed_mean,MECH,real_subject_with_seed_replicas_together,10000,3.033333333333333,1.233124999999999,5.5
XS,WBCIC_MI,equal_seed_mean,CONF_ONLY,real_subject_with_seed_replicas_together,10000,0.914575866188767,-0.009572879330946296,1.7694145758661868
XS,WBCIC_MI,equal_seed_mean,MECH,real_subject_with_seed_replicas_together,10000,0.741236287607254,-0.0920970457260791,1.5215053763440833
