comparison,task,seed,feature_set,heldout_fold,selected_threshold,training_subject_equal_policy_BA,B0_BA,candidate_BA,selective_policy_BA,policy_delta_vs_B0_pp,policy_delta_vs_candidate_pp,fraction_disagreement_trials_switched,fraction_all_trials_switched,realized_rescue_count,realized_harm_count,switched_both_wrong_count,intervention_precision
X,OpenBMI_ERP,0,CONF_ONLY,0,0.46,0.8475662878787878,0.8046590909090909,0.8176136363636364,0.8187499999999999,1.4090909090909096,0.11363636363636159,0.6347926267281107,0.06957070707070707,779,323,0,0.7068965517241379
X,OpenBMI_ERP,0,CONF_ONLY,1,0.44,0.8269128787878788,0.8907575757575757,0.8923106060606061,0.9002272727272728,0.9469696969696976,0.791666666666667,0.6858440575321726,0.0571969696969697,510,396,0,0.5629139072847682
X,OpenBMI_ERP,0,CONF_ONLY,2,0.46,0.8612310606060607,0.765,0.7571590909090908,0.7641287878787879,-0.08712121212121338,0.6969696969696959,0.5206372194062274,0.04539141414141414,444,275,0,0.6175243393602226
X,OpenBMI_ERP,0,CONF_ONLY,3,0.46,0.8295170454545454,0.8755681818181817,0.8862878787878788,0.8919318181818182,1.6363636363636385,0.5643939393939423,0.7216764898493778,0.06957070707070707,763,339,0,0.6923774954627949
X,OpenBMI_ERP,0,CONF_ONLY,4,0.46,0.8450662878787879,0.826780303030303,0.8215530303030303,0.8308712121212121,0.4090909090909076,0.9318181818181809,0.6565064478311841,0.0707070707070707,690,430,0,0.6160714285714286
X,OpenBMI_ERP,0,MECH,0,0.45,0.847064393939394,0.8046590909090909,0.8176136363636364,0.8128030303030302,0.8143939393939383,-0.48106060606060985,0.30357142857142855,0.03327020202020202,403,124,0,0.7647058823529411
X,OpenBMI_ERP,0,MECH,1,0.51,0.8265719696969698,0.8907575757575757,0.8923106060606061,0.8993939393939394,0.8636363636363664,0.7083333333333358,0.7706283118849356,0.06426767676767677,561,457,0,0.5510805500982319
X,OpenBMI_ERP,0,MECH,2,0.43,0.8607102272727274,0.765,0.7571590909090908,0.758901515151515,-0.6098484848484866,0.1742424242424226,0.9319333816075308,0.08125,667,620,0,0.5182595182595182
X,OpenBMI_ERP,0,MECH,3,0.47,0.8292803030303031,0.8755681818181817,0.8862878787878788,0.8892424242424242,1.3674242424242435,0.29545454545454736,0.7079240340537001,0.0682449494949495,739,342,0,0.6836262719703978
X,OpenBMI_ERP,0,MECH,4,0.43,0.8442140151515152,0.826780303030303,0.8215530303030303,0.8287878787878789,0.20075757575757636,0.7234848484848497,0.3030480656506448,0.03263888888888889,349,168,0,0.6750483558994197
X,OpenBMI_MI,0,CONF_ONLY,0,0.56,0.793125,0.82375,0.83875,0.8374999999999999,1.3750000000000013,-0.12500000000000422,0.3358208955223881,0.05625,28,17,0,0.6222222222222222
X,OpenBMI_MI,0,CONF_ONLY,1,0.55,0.7962499999999999,0.8062499999999999,0.8325,0.815,0.8749999999999993,-1.7500000000000013,0.10091743119266056,0.01375,9,2,0,0.8181818181818182
X,OpenBMI_MI,0,CONF_ONLY,2,0.46,0.8146875,0.73,0.72875,0.7362500000000001,0.6249999999999992,0.7500000000000007,0.6685082872928176,0.15125,63,58,0,0.5206611570247934
X,OpenBMI_MI,0,CONF_ONLY,3,0.36,0.8043750000000001,0.79125,0.76875,0.77,-2.125000000000001,0.1250000000000001,0.9071428571428571,0.15875,55,72,0,0.4330708661417323
X,OpenBMI_MI,0,CONF_ONLY,4,0.54,0.80375,0.7725,0.79625,0.7825,1.0000000000000022,-1.3750000000000027,0.3140495867768595,0.0475,23,15,0,0.6052631578947368
X,OpenBMI_MI,0,MECH,0,0.48,0.799375,0.82375,0.83875,0.8362499999999999,1.250000000000004,-0.25000000000000155,0.6716417910447762,0.1125,50,40,0,0.5555555555555556
X,OpenBMI_MI,0,MECH,1,0.57,0.7978124999999999,0.8062499999999999,0.8325,0.8075,0.1250000000000001,-2.500000000000001,0.009174311926605505,0.00125,1,0,0,1.0
X,OpenBMI_MI,0,MECH,2,0.53,0.8165625,0.73,0.72875,0.75125,2.1249999999999973,2.249999999999999,0.20441988950276244,0.04625,27,10,0,0.7297297297297297
X,OpenBMI_MI,0,MECH,3,0.43,0.809375,0.79125,0.76875,0.76875,-2.250000000000002,-1.3877787807814457e-15,0.8571428571428571,0.15,51,69,0,0.425
X,OpenBMI_MI,0,MECH,4,0.54,0.8109375,0.7725,0.79625,0.7799999999999999,0.7500000000000007,-1.6250000000000044,0.1487603305785124,0.0225,12,6,0,0.6666666666666666
X,OpenBMI_SSVEP,0,CONF_ONLY,0,0.51,0.928125,0.84875,0.90125,0.90375,5.5,0.24999999999999883,0.6911764705882353,0.1175,57,13,24,0.8142857142857143
X,OpenBMI_SSVEP,0,CONF_ONLY,1,0.49,0.91625,0.91,0.9287500000000001,0.9500000000000001,4.000000000000002,2.124999999999999,0.5504587155963303,0.075,44,12,4,0.7857142857142857
X,OpenBMI_SSVEP,0,CONF_ONLY,2,0.53,0.935,0.8574999999999999,0.875,0.8799999999999999,2.2499999999999964,0.49999999999999906,0.29357798165137616,0.04,22,4,6,0.8461538461538461
X,OpenBMI_SSVEP,0,CONF_ONLY,3,0.54,0.9359374999999999,0.86625,0.87,0.8775,1.1250000000000002,0.7500000000000013,0.4027777777777778,0.03625,19,10,0,0.6551724137931034
X,OpenBMI_SSVEP,0,CONF_ONLY,4,0.51,0.9078124999999999,0.9774999999999999,0.99125,0.9925,1.5000000000000013,0.1250000000000001,0.8181818181818182,0.0225,15,3,0,0.8333333333333334
X,OpenBMI_SSVEP,0,MECH,0,0.45,0.9321875,0.84875,0.90125,0.90125,5.25,0.0,0.875,0.14875,65,23,31,0.7386363636363636
X,OpenBMI_SSVEP,0,MECH,1,0.43,0.9159375000000001,0.91,0.9287500000000001,0.9512499999999999,4.125,2.2499999999999964,0.6238532110091743,0.085,47,14,7,0.7704918032786885
