dataset,seed,alpha,oracle_argmax_error,oracle_gain_vs_no_tta,at_least_one_tta_beneficial_rate,oracle_no_tta_rate,oracle_t3a_rate,oracle_entropy_adapter_rate,tta_improvement_mean,tta_harm_mean
cap,0,0.1,0.3226351351351352,0.04532657657657657,0.3783783783783784,0.6216216216216216,0.20270270270270271,0.17567567567567569,-0.017905405405405406,-0.2556869369369369
cap,0,0.2,0.3226351351351352,0.04532657657657657,0.3783783783783784,0.6216216216216216,0.20270270270270271,0.17567567567567569,-0.017905405405405406,-0.2556869369369369
cap,1,0.1,0.32060810810810814,0.03845720720720721,0.32432432432432434,0.6756756756756757,0.14864864864864866,0.17567567567567569,-0.017060810810810813,-0.2660472972972973
cap,1,0.2,0.32060810810810814,0.03845720720720721,0.32432432432432434,0.6756756756756757,0.14864864864864866,0.17567567567567569,-0.017060810810810813,-0.2660472972972973
cap,2,0.1,0.32224099099099096,0.0366554054054054,0.4189189189189189,0.581081081081081,0.28378378378378377,0.13513513513513514,-0.0037725225225225287,-0.2038288288288288
cap,2,0.2,0.32224099099099096,0.0366554054054054,0.4189189189189189,0.581081081081081,0.28378378378378377,0.13513513513513514,-0.0037725225225225287,-0.2038288288288288
cap,3,0.1,0.353490990990991,0.033164414414414416,0.44594594594594594,0.5540540540540541,0.33783783783783783,0.10810810810810811,-0.005574324324324323,-0.24594594594594593
cap,3,0.2,0.353490990990991,0.033164414414414416,0.44594594594594594,0.5540540540540541,0.33783783783783783,0.10810810810810811,-0.005574324324324323,-0.24594594594594593
cap,4,0.1,0.33958333333333335,0.0365427927927928,0.35135135135135137,0.6486486486486487,0.22972972972972974,0.12162162162162163,0.00011261261261262422,-0.2500563063063063
cap,4,0.2,0.33958333333333335,0.0365427927927928,0.35135135135135137,0.6486486486486487,0.22972972972972974,0.12162162162162163,0.00011261261261262422,-0.2500563063063063
eegmmidb,0,0.1,0.7236842105263157,0.009649122807017551,0.3684210526315789,0.631578947368421,0.21052631578947367,0.15789473684210525,0.005263157894736847,-0.021052631578947375
eegmmidb,0,0.2,0.7236842105263157,0.009649122807017551,0.3684210526315789,0.631578947368421,0.21052631578947367,0.15789473684210525,0.005263157894736847,-0.021052631578947375
eegmmidb,1,0.1,0.7394736842105264,0.016885964912280713,0.3684210526315789,0.631578947368421,0.2631578947368421,0.10526315789473684,0.016008771929824573,0.001973684210526309
eegmmidb,1,0.2,0.7394736842105264,0.016885964912280713,0.3684210526315789,0.631578947368421,0.2631578947368421,0.10526315789473684,0.016008771929824573,0.001973684210526309
eegmmidb,2,0.1,0.7342105263157895,0.011842105263157893,0.3684210526315789,0.631578947368421,0.10526315789473684,0.2631578947368421,0.0011311172668513395,-0.01838642659279779
eegmmidb,2,0.2,0.7342105263157895,0.011842105263157893,0.3684210526315789,0.631578947368421,0.10526315789473684,0.2631578947368421,0.0011311172668513395,-0.01838642659279779
eegmmidb,3,0.1,0.7403508771929825,0.008771929824561408,0.3157894736842105,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.0,-0.017543859649122827
eegmmidb,3,0.2,0.7403508771929825,0.008771929824561408,0.3157894736842105,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.0,-0.017543859649122827
eegmmidb,4,0.1,0.7149122807017543,0.03947368421052632,0.631578947368421,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.03245614035087719,-0.013157894736842117
eegmmidb,4,0.2,0.7149122807017543,0.03947368421052632,0.631578947368421,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.03245614035087719,-0.013157894736842117
hmc,0,0.1,0.40208333333333346,0.022756410256410262,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.0,-0.026121794871794873,-0.2536858974358974
hmc,0,0.2,0.40208333333333346,0.022756410256410262,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.0,-0.026121794871794873,-0.2536858974358974
hmc,1,0.1,0.3860576923076924,0.0328525641025641,0.5,0.5,0.3076923076923077,0.19230769230769232,-0.00576923076923077,-0.2564102564102564
hmc,1,0.2,0.3860576923076924,0.0328525641025641,0.5,0.5,0.3076923076923077,0.19230769230769232,-0.00576923076923077,-0.2564102564102564
hmc,2,0.1,0.4075320512820513,0.025641025641025637,0.4230769230769231,0.5769230769230769,0.4230769230769231,0.0,-0.016506410256410257,-0.23541666666666666
hmc,2,0.2,0.4075320512820513,0.025641025641025637,0.4230769230769231,0.5769230769230769,0.4230769230769231,0.0,-0.016506410256410257,-0.23541666666666666
hmc,3,0.1,0.37451923076923077,0.01955128205128205,0.38461538461538464,0.6153846153846154,0.34615384615384615,0.038461538461538464,-0.00833333333333333,-0.24006410256410254
hmc,3,0.2,0.37451923076923077,0.01955128205128205,0.38461538461538464,0.6153846153846154,0.34615384615384615,0.038461538461538464,-0.00833333333333333,-0.24006410256410254
hmc,4,0.1,0.4056089743589744,0.02756410256410256,0.6153846153846154,0.38461538461538464,0.5769230769230769,0.038461538461538464,-0.004807692307692304,-0.2485576923076923
hmc,4,0.2,0.4056089743589744,0.02756410256410256,0.6153846153846154,0.38461538461538464,0.5769230769230769,0.038461538461538464,-0.004807692307692304,-0.2485576923076923
