dataset,seed,alpha,safe_oracle_gain_vs_no_tta,safe_and_beneficial_subject_rate,safe_oracle_csr,safe_oracle_set_size,safe_oracle_no_tta_rate,safe_oracle_t3a_rate,safe_oracle_entropy_adapter_rate
cap,0,0.1,0.0,0.0,0.21621621621621623,4.731531531531531,1.0,0.0,0.0
cap,0,0.2,0.0010135135135135136,0.013513513513513514,0.7297297297297297,3.5365990990990994,0.9864864864864865,0.013513513513513514,0.0
cap,1,0.1,0.0,0.0,0.47297297297297297,4.423310810810811,1.0,0.0,0.0
cap,1,0.2,0.0014639639639639655,0.05405405405405406,0.8108108108108109,3.3257319819819826,0.9324324324324325,0.06756756756756757,0.0
cap,2,0.1,0.00011261261261261221,0.013513513513513514,0.9054054054054054,3.6415540540540543,0.9594594594594594,0.04054054054054054,0.0
cap,2,0.2,0.0,0.0,0.9459459459459459,3.1120495495495493,1.0,0.0,0.0
cap,3,0.1,-0.0007319819819819809,0.02702702702702703,0.6486486486486487,4.233502252252252,0.9594594594594594,0.04054054054054054,0.0
cap,3,0.2,0.007882882882882886,0.12162162162162163,0.9864864864864865,3.2603040540540538,0.8783783783783784,0.12162162162162163,0.0
cap,4,0.1,0.0014639639639639648,0.05405405405405406,0.8513513513513513,3.574887387387387,0.9459459459459459,0.05405405405405406,0.0
cap,4,0.2,0.0006193693693693694,0.02702702702702703,0.8243243243243243,3.2042792792792794,0.972972972972973,0.02702702702702703,0.0
eegmmidb,0,0.1,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,0,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,1,0.1,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,1,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,2,0.1,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,2,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,3,0.1,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,3,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,4,0.1,0.0,0.0,0.0,4.0,1.0,0.0,0.0
eegmmidb,4,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0
hmc,0,0.1,0.01201923076923077,0.07692307692307693,0.9230769230769231,3.5975961538461543,0.9230769230769231,0.07692307692307693,0.0
hmc,0,0.2,0.014423076923076926,0.15384615384615385,0.8846153846153846,2.980769230769231,0.8461538461538461,0.15384615384615385,0.0
hmc,1,0.1,0.0,0.0,0.7307692307692307,3.8610576923076922,1.0,0.0,0.0
hmc,1,0.2,0.013301282051282056,0.19230769230769232,0.9615384615384616,3.33349358974359,0.8076923076923077,0.19230769230769232,0.0
hmc,2,0.1,0.01073717948717948,0.34615384615384615,0.9230769230769231,3.801602564102564,0.5384615384615384,0.46153846153846156,0.0
hmc,2,0.2,0.013942307692307686,0.3076923076923077,0.9615384615384616,3.352724358974359,0.5384615384615384,0.46153846153846156,0.0
hmc,3,0.1,0.0062499999999999995,0.11538461538461539,0.8846153846153846,3.578365384615385,0.8846153846153846,0.11538461538461539,0.0
hmc,3,0.2,0.011858974358974364,0.23076923076923078,0.9615384615384616,3.105448717948718,0.6538461538461539,0.34615384615384615,0.0
hmc,4,0.1,-0.007852564102564106,0.3076923076923077,0.9230769230769231,3.841666666666667,0.6153846153846154,0.38461538461538464,0.0
hmc,4,0.2,-0.011538461538461543,0.2692307692307692,1.0,3.614423076923077,0.6153846153846154,0.38461538461538464,0.0
