benchmark,outer_fold,utility_R2,utility_pearson,utility_spearman,utility_sign_accuracy,positive_target_fraction,rows,subjects,controller_id,mode,cross_fitted
OpenBMI_MI_S1_to_S2,0,-0.218693147682272,0.0244996068656463,0.1192566655289798,0.5772913816689467,0.4842681258549932,731,43,RIDGE_A1,META_GENERIC,True
OpenBMI_MI_S1_to_S2,0,-0.1958159409471904,0.0250372617005221,0.125745658485664,0.5786593707250342,0.4842681258549932,731,43,RIDGE_A10,META_GENERIC,True
OpenBMI_MI_S1_to_S2,0,-0.0659088445068254,-0.0361353847157527,0.0307082874360848,0.5170998632010944,0.4842681258549932,731,43,EXTRA_TREES_D4,META_GENERIC,True
OpenBMI_MI_S1_to_S2,0,0.0179531263029893,0.175875739917121,0.2168701037097295,0.5718194254445964,0.4842681258549932,731,43,RIDGE_A1,PERSIST_META,True
OpenBMI_MI_S1_to_S2,0,-0.0906660915295587,0.1055515520570828,0.1511786425358271,0.5745554035567716,0.4842681258549932,731,43,RIDGE_A10,PERSIST_META,True
OpenBMI_MI_S1_to_S2,0,-0.0194170529050712,0.0846826047282082,0.1507359584509805,0.5786593707250342,0.4842681258549932,731,43,EXTRA_TREES_D4,PERSIST_META,True
OpenBMI_MI_S1_to_S2,1,-0.1010214596425862,0.1695791910546578,0.1608722258899225,0.5690834473324213,0.4596443228454172,731,43,RIDGE_A1,META_GENERIC,True
OpenBMI_MI_S1_to_S2,1,-0.0604603068301647,0.1792879583789152,0.1634475044567934,0.5567715458276333,0.4596443228454172,731,43,RIDGE_A10,META_GENERIC,True
OpenBMI_MI_S1_to_S2,1,0.0223085647190173,0.2041101883995721,0.0749651270925604,0.5157318741450069,0.4596443228454172,731,43,EXTRA_TREES_D4,META_GENERIC,True
OpenBMI_MI_S1_to_S2,1,0.0392455256842324,0.2399013134807907,0.2008156938113011,0.5896032831737346,0.4596443228454172,731,43,RIDGE_A1,PERSIST_META,True
OpenBMI_MI_S1_to_S2,1,-0.0488019018429866,0.1786851764658416,0.1731318101846831,0.5649794801641587,0.4596443228454172,731,43,RIDGE_A10,PERSIST_META,True
OpenBMI_MI_S1_to_S2,1,0.0410800539388177,0.2321946844762597,0.189643373578365,0.5567715458276333,0.4596443228454172,731,43,EXTRA_TREES_D4,PERSIST_META,True
OpenBMI_MI_S1_to_S2,2,-0.1099232113974824,0.081147951947917,0.0735045127049718,0.5362517099863201,0.4186046511627907,731,43,RIDGE_A1,META_GENERIC,True
OpenBMI_MI_S1_to_S2,2,-0.0534474164151785,0.1291661467934429,0.1300839625171613,0.560875512995896,0.4186046511627907,731,43,RIDGE_A10,META_GENERIC,True
OpenBMI_MI_S1_to_S2,2,-0.029426953593387,0.1013004381992412,0.0604320481878032,0.5376196990424077,0.4186046511627907,731,43,EXTRA_TREES_D4,META_GENERIC,True
OpenBMI_MI_S1_to_S2,2,0.0470039981905558,0.2320267831886329,0.2295763964901081,0.5991792065663475,0.4186046511627907,731,43,RIDGE_A1,PERSIST_META,True
OpenBMI_MI_S1_to_S2,2,0.0305212657165548,0.2330543796274319,0.1831540119742819,0.5663474692202463,0.4186046511627907,731,43,RIDGE_A10,PERSIST_META,True
OpenBMI_MI_S1_to_S2,2,0.0095411799917832,0.1621540172125316,0.1806219740624449,0.5417236662106704,0.4186046511627907,731,43,EXTRA_TREES_D4,PERSIST_META,True
