mode,controller_id,kappa,threshold,scale,mean_subject_BA,base_mean_subject_BA,Delta_BA,mean_subject_NLL,adapt_fraction,harmful_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,median_subject_delta,selected,benchmark,outer_fold,capacity_matched
META_GENERIC,RIDGE_A1,0.0,0.005,0.5,0.8879069767441858,0.8867441860465115,0.0011627906976744,0.2521019822805095,0.7209302325581395,0.1162790697674418,0.8837209302325582,-0.0199999999999999,0.0,True,OpenBMI_MI_S1_to_S2,0,True
PERSIST_META,EXTRA_TREES_D4,0.5,0.0,1.0,0.8883720930232559,0.8867441860465115,0.0016279069767441,0.2530127468720639,0.1627906976744186,0.0232558139534883,0.9767441860465116,-0.0299999999999999,0.0,True,OpenBMI_MI_S1_to_S2,0,True
META_GENERIC,RIDGE_A1,0.0,0.0025,0.5,0.893953488372093,0.8897674418604651,0.0041860465116279,0.2394871396576404,0.8372093023255814,0.0930232558139534,0.9069767441860463,-0.02,0.0,True,OpenBMI_MI_S1_to_S2,1,True
PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,0.8930232558139538,0.8897674418604651,0.0032558139534883,0.2417886482091071,0.7441860465116279,0.1395348837209302,0.8604651162790697,-0.02,0.0,True,OpenBMI_MI_S1_to_S2,1,True
META_GENERIC,RIDGE_A10,0.0,0.0,1.0,0.9095348837209304,0.908139534883721,0.0013953488372092,0.2016955576321168,0.8604651162790697,0.2558139534883721,0.7441860465116279,-0.05,0.0,True,OpenBMI_MI_S1_to_S2,2,True
PERSIST_META,RIDGE_A1,0.0,0.0,1.0,0.91046511627907,0.908139534883721,0.0023255813953488,0.2017528261159028,1.0,0.2093023255813953,0.7906976744186046,-0.03,0.0,False,OpenBMI_MI_S1_to_S2,2,True
META_GENERIC,RIDGE_A10,0.5,0.0025,1.0,0.914186046511628,0.911860465116279,0.0023255813953488,0.1998787152995097,0.4186046511627907,0.0697674418604651,0.9302325581395348,-0.03,0.0,True,OpenBMI_MI_S1_to_S2,3,True
PERSIST_META,EXTRA_TREES_D4,0.0,0.0,0.5,0.9146511627906976,0.911860465116279,0.0027906976744186,0.2011473634126932,0.6744186046511628,0.1162790697674418,0.8837209302325582,-0.02,0.0,True,OpenBMI_MI_S1_to_S2,3,True
META_GENERIC,RIDGE_A10,0.5,0.0025,0.5,0.966818181818182,0.9663636363636364,0.0004545454545454,0.0914852230196349,0.1818181818181818,0.0,1.0,0.0,0.0,True,OpenBMI_MI_S1_to_S2,4,True
PERSIST_META,RIDGE_A10,1.0,0.0,0.5,0.966818181818182,0.9663636363636364,0.0004545454545454,0.0914678887311192,0.1818181818181818,0.0,1.0,0.0,0.0,True,OpenBMI_MI_S1_to_S2,4,True
META_GENERIC,RIDGE_A10,0.0,0.0,0.5,0.7947806186868687,0.7925915404040405,0.0021890782828282,0.3846702822056068,0.84375,0.21875,0.78125,-0.01,0.0,False,WBCIC_S1S2_to_S3_authorized_development,0,True
PERSIST_META,RIDGE_A1,0.0,0.0,1.0,0.7957246291035354,0.7925915404040405,0.0031330886994949,0.3842177048504174,0.96875,0.28125,0.71875,-0.0199999999999999,0.0,True,WBCIC_S1S2_to_S3_authorized_development,0,True
META_GENERIC,RIDGE_A1,0.0,0.0,1.0,0.8210102923171105,0.8158539944903582,0.0051562978267523,0.3559890513907084,0.9696969696969696,0.1515151515151515,0.8484848484848485,-0.0149999999999999,0.0001578282828282,True,WBCIC_S1S2_to_S3_authorized_development,1,True
PERSIST_META,RIDGE_A1,0.0,0.0,1.0,0.8191921104989287,0.8158539944903582,0.0033381160085705,0.3583979197971406,1.0,0.3333333333333333,0.6666666666666666,-0.0149999999999999,0.0,True,WBCIC_S1S2_to_S3_authorized_development,1,True
META_GENERIC,RIDGE_A1,1.0,0.005,0.5,0.8072117003367003,0.8078177609427609,-0.0006060606060605,0.373682160050327,0.2727272727272727,0.1515151515151515,0.8484848484848485,-0.01,0.0,True,WBCIC_S1S2_to_S3_authorized_development,2,True
PERSIST_META,RIDGE_A1,1.0,0.0025,0.5,0.8078177609427609,0.8078177609427609,0.0,0.3763602261366373,0.0303030303030303,0.0,1.0,0.0,0.0,False,WBCIC_S1S2_to_S3_authorized_development,2,True
META_GENERIC,EXTRA_TREES_D4,1.0,0.0025,1.0,0.8153030303030304,0.8142424242424243,0.001060606060606,0.379552316747464,0.0606060606060606,0.0,1.0,0.0,0.0,True,WBCIC_S1S2_to_S3_authorized_development,3,True
PERSIST_META,RIDGE_A10,0.0,0.005,1.0,0.8153030303030302,0.8142424242424243,0.001060606060606,0.3686207599555957,0.7272727272727273,0.0909090909090909,0.9090909090909092,-0.02,0.0,True,WBCIC_S1S2_to_S3_authorized_development,3,True
META_GENERIC,RIDGE_A10,0.5,0.0025,0.5,0.8057122359963269,0.804803145087236,0.0009090909090909,0.3784485035357622,0.3939393939393939,0.0606060606060606,0.9393939393939394,-0.0149999999999999,0.0,True,WBCIC_S1S2_to_S3_authorized_development,4,True
PERSIST_META,RIDGE_A10,0.0,0.0025,0.5,0.8060137358432814,0.804803145087236,0.0012105907560453,0.3763754202704102,0.9393939393939394,0.2424242424242424,0.7575757575757576,-0.01,0.0,True,WBCIC_S1S2_to_S3_authorized_development,4,True
