benchmark,family,component_id,mean_realized_CE_utility,mean_realized_BA_utility,positive_utility_fraction,subjects,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,calibration,CALIBRATE_C01_A50,0.0005724577563581227,0.0012962962962962943,0.3611111111111111,54,False
OpenBMI_MI_S1_to_S2,calibration,CALIBRATE_C1_A50,0.005079242250014244,0.0024537037037037,0.6666666666666666,54,False
OpenBMI_MI_S1_to_S2,meta_sgd,META_SGD_FULL_S025,0.003721617709416131,0.001111111111111112,0.6620370370370371,54,False
OpenBMI_MI_S1_to_S2,meta_sgd,META_SGD_FULL_S050,0.004279580231322736,-0.00032407407407407455,0.5833333333333334,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_00,0.003105445522410962,-0.0008333333333333322,0.5787037037037037,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_01,-0.0025394964995360267,-0.00138888888888889,0.4444444444444444,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_02,-0.003056009335811632,-0.00037037037037037035,0.4166666666666667,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_03,-0.005760739477966896,-0.0031018518518518474,0.3888888888888889,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_04,-0.00580336724364452,-0.003888888888888886,0.3611111111111111,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_05,-0.005428610296324333,-0.0027777777777777783,0.33796296296296297,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_06,-0.00484585544684613,-0.0035648148148148145,0.39351851851851855,54,False
OpenBMI_MI_S1_to_S2,projected_gradient,META_SGD_PC_GROUP_07,-0.006221913651468757,-0.0022222222222222174,0.33796296296296297,54,False
OpenBMI_MI_S1_to_S2,prototype_transport,PROTOTYPE_TRANSPORT_A50,0.000846273106530568,0.001527777777777775,0.41203703703703703,54,False
OpenBMI_MI_S1_to_S2,ridge_head,RIDGE_C001_A50,-0.014871596237357712,0.001435185185185184,0.16666666666666666,54,False
OpenBMI_MI_S1_to_S2,ridge_head,RIDGE_C01_A50,-0.00042858043738610565,0.000694444444444443,0.4074074074074074,54,False
OpenBMI_MI_S1_to_S2,ridge_head,RIDGE_C1_A50,-0.014248196951903724,-0.004212962962962961,0.4027777777777778,54,False
OpenBMI_MI_S1_to_S2,shrinkage_lda,SHRINKAGE_LDA_A50,-0.028705756541370267,-0.005416666666666661,0.33796296296296297,54,False
WBCIC_S1S2_to_S3_authorized_development,calibration,CALIBRATE_C01_A50,0.006291648366785815,-0.0003061483739837494,0.6280487804878049,41,False
WBCIC_S1S2_to_S3_authorized_development,calibration,CALIBRATE_C1_A50,0.0015073245331098041,-0.00036677753141168483,0.5609756097560976,41,False
WBCIC_S1S2_to_S3_authorized_development,meta_sgd,META_SGD_FULL_S025,0.001635988558507264,-0.0010693058635131822,0.6280487804878049,41,False
WBCIC_S1S2_to_S3_authorized_development,meta_sgd,META_SGD_FULL_S050,-0.0016744695229409421,-0.0014053261271249067,0.5,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_00,-0.003181261187320138,-0.002165942966247846,0.4634146341463415,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_01,-0.00830918901119309,-0.003410476718403552,0.2804878048780488,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_02,-0.010725527567682835,-0.004760832409460459,0.23780487804878048,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_03,-0.009698767131139457,-0.0038798041389504815,0.25,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_04,-0.009670236334188176,-0.004455915865976839,0.2682926829268293,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_05,-0.010649519714721578,-0.004911962613944327,0.27439024390243905,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_06,-0.006640287084902362,-0.004000254065040647,0.29878048780487804,41,False
WBCIC_S1S2_to_S3_authorized_development,projected_gradient,META_SGD_PC_GROUP_07,-0.009484344697097647,-0.004484863882729733,0.24390243902439024,41,False
WBCIC_S1S2_to_S3_authorized_development,prototype_transport,PROTOTYPE_TRANSPORT_A50,0.008561659320021049,-0.0017047764227642265,0.6463414634146342,41,False
WBCIC_S1S2_to_S3_authorized_development,ridge_head,RIDGE_C001_A50,0.010801629495621206,0.00015274698201527128,0.4878048780487805,41,False
WBCIC_S1S2_to_S3_authorized_development,ridge_head,RIDGE_C01_A50,0.007265711283986512,-0.000544700049273225,0.6158536585365854,41,False
WBCIC_S1S2_to_S3_authorized_development,ridge_head,RIDGE_C1_A50,-0.008847811574197038,-0.0019556848977580745,0.43902439024390244,41,False
WBCIC_S1S2_to_S3_authorized_development,session_transport,LATEST_SESSION_RIDGE_A50,0.007801254987291491,-0.0010334288001971007,0.5609756097560976,41,False
WBCIC_S1S2_to_S3_authorized_development,shrinkage_lda,SHRINKAGE_LDA_A50,-0.008705189129123408,-0.0017362265952205057,0.49390243902439024,41,False
