benchmark,method_id,subjects,mean_subject_BA,mean_subject_NLL,reference_method_id,Delta_BA,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,positive_fold_fraction,target_future_labels_used_for_fit,OUTER_TEST_USED,benchmark_short
OpenBMI_MI_S1_to_S2,ANCHOR_BLEND_PERSIST_META,54,0.836851851851852,0.4126353201403713,MI_SPECIFIC_BACKBONE_ADAPTED,0.004814814814814813,0.35185185185185186,0.7037037037037037,-0.04999999999999993,0.6,False,False,OpenBMI
OpenBMI_MI_S1_to_S2,ANCHOR_BLEND_META_GENERIC,54,0.835925925925926,0.41549152356462493,MI_SPECIFIC_BACKBONE_ADAPTED,0.0038888888888888883,0.4074074074074074,0.6666666666666666,-0.04999999999999993,0.8,False,False,OpenBMI
OpenBMI_MI_S1_to_S2,ANCHOR_PLUS_META_GENERIC_RESIDUAL,54,0.8335185185185183,0.40894668378456667,MI_SPECIFIC_BACKBONE_ADAPTED,0.0014814814814814827,0.16666666666666666,0.9444444444444444,-0.030000000000000027,0.6,False,False,OpenBMI
OpenBMI_MI_S1_to_S2,ANCHOR_PLUS_PERSIST_META_RESIDUAL,54,0.8325925925925924,0.40782117171142473,MI_SPECIFIC_BACKBONE_ADAPTED,0.0005555555555555582,0.2037037037037037,0.7962962962962963,-0.030000000000000027,0.4,False,False,OpenBMI
OpenBMI_MI_S1_to_S2,PERSIST_META,54,0.8301851851851852,0.44414105902120515,MI_SPECIFIC_BACKBONE_ADAPTED,-0.0018518518518518534,0.2962962962962963,0.5370370370370371,-0.08999999999999997,0.2,False,False,OpenBMI
OpenBMI_MI_S1_to_S2,META_GENERIC,54,0.83,0.4518205107903547,MI_SPECIFIC_BACKBONE_ADAPTED,-0.002037037037037039,0.3333333333333333,0.5555555555555556,-0.09999999999999998,0.4,False,False,OpenBMI
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_PLUS_PERSIST_META_RESIDUAL,41,0.8216796008869179,0.353634709999288,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,0.0008625893077112525,0.24390243902439024,0.7560975609756098,-0.07000000000000006,0.4,False,False,WBCIC
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_PLUS_META_GENERIC_RESIDUAL,41,0.8193535969450603,0.35558408070131353,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,-0.0014634146341463454,0.24390243902439024,0.8292682926829268,-0.07000000000000006,0.4,False,False,WBCIC
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND_META_GENERIC,41,0.814965970682434,0.36518757103507404,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,-0.005851040896772596,0.3170731707317073,0.43902439024390244,-0.06499999999999995,0.0,False,False,WBCIC
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND_PERSIST_META,41,0.8136245072678,0.362314314893378,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,-0.007192504311406741,0.2682926829268293,0.4146341463414634,-0.06499999999999995,0.0,False,False,WBCIC
WBCIC_S1S2_to_S3_authorized_development,PERSIST_META,41,0.7964230721852673,0.39195175725236436,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,-0.02439393939393939,0.0975609756097561,0.14634146341463414,-0.13000000000000012,0.0,False,False,WBCIC
WBCIC_S1S2_to_S3_authorized_development,META_GENERIC,41,0.7953255112096576,0.39813672149804524,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,-0.025491500369549155,0.12195121951219512,0.12195121951219512,-0.1200000000000001,0.0,False,False,WBCIC
