benchmark,method_id,family,mean_subject_BA,subjects,source_file,OUTER_TEST_USED
OpenBMI,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,compact EEG-Conformer,0.8377777777777777,54,OPENBMI_CONFORMER_NORM.csv,False
OpenBMI,ANCHOR_BLEND__CAPACITY_MATCHED_EEGNET_FIXED_HEAD,wide EEGNet identity control,0.8375925925925927,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,compact EEG-Conformer,0.836851851851852,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND_PERSIST_META,initial utility-controller / anchor,0.836851851851852,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND_META_GENERIC,initial utility-controller / anchor,0.835925925925926,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,compact EEG-Conformer,0.8355555555555556,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__FBCVARIANCE_NORM_FIXED_HEAD,filter-bank log-variance,0.834259259259259,54,OPENBMI_FBCVARIANCE_NORM.csv,False
OpenBMI,ANCHOR_BLEND__CAPACITY_MATCHED_EEGNET_FIXED_CALIBRATION,wide EEGNet identity control,0.833703703703704,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_PLUS_META_GENERIC_RESIDUAL,initial utility-controller / anchor,0.8335185185185183,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__CAPACITY_MATCHED_EEGNET_FROZEN,wide EEGNet identity control,0.8333333333333335,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_PLUS_PERSIST_META_RESIDUAL,initial utility-controller / anchor,0.8325925925925924,54,OPENBMI_V7.csv,False
OpenBMI,MI_SPECIFIC_BACKBONE_ADAPTED,V6 selected MI-specific EEGNet/Shallow,0.8320370370370371,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__FBCVARIANCE_NORM_FIXED_CALIBRATION,filter-bank log-variance,0.8316666666666666,54,OPENBMI_V7.csv,False
OpenBMI,PERSIST_META,initial utility-controller / anchor,0.8301851851851852,54,OPENBMI_V7.csv,False
OpenBMI,META_GENERIC,initial utility-controller / anchor,0.83,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__FBCVARIANCE_FIXED_HEAD,filter-bank log-variance,0.8294444444444444,54,OPENBMI_FBCVARIANCE.csv,False
OpenBMI,ANCHOR_PLUS_META_GENERIC_HYPER,low-rank history hypernetwork,0.8290740740740743,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_PLUS_PERSIST_META_HYPER,low-rank history hypernetwork,0.8287037037037034,54,OPENBMI_HYPERNETWORK_META.csv,False
OpenBMI,V7_FEATURE_BASE,initial utility-controller / anchor,0.8285185185185185,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__FBCVARIANCE_FROZEN,filter-bank log-variance,0.8283333333333333,54,OPENBMI_FBCVARIANCE.csv,False
OpenBMI,ANCHOR_BLEND__FBCVARIANCE_FIXED_CALIBRATION,filter-bank log-variance,0.827962962962963,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,history Euclidean alignment,0.825,54,OPENBMI_HISTORY_EA_EEGNET.csv,False
OpenBMI,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,history Euclidean alignment,0.8229629629629628,54,OPENBMI_V7.csv,False
OpenBMI,ANCHOR_BLEND__FBCVARIANCE_NORM_FROZEN,filter-bank log-variance,0.8227777777777777,54,OPENBMI_FBCVARIANCE_NORM.csv,False
OpenBMI,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,history Euclidean alignment,0.8224074074074074,54,OPENBMI_HISTORY_EA_EEGNET.csv,False
OpenBMI,CONFORMER_NORM_FIXED_HEAD,compact EEG-Conformer,0.8046296296296297,54,OPENBMI_V7.csv,False
OpenBMI,CAPACITY_MATCHED_EEGNET_FIXED_HEAD,wide EEGNet identity control,0.8020370370370371,54,OPENBMI_CAPACITY_MATCHED_EEGNET.csv,False
