epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,lambda_inv_effective_mi,lambda_inv_effective_erp,lambda_inv_effective_ssvep,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7808193041526375,0.758888888888889,0.6257912457912458,0.9577777777777777,0.39642433711776026,3.5043140914705067,3.900738415894685,0.9996205910488412,0.0,0.0,0.0,0.0,20,0.6767685275836544,1.0,9.106380939483643
1,0.7787542087542088,0.7533333333333333,0.6268181818181818,0.956111111111111,0.38918178169815626,3.4132885005739,3.8024702690265797,1.0048787030908797,0.0,0.0,0.0,0.0,20,0.6767685275836544,1.0,16.648250341415405
2,0.7744556677890011,0.7477777777777778,0.6261447811447811,0.9494444444444444,0.38946146821534194,3.3113651275634766,3.7008265830852367,1.0604834755261738,0.025,0.015,0.025,0.034999999999999996,20,0.6767685275836544,1.0,24.179170608520508
3,0.7779629629629629,0.7511111111111111,0.6322222222222222,0.9505555555555556,0.3926082761199386,3.2482800395400435,3.6408883289054588,1.0719063557960369,0.05,0.03,0.05,0.06999999999999999,20,0.6767685275836544,1.0,31.73030424118042
4,0.7808473625140292,0.7605555555555557,0.6336531986531986,0.9483333333333334,0.3865300957803373,3.286294623657509,3.6728247139188976,1.07209203309483,0.07500000000000001,0.045000000000000005,0.07500000000000001,0.10500000000000001,19,0.6931102012084691,0.5181238154282869,42.29746437072754
5,0.7731481481481483,0.7377777777777779,0.6294444444444445,0.9522222222222222,0.3890033369814908,3.364638981995759,3.7536423118026168,1.1043075996416587,0.1,0.06,0.1,0.13999999999999999,19,0.6931102012084691,0.5181238154282869,49.83282995223999
6,0.7790011223344556,0.7572222222222222,0.6292255892255891,0.9505555555555555,0.38712228061976256,3.454004989729987,3.8411272587599576,1.1473928447122927,0.1,0.06,0.1,0.13999999999999999,19,0.6931102012084691,0.5181238154282869,57.52464151382446
7,0.781257014590348,0.76,0.6321043771043771,0.9516666666666667,0.38921246705231843,3.3866742275379322,3.7758866769296153,1.1388812407299325,0.1,0.06,0.1,0.13999999999999999,19,0.6931102012084691,0.5181238154282869,65.02112174034119
8,0.7600000000000001,0.7444444444444445,0.5866666666666667,0.9488888888888889,0.39201704881809374,3.5911653483355486,3.9831823684551098,1.0526875897690102,0.1,0.06,0.1,0.13999999999999999,19,0.734913134875451,0.4756994151332652,75.82116317749023
9,0.7753872053872053,0.75,0.6228282828282828,0.9533333333333334,0.38602058203132067,3.5592794241728605,3.945299987439756,1.0524699180214494,0.1,0.06,0.1,0.13999999999999999,19,0.734913134875451,0.4756994151332652,83.59561896324158
10,0.7801571268237936,0.7605555555555555,0.6232491582491583,0.9566666666666667,0.3827415594348201,3.4918179202962807,3.8745594775235213,1.037462184826533,0.1,0.06,0.1,0.13999999999999999,19,0.734913134875451,0.4756994151332652,91.42703318595886
11,0.7771268237934904,0.7577777777777778,0.6236026936026936,0.95,0.3861211444492693,3.4581116835276284,3.844232819698475,1.0468349269142858,0.1,0.06,0.1,0.13999999999999999,19,0.734913134875451,0.4756994151332652,99.20882439613342
