POST_HOC_DIAGNOSTIC_ONLY,dataset,model,metric,rho,bootstrap_ci_low,bootstrap_ci_high,n
True,OpenBMI,LiteBN,abs_log_RMS_shift,0.4197802197802198,-0.15125513947113833,0.8500169683257915,14
True,OpenBMI,LiteBN,mu_contrast_shift,-0.45494505494505494,-0.8058724631032379,0.1314134946345412,14
True,OpenBMI,LiteBN,beta_contrast_shift,0.4461538461538462,-0.08315545184771855,0.8125,14
True,OpenBMI,LiteBN,cov_fro_shift,0.3626373626373627,-0.17998046774343168,0.7090929428513321,14
True,OpenBMI,Compact,abs_log_RMS_shift,0.35423563789784895,-0.2828576646829625,0.7731849366894921,14
True,OpenBMI,Compact,mu_contrast_shift,-0.5192522394030581,-0.8745877350390463,0.07415730337078652,14
True,OpenBMI,Compact,beta_contrast_shift,0.5918595440653501,0.04976815050344464,0.9013452914798208,14
True,OpenBMI,Compact,cov_fro_shift,0.6798683982014617,0.18119262856046897,0.9610537554879617,14
True,OpenBMI,LiteGN,abs_log_RMS_shift,0.4884491404554191,-0.013339752810276984,0.8138322042592923,14
True,OpenBMI,LiteGN,mu_contrast_shift,-0.6006604294789614,-0.8839285714285715,-0.058360111522342294,14
True,OpenBMI,LiteGN,beta_contrast_shift,0.3498351951910434,-0.26863991236733475,0.834307695710731,14
True,OpenBMI,LiteGN,cov_fro_shift,0.5544557810575027,-0.07867855954544288,0.9185520361990951,14
True,WBCIC,LiteBN,abs_log_RMS_shift,0.18678863950706415,-0.5358291666598818,0.7471017789061869,11
True,WBCIC,LiteBN,mu_contrast_shift,0.05922566618516668,-0.5700934579439252,0.7714285714285714,11
True,WBCIC,LiteBN,beta_contrast_shift,0.2369026647406667,-0.56327828066486,0.8009478672985781,11
True,WBCIC,LiteBN,cov_fro_shift,-0.5603659185211924,-0.8665167586741103,0.1654948880338929,11
True,WBCIC,Compact,abs_log_RMS_shift,0.10502392594476133,-0.6447408637577006,0.7840588626258508,11
True,WBCIC,Compact,mu_contrast_shift,0.10502392594476133,-0.6791839063471312,0.7588050597786593,11
True,WBCIC,Compact,beta_contrast_shift,0.16438527539180034,-0.5069767441860465,0.8684941329322162,11
True,WBCIC,Compact,cov_fro_shift,-0.5114208567744899,-0.9158878504672897,0.21180748588596118,11
True,WBCIC,LiteGN,abs_log_RMS_shift,-0.050114025233602574,-0.6872037914691942,0.598885982942184,11
True,WBCIC,LiteGN,mu_contrast_shift,0.1138955118945513,-0.6000000000000001,0.7961177262039987,11
True,WBCIC,LiteGN,beta_contrast_shift,0.4054680223446026,-0.43822962880614674,0.8967136150234741,11
True,WBCIC,LiteGN,cov_fro_shift,-0.39180056091725646,-0.8148148148148148,0.2796396775479468,11
