dataset,subject_id,mu_absolute_shift,mu_contrast_cosine,mu_contrast_shift,beta_absolute_shift,beta_contrast_cosine,beta_contrast_shift
OpenBMI,1,8.20159912109375e-05,0.5646517276763916,0.4353482723236084,3.814697265625e-06,-0.013497387059032917,1.013497387059033
OpenBMI,2,1.9073486328125e-06,0.13253885507583618,0.8674611449241638,0.0,0.01137779001146555,0.9886222099885345
OpenBMI,3,9.5367431640625e-06,0.4317520260810852,0.5682479739189148,9.5367431640625e-06,-0.009290962480008602,1.0092909624800086
OpenBMI,5,2.288818359375e-05,0.06993813812732697,0.930061861872673,1.9073486328125e-06,0.01068236492574215,0.9893176350742579
OpenBMI,6,5.7220458984375e-06,0.4200664460659027,0.5799335539340973,1.71661376953125e-05,0.04645558446645737,0.9535444155335426
OpenBMI,7,3.62396240234375e-05,0.7164894342422485,0.28351056575775146,1.71661376953125e-05,0.11064963787794113,0.8893503621220589
OpenBMI,8,5.91278076171875e-05,0.3393220901489258,0.6606779098510742,7.62939453125e-06,0.23561634123325348,0.7643836587667465
OpenBMI,9,1.9073486328125e-06,-0.08426935970783234,1.0842693597078323,3.814697265625e-06,-0.005357866175472736,1.0053578661754727
OpenBMI,10,0.0001850128173828125,0.9073736071586609,0.09262639284133911,3.814697265625e-06,0.09248532354831696,0.907514676451683
OpenBMI,11,2.47955322265625e-05,0.17462994158267975,0.8253700584173203,2.09808349609375e-05,-0.021087899804115295,1.0210878998041153
OpenBMI,14,2.86102294921875e-05,0.3418359160423279,0.6581640839576721,2.47955322265625e-05,0.4429321885108948,0.5570678114891052
OpenBMI,15,3.4332275390625e-05,-0.36404114961624146,1.3640411496162415,3.814697265625e-06,0.2186092883348465,0.7813907116651535
OpenBMI,16,1.71661376953125e-05,-0.029617086052894592,1.0296170860528946,7.62939453125e-06,-0.018122471868991852,1.0181224718689919
OpenBMI,19,4.9591064453125e-05,0.7303941249847412,0.2696058750152588,1.9073486328125e-06,0.06000278890132904,0.939997211098671
OpenBMI,20,0.0001201629638671875,0.16143716871738434,0.8385628312826157,1.1444091796875e-05,0.01290085632354021,0.9870991436764598
OpenBMI,21,5.340576171875e-05,0.6489484310150146,0.35105156898498535,5.7220458984375e-06,0.40916070342063904,0.590839296579361
OpenBMI,22,1.33514404296875e-05,0.7134111523628235,0.2865888476371765,3.24249267578125e-05,-0.007587676402181387,1.0075876764021814
OpenBMI,23,2.6702880859375e-05,-0.3118949830532074,1.3118949830532074,0.0,0.03264912962913513,0.9673508703708649
OpenBMI,26,8.20159912109375e-05,-0.7407582998275757,1.7407582998275757,7.62939453125e-06,0.029169023036956787,0.9708309769630432
OpenBMI,27,1.1444091796875e-05,-0.030796824023127556,1.0307968240231276,5.7220458984375e-06,-0.03296966850757599,1.032969668507576
OpenBMI,28,7.62939453125e-06,0.6484922170639038,0.3515077829360962,7.62939453125e-06,0.026852745562791824,0.9731472544372082
OpenBMI,30,3.814697265625e-06,0.07758405059576035,0.9224159494042397,7.62939453125e-06,0.056928426027297974,0.943071573972702
OpenBMI,31,1.52587890625e-05,0.18748341500759125,0.8125165849924088,1.9073486328125e-06,0.011659280396997929,0.9883407196030021
OpenBMI,32,1.1444091796875e-05,0.6131629943847656,0.3868370056152344,1.9073486328125e-06,0.030612323433160782,0.9693876765668392
OpenBMI,33,7.43865966796875e-05,0.8340973854064941,0.16590261459350586,0.0,0.010203892365098,0.989796107634902
OpenBMI,34,9.918212890625e-05,-0.018873026594519615,1.0188730265945196,0.000179290771484375,0.6103508472442627,0.3896491527557373
OpenBMI,35,7.62939453125e-06,0.21606451272964478,0.7839354872703552,4.1961669921875e-05,0.08820036798715591,0.9117996320128441
OpenBMI,38,1.1444091796875e-05,-0.001975142862647772,1.0019751428626478,1.9073486328125e-06,-0.018908319994807243,1.0189083199948072
OpenBMI,40,1.33514404296875e-05,0.03766999766230583,0.9623300023376942,5.7220458984375e-06,-0.0046636187471449375,1.004663618747145
OpenBMI,41,9.5367431640625e-06,-0.010386984795331955,1.010386984795332,7.62939453125e-06,0.05926066264510155,0.9407393373548985
OpenBMI,43,2.288818359375e-05,0.40777572989463806,0.5922242701053619,0.0,0.05150143429636955,0.9484985657036304
OpenBMI,44,9.1552734375e-05,0.48127177357673645,0.5187282264232635,1.9073486328125e-06,-0.0038183112628757954,1.0038183112628758
OpenBMI,45,5.7220458984375e-06,0.09573817253112793,0.9042618274688721,1.1444091796875e-05,-0.054849352687597275,1.0548493526875973
