dataset,subject_id,covariance_fro_shift,correlation_fro_shift
OpenBMI,1,0.45550802265237494,0.5488919305186728
OpenBMI,2,0.07108314843886522,0.23818077163317794
OpenBMI,3,0.45964142358819654,0.5309028043997449
OpenBMI,5,0.44746751313229066,1.9134349981910361
OpenBMI,6,0.3009078034957942,0.4151909881104664
OpenBMI,7,0.445385309143939,1.0515197585434333
OpenBMI,8,0.21409717419641647,0.27278858785464677
OpenBMI,9,0.13871614657469636,0.4384640678673009
OpenBMI,10,0.11362154547925964,0.2639738260727301
OpenBMI,11,0.43313237560287315,1.3742612227444546
OpenBMI,14,0.22461650893301224,0.4545233080880688
OpenBMI,15,0.14337513370072613,0.440031031230066
OpenBMI,16,0.33665851675662617,0.5795381519583787
OpenBMI,19,0.03388165019700666,0.14124060676563926
OpenBMI,20,0.16833663302920582,0.5110561429542462
OpenBMI,21,0.1368333601010991,0.3531215588508369
OpenBMI,22,0.3868216407290179,0.3774307235515038
OpenBMI,23,0.08926427091321036,0.3062100870010144
OpenBMI,26,0.3628992742024082,0.5968319026481945
OpenBMI,27,0.19697705452665562,0.5270210290442853
OpenBMI,28,0.40339284350260113,0.8504871585792289
OpenBMI,30,0.10031289548029548,0.12849043757841858
OpenBMI,31,0.3263052894227837,1.3357666618366892
OpenBMI,32,0.48909414898783043,0.7937943069372495
OpenBMI,33,0.17101200813195058,0.7175626742500921
OpenBMI,34,0.8097090540464463,0.834097356386118
OpenBMI,35,0.26898448226367944,0.8973304478844639
OpenBMI,38,0.5290748130080729,0.8464316122420892
OpenBMI,40,0.9264426122434577,1.5329016994151814
OpenBMI,41,1.1625859229960875,6.529729801864816
OpenBMI,43,0.5647496859702095,0.8248985824763881
OpenBMI,44,0.07168593443311276,0.28580156638796705
OpenBMI,45,0.17417572081268082,0.5761996755718455
OpenBMI,46,0.20753213625694505,0.31629446095886793
OpenBMI,47,0.3842841690070677,0.3732867987732429
OpenBMI,48,0.15425613346763883,0.32711852504310907
OpenBMI,49,0.21388637420799897,0.5988658736781222
OpenBMI,50,0.5262610368998627,0.9820045881101193
OpenBMI,52,0.17226426607998863,0.46968005335176505
OpenBMI,53,0.2839337326804027,0.9841922909681609
WBCIC,sub-1,0.37113960387410017,0.2800982240443394
WBCIC,sub-5,0.3779697799663493,0.18902554893042442
WBCIC,sub-6,0.572745219375488,0.23054551853160724
WBCIC,sub-7,0.31578363767839107,0.23836200439574057
WBCIC,sub-9,0.7185456217546929,0.312019721904795
WBCIC,sub-11,1.6016793513129803,0.31916480470330894
WBCIC,sub-12,0.3547916790276229,0.1854627857171082
WBCIC,sub-13,0.9920942298376941,0.5462586198480452
WBCIC,sub-14,1.0148461898824295,0.7138322311687576
WBCIC,sub-16,0.546912167059772,0.27466962702335657
WBCIC,sub-18,0.9997855990121854,0.7773607546526194
WBCIC,sub-22,0.48285066227117807,0.2953747742866533
WBCIC,sub-23,0.9172100557556156,0.369295508559369
WBCIC,sub-24,0.4473671313719112,0.12464309710522836
WBCIC,sub-26,4.298886555433248,1.2852846193331116
WBCIC,sub-27,0.9819196772040986,0.6919877063005536
WBCIC,sub-28,0.6291796266910094,0.5804428204482879
WBCIC,sub-29,2.0616629563183793,0.5722338004924746
WBCIC,sub-30,0.9999861428293524,0.915467253206566
WBCIC,sub-32,0.8590796059342332,0.512777858216756
WBCIC,sub-34,0.9978097973040447,0.35716198769076757
WBCIC,sub-35,0.5430412221281911,0.3240075921929479
WBCIC,sub-36,0.4231138959995745,0.2657529299156141
WBCIC,sub-37,0.9995866581821234,0.21841256496288275
WBCIC,sub-41,0.20485469626151037,0.06164734109113888
WBCIC,sub-44,0.3841472092851187,0.06272907631705674
WBCIC,sub-45,0.8063440381840042,0.3304219704166752
WBCIC,sub-47,1.1961070699022025,0.29975033694223385
WBCIC,sub-48,0.27273726680813937,0.15639403485115488
WBCIC,sub-49,0.475274488498369,0.4291679368571615
WBCIC,sub-50,0.18806025457295977,0.18072297921846717
