fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_subject_split,probe
0,1,mi,0,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.003800335351994246,"[-0.006172872621380006, -0.0013611399877580881]",0.002,"{'mean': -0.003800335351994246, 'ci95': [-0.006172872621380006, -0.0013611399877580881], 'sign_probability': 0.002, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,mi,1,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.03001852548559022,"[-0.0354129294059724, -0.024872327527695838]",0.0,"{'mean': -0.03001852548559022, 'ci95': [-0.0354129294059724, -0.024872327527695838], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,mi,2,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.0007864218300729957,"[-0.004246058485362716, 0.0059516834409696]",0.6197,"{'mean': 0.0007864218300729957, 'ci95': [-0.004246058485362716, 0.0059516834409696], 'sign_probability': 0.6197, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,mi,3,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.005472178596021445,"[-0.003516860591879879, 0.014734933713269864]",0.8748,"{'mean': 0.005472178596021445, 'ci95': [-0.003516860591879879, 0.014734933713269864], 'sign_probability': 0.8748, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,mi,4,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.00246839721175334,"[-0.004653531823998406, 0.009460041921533923]",0.7508,"{'mean': 0.00246839721175334, 'ci95': [-0.004653531823998406, 0.009460041921533923], 'sign_probability': 0.7508, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,mi,5,3,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.04045476926376397,"[0.028873335361203657, 0.05333562774091512]",1.0,"{'mean': 0.04045476926376397, 'ci95': [0.028873335361203657, 0.05333562774091512], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,erp,0,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0017636736712519831,"[-0.0030833412273505306, -0.0004923515992584937]",0.0035,"{'mean': -0.0017636736712519831, 'ci95': [-0.0030833412273505306, -0.0004923515992584937], 'sign_probability': 0.0035, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,erp,1,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.0013419497708911476,"[-0.0023848526452444245, 0.005101222054141573]",0.7572,"{'mean': 0.0013419497708911476, 'ci95': [-0.0023848526452444245, 0.005101222054141573], 'sign_probability': 0.7572, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,erp,2,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-5.9930271170095524e-05,"[-0.002297573796533056, 0.002225888385504749]",0.4882,"{'mean': -5.9930271170095524e-05, 'ci95': [-0.002297573796533056, 0.002225888385504749], 'sign_probability': 0.4882, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
0,1,erp,3,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.00397795409685469,"[-0.006430076253316841, -0.0014685840455809774]",0.0006,"{'mean': -0.00397795409685469, 'ci95': [-0.006430076253316841, -0.0014685840455809774], 'sign_probability': 0.0006, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
