evidence_scope,family,comparison,metric,value,ci_low,ci_high,status,source_artifact,notes
development,P3,MI epoch0 to best,BA_delta,0.19022222222222224,0.1727773148148148,0.2074453703703703,supported_consequence,experiments/persist_eeg_p3closure_p4/outputs/persist_eeg_p3closure_p4/p3_closure/P3_FINAL_REPORT_V2.json,development only
development,P3,SSVEP epoch0 to best,BA_delta,0.6495,0.6344074074074074,0.6639814814814814,supported_consequence,experiments/persist_eeg_p3closure_p4/outputs/persist_eeg_p3closure_p4/p3_closure/P3_FINAL_REPORT_V2.json,development only
development,P3,Long epoch0 to best,AUROC_delta,0.1557005328896605,0.14057923116801696,0.17081971345124422,compression_hypothesis_failed,experiments/persist_eeg_p3closure_p4/outputs/persist_eeg_p3closure_p4/p3_closure/P3_FINAL_REPORT_V2.json,long persistence increased
development,P3,UL/PCA normalized overlap,overlap,0.7451122322246497,,,bounded_shared_geometry,experiments/persist_eeg_p3closure_p4/outputs/persist_eeg_p3closure_p4/p3_closure/P3_FINAL_REPORT_V2.json,not an intervention result
development,PUD-Aux,PUD-Aux minus historical Vanilla,subject_balanced_BA_delta,-0.009333333333333332,-0.01725000000000001,-0.0013333333333333528,constructive_not_supported,experiments/persist_eeg_final_failure_localization_and_aux_v1/results/pud_aux_statistics.json,unpaired historical comparator; do not mix with matched result
development,PUD-Aux,PUD-Aux minus matched task-only,subject_balanced_BA_delta,0.00424999999999999,-2.7755575615628915e-18,0.008166666666666659,CI_contains_0_and_0.5pp_gate,experiments/persist_eeg_final_closure_repair_v1/results/matched_aux_statistics.json,exact matched development comparison
development,PUD-Aux,PUD-Aux BA,subject_balanced_BA,0.7768333333333334,,,development,experiments/persist_eeg_final_failure_localization_and_aux_v1/results/pud_aux_statistics.json,40 development subjects
development,PUD-Aux,historical Vanilla BA,subject_balanced_BA,0.7861666666666667,,,development,experiments/persist_eeg_final_failure_localization_and_aux_v1/results/pud_aux_statistics.json,40 development subjects
development,TSEG,OpenBMI TSEG minus ERM,BA_delta_pp,0.001429,,,mixed_no_generalization_claim,experiments/persist_eeg_tseg_session_fairness_v1/GO_GATE.json,session-fair; 0.1429 pp
development,TSEG,WBCIC TSEG minus ERM,BA_delta_pp,-0.056667,,,mechanism_reduced_BA_decreased,experiments/persist_eeg_tseg_session_fairness_v1/GO_GATE.json,session-fair; -5.6667 pp
development,V8,OpenBMI updated-screening oracle headroom,BA_delta_pp,2.055555555555555,,,headroom_context,experiments/persist_eeg_final_model_v8/outputs/FINAL_DECISION.json,not a mathematical ceiling
development,V8,WBCIC updated-screening oracle headroom,BA_delta_pp,2.083333333333348,,,headroom_context,experiments/persist_eeg_final_model_v8/outputs/FINAL_DECISION.json,development only; outer not opened
sealed,OpenBMI,sealed confirmation,subject_balanced_BA_delta,,,,SEALED_CONFIRMATION_NOT_RUN_RESOURCE_UNAVAILABLE,experiments/persist_eeg_pag_final_closure_v1/SEALED_CONFIRMATION_BLOCKED.json,resource unavailable; outcome not read
sealed,WBCIC,sealed confirmation,subject_balanced_BA_delta,,,,SEALED_CONFIRMATION_NOT_RUN_RESOURCE_UNAVAILABLE,experiments/persist_eeg_pag_final_closure_v1/SEALED_CONFIRMATION_BLOCKED.json,resource unavailable; outcome not read
