subject_id,frozen_role,present_in_cache,sessions_seen,tasks_seen,raw_eeg_seen,labels_embedded
sub-1,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-11,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-12,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-13,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-14,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-16,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-17,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-18,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-19,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-2,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-21,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-22,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-23,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-24,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-25,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-26,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-27,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-28,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-29,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-3,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-30,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-31,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-32,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-33,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-34,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-35,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-36,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-37,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-38,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-41,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-42,V8_INTERNAL_HOLDOUT,True,session-0;session-1;session-2,MI,False,True
sub-44,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-45,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-47,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-48,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-49,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-5,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-50,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-6,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-7,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
sub-9,V8_DEVELOPMENT,True,session-0;session-1;session-2,MI,False,True
