dataset,method,seed,operator_id,operator_family,evaluation,balanced_accuracy,macro_f1,operator_drop,rei
eegmmidb,B4,0,dense32_b,dense_subset,matched,0.2637855498008962,0.2485883750046662,0.0,0.0
eegmmidb,B4,0,sparse12_heldout,sparse_subset,unseen,0.2673935272551937,0.2546618248767686,-0.0036079774542975,-0.0049007153463529
eegmmidb,B4,0,sparse8_heldout,sparse_subset,unseen,0.2616739685258004,0.2524073835354221,0.0021115812750958,0.0028681605944093
eegmmidb,B4,0,sparse4_heldout,sparse_subset,unseen,0.2607491125539326,0.2547421310596318,0.0030364372469635,0.0041243923508189
eegmmidb,B4,0,bipolar_heldout_topology,bipolar,unseen,0.2627401508034816,0.2387634773806638,0.0010453989974145,0.0014199653336495
eegmmidb,B4,0,bipolar_heldout_topology_2,bipolar,unseen,0.2622704486694543,0.2346253829873044,0.0015151011314418,0.0020579616863429
eegmmidb,B4,0,bipolar_heldout_topology_3,bipolar,unseen,0.2596527945198646,0.2305010859009924,0.0041327552810315,0.0056135210058887
eegmmidb,B4,0,polarity_heldout,polarity,unseen,0.2484724289003982,0.2424478481132965,0.0153131209004979,0.0207998102948898
eegmmidb,B4,0,polarity_heldout_2,polarity,unseen,0.2617030651181737,0.2567663462238788,0.0020824846827224,0.0028286386964548
eegmmidb,B4,0,rereference_car8_heldout,rereference,unseen,0.2524545053994962,0.1547457581783083,0.0113310444013999,0.0153909562605509
eegmmidb,B4,1,dense32_b,dense_subset,matched,0.2862605890812959,0.2740930589285589,0.0,0.0
eegmmidb,B4,1,sparse12_heldout,sparse_subset,unseen,0.2914304300476352,0.2816172446408304,-0.0051698409663393,-0.0072433172208955
eegmmidb,B4,1,sparse8_heldout,sparse_subset,unseen,0.2796452709724081,0.267133047573016,0.0066153181088878,0.0092685341564266
eegmmidb,B4,1,sparse4_heldout,sparse_subset,unseen,0.2877715335566843,0.2786580015768339,-0.0015109444753883,-0.0021169413546093
eegmmidb,B4,1,bipolar_heldout_topology,bipolar,unseen,0.2633667667035224,0.2479751665560928,0.0228938223777735,0.0320758837574981
eegmmidb,B4,1,bipolar_heldout_topology_2,bipolar,unseen,0.253649544014831,0.235341332224673,0.0326110450664649,0.045690408246462
eegmmidb,B4,1,bipolar_heldout_topology_3,bipolar,unseen,0.2613570235017333,0.2436550421132081,0.0249035655795626,0.0348916778288976
eegmmidb,B4,1,polarity_heldout,polarity,unseen,0.2349071818703289,0.2236782679055561,0.0513534072109669,0.0719497990798439
eegmmidb,B4,1,polarity_heldout_2,polarity,unseen,0.254283434062965,0.2398948970692174,0.0319771550183309,0.0448022829188749
eegmmidb,B4,1,rereference_car8_heldout,rereference,unseen,0.2542096534180182,0.1756078876435158,0.0320509356632776,0.0449056548832334
eegmmidb,B4,2,dense32_b,dense_subset,matched,0.2632981818786423,0.2602691212487091,0.0,0.0
eegmmidb,B4,2,sparse12_heldout,sparse_subset,unseen,0.2730954201963604,0.2699526256080076,-0.0097972383177181,-0.0132987839540043
eegmmidb,B4,2,sparse8_heldout,sparse_subset,unseen,0.2802313594759288,0.2749718160660165,-0.0169331775972865,-0.0229851171542746
eegmmidb,B4,2,sparse4_heldout,sparse_subset,unseen,0.2726766370989866,0.2688002074584021,-0.0093784552203443,-0.0127303272364116
eegmmidb,B4,2,bipolar_heldout_topology,bipolar,unseen,0.2617321617105471,0.2556004382808893,0.0015660201680952,0.0021257178000302
eegmmidb,B4,2,bipolar_heldout_topology_2,bipolar,unseen,0.2616375977853336,0.2570499904449862,0.0016605840933086,0.0022540789943253
eegmmidb,B4,2,bipolar_heldout_topology_3,bipolar,unseen,0.2651946562029778,0.2584387823802991,-0.0018964743243355,-0.0025742766987757
eegmmidb,B4,2,polarity_heldout,polarity,unseen,0.23579566710173,0.2327105962987606,0.0275025147769122,0.03733194910126
eegmmidb,B4,2,polarity_heldout_2,polarity,unseen,0.2591841315498507,0.2571590202822967,0.0041140503287915,0.0055844172331251
eegmmidb,B4,2,rereference_car8_heldout,rereference,unseen,0.2626861142747882,0.2558196006044262,0.000612067603854,0.0008308213564816
eegmmidb,B5,0,dense32_b,dense_subset,matched,0.2578737457290359,0.2299716536238193,0.0,0.0
eegmmidb,B5,0,sparse12_heldout,sparse_subset,unseen,0.2614526265909601,0.2347968519350117,-0.0035788808619242,-0.0048224690089154
eegmmidb,B5,0,sparse8_heldout,sparse_subset,unseen,0.251764500494642,0.2265743743129509,0.0061092452343938,0.0082320834214326
eegmmidb,B5,0,sparse4_heldout,sparse_subset,unseen,0.249711112404293,0.2264730592356003,0.0081626333247429,0.0109989820165594
eegmmidb,B5,0,bipolar_heldout_topology,bipolar,unseen,0.2862096700446425,0.2624825158742091,-0.0283359243156065,-0.03818208041089
eegmmidb,B5,0,bipolar_heldout_topology_2,bipolar,unseen,0.2764997215040444,0.2455824401533703,-0.0186259757750085,-0.0250981226817072
eegmmidb,B5,0,bipolar_heldout_topology_3,bipolar,unseen,0.2740202761682282,0.2479620449721616,-0.0161465304391922,-0.0217571206331381
eegmmidb,B5,0,polarity_heldout,polarity,unseen,0.2434636583561256,0.2232825829274028,0.0144100873729102,0.0194172989972793
eegmmidb,B5,0,polarity_heldout_2,polarity,unseen,0.2388726317452136,0.2150329527126079,0.0190011139838223,0.0256036137712015
eegmmidb,B5,0,rereference_car8_heldout,rereference,unseen,0.260206668938972,0.2094484428044538,-0.002332923209936,-0.0031435664706779
eegmmidb,B5,1,dense32_b,dense_subset,matched,0.2673093549701136,0.2351921039530543,0.0,0.0
eegmmidb,B5,1,sparse12_heldout,sparse_subset,unseen,0.2677645088079542,0.2392342941822594,-0.0004551538378405,-0.0006212087474134
eegmmidb,B5,1,sparse8_heldout,sparse_subset,unseen,0.2697378812692765,0.2452255610565873,-0.0024285262991628,-0.0033145316043495
eegmmidb,B5,1,sparse4_heldout,sparse_subset,unseen,0.268711187224102,0.2465260935398938,-0.0014018322539883,-0.0019132662106408
