operator_id,operator_family,source_operator_id,channel_definition,electrode_terms,signed_weights,reference_definition,is_legal,legality_residual,rank,condition_number,split,a_sha256,b_sha256,legality_reason,A_matrix,B_matrix
dense32_a,dense_subset,eegmmidb_car64,FP1|FP2|F7|F3|FZ|F4|F8|FC5|FC1|FC2|FC6|T7|C3|CZ|C4|T8|CP5|CP1|CP2|CP6|P7|P3|PZ|P4|P8|PO7|PO3|PO4|PO8|O1|OZ|O2,2048,True,CAR64-derived referential subset,True,0.0,32,19306.326303072816,train,10d56a57e9c5ede9c4c474dc18a498c85afa141293a6d69227903f7fb177b9e2,b76916f865d5d20f6571bede1858cc71308f7e7e209a1a23b7a0875ddfdd830d,linear transformation of audited source observation,operators/dense32_a.npz::A_matrix,operators/dense32_a.npz::B_matrix
dense32_b,dense_subset,eegmmidb_car64,AF7|AF3|AF4|AF8|F5|F1|F2|F6|FT7|FC3|FC4|FT8|C5|C1|C2|C6|TP7|CP3|CP4|TP8|P5|P1|P2|P6|T9|T10|POZ|O1|O2|IZ|C3|C4,2048,True,CAR64-derived referential subset,True,0.0,32,138.28003624469966,train,c0dc14a8c98387964a3edad5ec57fc0f8412d97e74b3e65635c5393f20affc06,0c55f976a455c343bd1845261ac67f1cf4f8d12705fbc359dc68b05986a0dba6,linear transformation of audited source observation,operators/dense32_b.npz::A_matrix,operators/dense32_b.npz::B_matrix
sparse16_a,sparse_subset,eegmmidb_car64,FP1|FP2|F7|F3|F4|F8|T7|C3|C4|T8|P7|P3|P4|P8|O1|O2,1024,True,CAR64-derived referential subset,True,0.0,16,2.6411997524158597,train,7494f794ab23c6042b9cc72433cdce119450a56c70302083bde6782f050c47b2,ec368cc19a7396c54e4adfd256949cbb826ff92af73753b6b12d9e9ed5f87dea,linear transformation of audited source observation,operators/sparse16_a.npz::A_matrix,operators/sparse16_a.npz::B_matrix
sparse16_b,sparse_subset,eegmmidb_car64,AF3|AF4|F5|F1|F2|F6|FC3|FC4|CP3|CP4|P5|P1|P2|P6|PO3|PO4,1024,True,CAR64-derived referential subset,True,0.0,16,6.238891454801248,validation,94be0a25d74725be9123f99111c53522dcb2206ca0cbcbc18ccb8b7a4c19bb6b,6d3923713c5451a4364b46b4c0da543cbe3db42aa64659ed9cf02b0d92e46f87,linear transformation of audited source observation,operators/sparse16_b.npz::A_matrix,operators/sparse16_b.npz::B_matrix
sparse12_heldout,sparse_subset,eegmmidb_car64,FP1|FP2|F3|F4|FC3|FC4|C3|C4|P3|P4|O1|O2,768,True,CAR64-derived referential subset,True,0.0,12,2.556934098651254,test,0553425db65b76e41d97fedf574644bfcf9b80548774c2bc8a4bd32135866f15,0a721bd7c5bcc11ab2a05eb7a12caa3ffe1720bc09adb92655fd25d1aefce5ff,linear transformation of audited source observation,operators/sparse12_heldout.npz::A_matrix,operators/sparse12_heldout.npz::B_matrix
sparse8_heldout,sparse_subset,eegmmidb_car64,F3|F4|C3|C4|P3|P4|O1|O2,512,True,CAR64-derived referential subset,True,0.0,8,1.4275030465621146,test,1780856d2f54b2955f4cd34dde48ac8e91402ad71e85e0b140a2ee132331aa6e,a2d2df92e158284f024c4542fb1362866cdef4e61ba38ec572edc3893f5ec73a,linear transformation of audited source observation,operators/sparse8_heldout.npz::A_matrix,operators/sparse8_heldout.npz::B_matrix
sparse4_heldout,sparse_subset,eegmmidb_car64,C3|C4|O1|O2,256,True,CAR64-derived referential subset,True,0.0,4,1.1326273739243036,test,81047082e7ffb74422fa04df4cf2f89143ca4123baf7760c171e8eb586d57dea,48d0b22fe8333f2aff039844c92d990f039d80df84a96c01e503d9de35975d6e,linear transformation of audited source observation,operators/sparse4_heldout.npz::A_matrix,operators/sparse4_heldout.npz::B_matrix
bipolar_train,bipolar,eegmmidb_car64,F3-C3|C3-P3|P3-O1|F4-C4|C4-P4|P4-O2|F7-T7|F8-T8,16,True,reference cancels within explicit derivation,True,0.0,8,2.6836017666037604,train,df42717b8300fdaf554f193881463d3bc763dc4cfa93bf36562dbd031dd1c74a,15f0b7062264db973c7aa9f3e0d999af771310f290889fe22eaa24070a263c54,linear transformation of audited source observation,operators/bipolar_train.npz::A_matrix,operators/bipolar_train.npz::B_matrix
bipolar_validation,bipolar,eegmmidb_car64,FC3-CP3|CP3-PO3|FC4-CP4|CP4-PO4|C5-P5|C6-P6,12,True,reference cancels within explicit derivation,True,0.0,6,2.1496009919496233,validation,a9b66d842a0c84ea41bc320013992904218b813a7343a4a92f270b71a478899b,c686cbfc2be7cb92242cac6438c86b54734abb18251d4c0101375c65280c36af,linear transformation of audited source observation,operators/bipolar_validation.npz::A_matrix,operators/bipolar_validation.npz::B_matrix
bipolar_heldout_topology,bipolar,eegmmidb_car64,F3-P3|C3-O1|F4-P4|C4-O2|FP1-O1|FP2-O2,12,True,reference cancels within explicit derivation,True,0.0,6,2.0338867707560127,test,a9f3a7b9b94959e435dbd9f86b1cf688c33e3475c31edc82f002da7265ff8faf,bca85552cce3879193b7b3d53edfd5732bf7b897bc7eea1889b46eedc2ae193f,linear transformation of audited source observation,operators/bipolar_heldout_topology.npz::A_matrix,operators/bipolar_heldout_topology.npz::B_matrix
