dataset,method,operator_family,balanced_accuracy,operator_drop
eegmmidb,B2,bipolar,0.2562641961350488,0.010155288051645978
eegmmidb,B2,polarity,0.24524166798294103,0.021177816203753683
eegmmidb,B2,rereference,0.25577740552613565,0.010642078660559167
eegmmidb,B2,sparse_subset,0.26270100895897935,0.0037184752277154556
eegmmidb,B3,bipolar,0.2561735579405524,0.010258049826297978
eegmmidb,B3,polarity,0.24707302136244094,0.019358586404409385
eegmmidb,B3,rereference,0.25392180498632455,0.012509802780525768
eegmmidb,B3,sparse_subset,0.26315731742350135,0.0032742903433490176
eegmmidb,B4,bipolar,0.26128901599019394,0.009825757596750789
eegmmidb,B4,polarity,0.24905765143390776,0.022057122153036967
eegmmidb,B4,rereference,0.25645009103076755,0.014664682556177167
eegmmidb,B4,sparse_subset,0.27496302885365886,-0.0038482552667140992
eegmmidb,B5,bipolar,0.25994479960761163,-0.0030146148026835113
eegmmidb,B5,polarity,0.24811166579376887,0.00881851901115925
eegmmidb,B5,rereference,0.2535123743650708,0.003417810439857366
eegmmidb,B5,sparse_subset,0.2599682385292458,-0.003038053724317611
eegmmidb,B6,bipolar,0.25440894198324215,0.016150225244572977
eegmmidb,B6,polarity,0.2417907774886592,0.02876838973915595
eegmmidb,B6,rereference,0.24828503298999352,0.022274134237821635
eegmmidb,B6,sparse_subset,0.2679599871051292,0.002599180122686
