model,fold,seed,subject,session,BA,Macro_F1,trials,selected_epoch,checkpoint_sha256,parameter_count,frozen_reused
B0_FULL,0,0,sub-03,S1,0.815,0.8115657864582007,200,12,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,45626,True
B0_FULL,0,0,sub-08,S1,0.52,0.423007573025604,200,12,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,45626,True
B0_FULL,0,0,sub-10,S1,0.535,0.4873067063590507,200,12,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,45626,True
B0_FULL,0,0,sub-03,S2,0.785,0.7803825429658571,200,12,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,45626,True
B0_FULL,0,0,sub-08,S2,0.515,0.4652553819013754,200,12,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,45626,True
B0_FULL,0,0,sub-10,S2,0.6,0.5604395604395604,200,12,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,45626,True
B0_FULL,1,0,sub-05,S1,0.59,0.5289522058823529,200,52,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,45626,True
B0_FULL,1,0,sub-06,S1,0.72,0.7197477729956961,200,52,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,45626,True
B0_FULL,1,0,sub-12,S1,0.52,0.5182657567242072,200,52,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,45626,True
B0_FULL,1,0,sub-05,S2,0.555,0.526583153807282,200,52,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,45626,True
B0_FULL,1,0,sub-06,S2,0.72,0.7013333333333334,200,52,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767,45626,True
