row_type,model,future_S2_BA,future_S2_Macro_F1,WS_BA,parameter_count,frozen_reused,paired_metric,paired_delta_mean,CI95_low,CI95_high,improved_subjects,tied_subjects,harmed_subjects,fold,selected_epoch,inner_val_S2_BA,outer_S2_BA,bootstrap_draws
model,B0_FULL,0.6641666666666666,0.6395164012001896,0.6333333333333333,45626.0,True,,,,,,,,,,,,
fold,B0_FULL,0.6333333333333333,,,45626.0,True,,,,,,,,0.0,12.0,0.85,0.6333333333333333,
fold,B0_FULL,0.6333333333333333,,,45626.0,True,,,,,,,,1.0,52.0,0.56,0.6333333333333333,
fold,B0_FULL,0.8175000000000001,,,45626.0,True,,,,,,,,2.0,11.0,0.69,0.8175000000000001,
fold,B0_FULL,0.51,,,45626.0,True,,,,,,,,3.0,10.0,0.875,0.51,
fold,B0_FULL,0.7575,,,45626.0,True,,,,,,,,4.0,17.0,0.6799999999999999,0.7575,
model,B1_SAME_SCALE_63,0.6325,0.6094714154481947,0.6095833333333334,45498.0,False,,,,,,,,,,,,
fold,B1_SAME_SCALE_63,0.6433333333333334,,,45498.0,False,,,,,,,,0.0,10.0,0.81,0.6433333333333334,
fold,B1_SAME_SCALE_63,0.5733333333333334,,,45498.0,False,,,,,,,,1.0,31.0,0.53,0.5733333333333334,
fold,B1_SAME_SCALE_63,0.775,,,45498.0,False,,,,,,,,2.0,23.0,0.665,0.775,
fold,B1_SAME_SCALE_63,0.5549999999999999,,,45498.0,False,,,,,,,,3.0,10.0,0.8,0.5549999999999999,
fold,B1_SAME_SCALE_63,0.64,,,45498.0,False,,,,,,,,4.0,13.0,0.655,0.64,
model,B2_SCALE_COLLAPSE,0.6716666666666667,0.6463335716611501,0.6350000000000001,45626.0,False,,,,,,,,,,,,
fold,B2_SCALE_COLLAPSE,0.6366666666666667,,,45626.0,False,,,,,,,,0.0,41.0,0.865,0.6366666666666667,
fold,B2_SCALE_COLLAPSE,0.6633333333333334,,,45626.0,False,,,,,,,,1.0,43.0,0.54,0.6633333333333334,
fold,B2_SCALE_COLLAPSE,0.815,,,45626.0,False,,,,,,,,2.0,17.0,0.6950000000000001,0.815,
fold,B2_SCALE_COLLAPSE,0.54,,,45626.0,False,,,,,,,,3.0,14.0,0.79,0.54,
fold,B2_SCALE_COLLAPSE,0.725,,,45626.0,False,,,,,,,,4.0,31.0,0.665,0.725,
model,B3_SINGLE_SPATIAL_BASIS,0.6687499999999998,0.6415206494861221,0.6425,45698.0,False,,,,,,,,,,,,
fold,B3_SINGLE_SPATIAL_BASIS,0.6483333333333333,,,45698.0,False,,,,,,,,0.0,46.0,0.9199999999999999,0.6483333333333333,
fold,B3_SINGLE_SPATIAL_BASIS,0.6266666666666666,,,45698.0,False,,,,,,,,1.0,31.0,0.54,0.6266666666666666,
fold,B3_SINGLE_SPATIAL_BASIS,0.7849999999999999,,,45698.0,False,,,,,,,,2.0,22.0,0.655,0.7849999999999999,
fold,B3_SINGLE_SPATIAL_BASIS,0.5825,,,45698.0,False,,,,,,,,3.0,11.0,0.835,0.5825,
fold,B3_SINGLE_SPATIAL_BASIS,0.7324999999999999,,,45698.0,False,,,,,,,,4.0,10.0,0.635,0.7324999999999999,
model,B4_ONE_STAGE_BACKEND,0.6429166666666667,0.6101837913170834,0.6204166666666666,39418.0,False,,,,,,,,,,,,
fold,B4_ONE_STAGE_BACKEND,0.6150000000000001,,,39418.0,False,,,,,,,,0.0,19.0,0.81,0.6150000000000001,
fold,B4_ONE_STAGE_BACKEND,0.6116666666666667,,,39418.0,False,,,,,,,,1.0,43.0,0.55,0.6116666666666667,
fold,B4_ONE_STAGE_BACKEND,0.7625,,,39418.0,False,,,,,,,,2.0,19.0,0.6799999999999999,0.7625,
fold,B4_ONE_STAGE_BACKEND,0.5225,,,39418.0,False,,,,,,,,3.0,14.0,0.81,0.5225,
fold,B4_ONE_STAGE_BACKEND,0.7325,,,39418.0,False,,,,,,,,4.0,21.0,0.65,0.7325,
paired_contrast,B1_SAME_SCALE_63,,,,,,future_S2_BA,-0.03166666666666667,-0.06874999999999998,0.005416666666666653,3.0,1.0,8.0,,,,,20000.0
paired_contrast,B1_SAME_SCALE_63,,,,,,WS_BA,-0.02375000000000002,-0.05709375000000004,0.010416666666666649,5.0,0.0,7.0,,,,,20000.0
paired_contrast,B2_SCALE_COLLAPSE,,,,,,future_S2_BA,0.007499999999999997,-0.02125000000000001,0.03666666666666665,7.0,1.0,4.0,,,,,20000.0
paired_contrast,B2_SCALE_COLLAPSE,,,,,,WS_BA,0.0016666666666666403,-0.014177083333333399,0.017500000000000005,8.0,0.0,4.0,,,,,20000.0
paired_contrast,B3_SINGLE_SPATIAL_BASIS,,,,,,future_S2_BA,0.004583333333333319,-0.022083333333333354,0.03541666666666663,6.0,0.0,6.0,,,,,20000.0
paired_contrast,B3_SINGLE_SPATIAL_BASIS,,,,,,WS_BA,0.009166666666666656,-0.010000000000000037,0.03500000000000001,7.0,0.0,5.0,,,,,20000.0
paired_contrast,B4_ONE_STAGE_BACKEND,,,,,,future_S2_BA,-0.02124999999999999,-0.04624999999999999,0.00250000000000003,4.0,0.0,8.0,,,,,20000.0
paired_contrast,B4_ONE_STAGE_BACKEND,,,,,,WS_BA,-0.012916666666666679,-0.04375000000000001,0.01416666666666666,6.0,1.0,5.0,,,,,20000.0
