task,fold,arm,running_state_byte_identical,buffer_count,all_affine_trainable
OpenBMI_MI,0,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_MI,0,TOP3_DISTILL,True,9,True
OpenBMI_MI,0,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_MI,0,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_MI,0,CE_UPPER_FULL,True,9,True
OpenBMI_MI,1,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_MI,1,TOP3_DISTILL,True,9,True
OpenBMI_MI,1,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_MI,1,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_MI,1,CE_UPPER_FULL,True,9,True
OpenBMI_MI,2,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_MI,2,TOP3_DISTILL,True,9,True
OpenBMI_MI,2,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_MI,2,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_MI,2,CE_UPPER_FULL,True,9,True
OpenBMI_MI,3,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_MI,3,TOP3_DISTILL,True,9,True
OpenBMI_MI,3,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_MI,3,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_MI,3,CE_UPPER_FULL,True,9,True
OpenBMI_MI,4,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_MI,4,TOP3_DISTILL,True,9,True
OpenBMI_MI,4,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_MI,4,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_MI,4,CE_UPPER_FULL,True,9,True
OpenBMI_SSVEP,0,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_SSVEP,0,TOP3_DISTILL,True,9,True
OpenBMI_SSVEP,0,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_SSVEP,0,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_SSVEP,0,CE_UPPER_FULL,True,9,True
OpenBMI_SSVEP,1,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_SSVEP,1,TOP3_DISTILL,True,9,True
OpenBMI_SSVEP,1,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_SSVEP,1,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_SSVEP,1,CE_UPPER_FULL,True,9,True
OpenBMI_SSVEP,2,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_SSVEP,2,TOP3_DISTILL,True,9,True
OpenBMI_SSVEP,2,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_SSVEP,2,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_SSVEP,2,CE_UPPER_FULL,True,9,True
OpenBMI_SSVEP,3,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_SSVEP,3,TOP3_DISTILL,True,9,True
OpenBMI_SSVEP,3,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_SSVEP,3,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_SSVEP,3,CE_UPPER_FULL,True,9,True
OpenBMI_SSVEP,4,CE_ONLY_CONTINUATION,True,9,True
OpenBMI_SSVEP,4,TOP3_DISTILL,True,9,True
OpenBMI_SSVEP,4,MARGIN_UPPER_DISTILL,True,9,True
OpenBMI_SSVEP,4,CE_UPPER_LOGIT_ONLY,True,9,True
OpenBMI_SSVEP,4,CE_UPPER_FULL,True,9,True
