task,fold,subject,session,arm,label,trials,mean_P_distance,cosine_similarity,standardized_P_MSE,native_to_oracle_movement_recovery,movement_direction_agreement
OpenBMI_MI,0,8,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.070223331451416,0.8481839895248413,0.36646947264671326,-0.0002558955457061529,0.011612503789365292
OpenBMI_MI,0,9,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6851856708526611,0.8053250908851624,0.11333487182855606,0.007474719081073999,0.01931186392903328
OpenBMI_MI,0,11,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8929852843284607,0.8258464336395264,0.24003057181835175,-0.05631285160779953,-0.060614828020334244
OpenBMI_MI,0,14,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8518474102020264,0.815997838973999,0.20668230950832367,-0.019679436460137367,0.008322076871991158
OpenBMI_MI,0,19,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6194382309913635,0.8192669749259949,0.09044701606035233,-0.00949220359325409,-0.046806205064058304
OpenBMI_MI,0,26,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.789688229560852,0.8654458522796631,0.8759369850158691,0.009000848047435284,0.023825569078326225
OpenBMI_MI,0,8,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0294442176818848,0.8632798790931702,0.3418802320957184,0.006655957084149122,0.03341462090611458
OpenBMI_MI,0,9,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.684415340423584,0.8055347204208374,0.1126461774110794,-0.005211871583014727,-0.008850043639540672
OpenBMI_MI,0,11,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8639147877693176,0.8400075435638428,0.22359299659729004,-0.03311673551797867,-0.00975162722170353
OpenBMI_MI,0,14,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8333825469017029,0.829018771648407,0.19376300275325775,-0.00500895269215107,0.00394888361915946
