task,fold,role,subject,session,is_future_session,arm,trials,BA,macro_F1,NLL
OpenBMI_MI,0,discovery,8,1,False,ORIGINAL,100,0.87,0.8696741854636592,0.2671128511428833
OpenBMI_MI,0,discovery,8,2,True,ORIGINAL,100,0.71,0.7092731829573935,0.5503975749015808
OpenBMI_MI,0,discovery,9,1,False,ORIGINAL,100,0.89,0.8899009108197378,0.34948405623435974
OpenBMI_MI,0,discovery,9,2,True,ORIGINAL,100,0.63,0.6269785260610949,0.7985504269599915
OpenBMI_MI,0,discovery,11,1,False,ORIGINAL,100,0.78,0.7742200328407225,0.5054929852485657
OpenBMI_MI,0,discovery,11,2,True,ORIGINAL,100,0.69,0.6756982948007113,0.6068190932273865
OpenBMI_MI,0,discovery,14,1,False,ORIGINAL,100,0.8600000000000001,0.8594941790445605,0.3644213080406189
OpenBMI_MI,0,discovery,14,2,True,ORIGINAL,100,0.7,0.6995192307692308,0.6436595320701599
OpenBMI_MI,0,discovery,19,1,False,ORIGINAL,100,0.73,0.7198879551820728,0.4633541405200958
OpenBMI_MI,0,discovery,19,2,True,ORIGINAL,100,0.73,0.7277951406391774,0.5241981744766235
OpenBMI_MI,0,discovery,26,1,False,ORIGINAL,100,0.87,0.8698828946051447,0.28471872210502625
OpenBMI_MI,0,discovery,26,2,True,ORIGINAL,100,0.8400000000000001,0.8397435897435898,0.35955628752708435
OpenBMI_MI,0,discovery,8,1,False,CE_ONLY_CONTINUATION,100,0.86,0.8590982286634461,0.3324628174304962
OpenBMI_MI,0,discovery,8,2,True,CE_ONLY_CONTINUATION,100,0.79,0.7898108297467721,0.4934358298778534
OpenBMI_MI,0,discovery,9,1,False,CE_ONLY_CONTINUATION,100,0.8300000000000001,0.8295739348370927,0.38043007254600525
OpenBMI_MI,0,discovery,9,2,True,CE_ONLY_CONTINUATION,100,0.5800000000000001,0.5793269230769231,0.811811625957489
OpenBMI_MI,0,discovery,11,1,False,CE_ONLY_CONTINUATION,100,0.6799999999999999,0.6666666666666666,0.605842649936676
OpenBMI_MI,0,discovery,11,2,True,CE_ONLY_CONTINUATION,100,0.7,0.6899545266639107,0.5786142945289612
OpenBMI_MI,0,discovery,14,1,False,CE_ONLY_CONTINUATION,100,0.8200000000000001,0.8193496587715776,0.4014362096786499
