task,arm,comparator,metric,biological_subjects,delta,ci95_lower,ci95_upper,bootstrap_replicates
OpenBMI_MI,TOP3_DISTILL,CE_ONLY_CONTINUATION,BA,20,-8.333333333333526e-05,-0.006333333333333346,0.006666666666666665,20000
OpenBMI_MI,TOP3_DISTILL,CE_ONLY_CONTINUATION,macro_F1,20,0.00037346334080851085,-0.006091075254148777,0.007096778814837915,20000
OpenBMI_MI,TOP3_DISTILL,CE_ONLY_CONTINUATION,NLL,20,0.005571237206459046,0.001123569992681348,0.010311971716582774,20000
OpenBMI_MI,TOP3_DISTILL,CE_ONLY_CONTINUATION,worst_session_BA,20,-0.001749999999999996,-0.00716666666666666,0.004166666666666674,20000
OpenBMI_MI,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,BA,20,-0.0012500000000000011,-0.008333333333333326,0.0058333333333333345,20000
OpenBMI_MI,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,macro_F1,20,-0.0008401406488107221,-0.008204468530659757,0.006297002309700102,20000
OpenBMI_MI,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,NLL,20,0.02103134766221047,0.011788465318580472,0.030362561202297605,20000
OpenBMI_MI,MARGIN_UPPER_DISTILL,CE_ONLY_CONTINUATION,worst_session_BA,20,-0.0024166666666666616,-0.009083333333333355,0.004250000000000043,20000
OpenBMI_MI,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,BA,20,-0.0016666666666666718,-0.008500000000000002,0.0050000000000000044,20000
OpenBMI_MI,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,macro_F1,20,-0.0012862984816173928,-0.008149568141664185,0.005620193840032493,20000
OpenBMI_MI,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,NLL,20,0.021473353107770286,0.012386110418786607,0.03107830617576838,20000
OpenBMI_MI,CE_UPPER_LOGIT_ONLY,CE_ONLY_CONTINUATION,worst_session_BA,20,-0.002333333333333332,-0.008833333333333342,0.004333333333333333,20000
OpenBMI_MI,CE_UPPER_FULL,CE_ONLY_CONTINUATION,BA,20,-0.0012500000000000011,-0.008333333333333349,0.005833333333333324,20000
OpenBMI_MI,CE_UPPER_FULL,CE_ONLY_CONTINUATION,macro_F1,20,-0.0008401406488107221,-0.008085129104702752,0.006270496668252361,20000
OpenBMI_MI,CE_UPPER_FULL,CE_ONLY_CONTINUATION,NLL,20,0.021031398326158524,0.011871975480268393,0.030545558345814534,20000
OpenBMI_MI,CE_UPPER_FULL,CE_ONLY_CONTINUATION,worst_session_BA,20,-0.0024166666666666616,-0.009083333333333332,0.004416666666666691,20000
