family,fold,seed,protected_assignment_exists,protected_rank,q_variance_train,measurement_valid,outer_test_used
A_SUBJECT_GRL_EEGNET,0,0,True,8,0.32826335652324073,True,False
B_EEG_DG,0,0,True,4,0.03672399467321056,True,False
C_SCLDGN,0,0,True,4,0.13654286060051235,True,False
A_SUBJECT_GRL_EEGNET,0,1,True,4,0.8354689268253747,True,False
B_EEG_DG,0,1,True,4,0.025651488826729407,True,False
C_SCLDGN,0,1,True,4,0.3877937416793628,True,False
A_SUBJECT_GRL_EEGNET,1,0,True,4,0.2038601384180077,True,False
B_EEG_DG,1,0,True,4,0.0702334369823829,True,False
C_SCLDGN,1,0,True,4,0.05110201973974021,True,False
A_SUBJECT_GRL_EEGNET,1,1,True,8,0.8209118542774869,True,False
B_EEG_DG,1,1,True,4,0.05135382756419686,True,False
C_SCLDGN,1,1,True,4,0.05005165305971322,True,False
A_SUBJECT_GRL_EEGNET,2,0,True,4,0.4321186053952249,True,False
B_EEG_DG,2,0,False,0,0.0,False,False
C_SCLDGN,2,0,True,4,0.17910126432180395,True,False
A_SUBJECT_GRL_EEGNET,2,1,True,4,1.2603744009028444,True,False
B_EEG_DG,2,1,False,0,0.0,False,False
C_SCLDGN,2,1,False,0,0.0,False,False
