family,fold,seed,subject_id,control_id,rank,dimensions,role,FR,ridge,outer_test_used
A_SUBJECT_GRL_EEGNET,0,0,1,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.15929928884459377,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,10,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,-0.09680473975510129,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,17,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.36566661825405344,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,28,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.30928812560384655,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,3,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.2582794091283772,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,45,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.5647660189966144,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,48,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.28285033190586173,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,54,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,-0.325846903859057,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,6,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",T_replica,0.482765795412449,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,1,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9681937757625391,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,10,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9528856505853296,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,17,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9334771473124965,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,28,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9730848721158928,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,3,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9682174630740097,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,45,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9555544191408797,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,48,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9731843988550087,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,54,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.9570988797191534,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,6,0,8,"[9, 10, 11, 12, 13, 16, 17, 19]",I_invariant,0.964667853806403,0.001,False
A_SUBJECT_GRL_EEGNET,0,0,1,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,-0.06989673415610254,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,10,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,-0.01713671098791325,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,17,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,0.03299461782119584,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,28,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,0.23380528849637627,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,3,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,0.3810757613407878,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,45,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,0.685269954818591,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,48,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,0.12947832944610393,1.0,False
A_SUBJECT_GRL_EEGNET,0,0,54,1,8,"[8, 9, 12, 14, 15, 16, 17, 18]",T_replica,0.3157967216830797,1.0,False
