fold,candidate_lambda,mean_delta_ID_inner,mean_delta_BA_inner,min_inner_BA,all_inner_competent,inner_splits_observed,outer_test_used,outer_membership_enumerated,selected,selection_status
0,0.025,-0.0034090909090909,0.0002020202020202,0.6100000000000001,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
0,0.05,-0.009040404040404,0.0019696969696969,0.6118181818181818,True,3,False,False,True,NO_CANDIDATE_MEETS_FROZEN_GATES
0,0.1,-0.0046717171717171,0.0019444444444444,0.6136363636363638,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
0,0.2,0.005050505050505,-0.0013131313131313,0.6136363636363638,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
0,0.3,0.0098989898989898,-0.0015656565656566,0.6136363636363638,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
0,0.5,0.0168434343434343,-0.0050252525252525,0.6136363636363638,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
0,1.0,0.0359343434343433,-0.0049747474747475,0.6136363636363638,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
1,0.025,-0.006111111111111,0.0003535353535353,0.5909090909090909,True,3,False,False,True,NO_CANDIDATE_MEETS_FROZEN_GATES
1,0.05,-0.0055555555555555,0.0003787878787878,0.59,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
1,0.1,-0.0036111111111111,0.003080808080808,0.5909090909090908,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
1,0.2,0.0064141414141414,0.0018939393939393,0.5909090909090909,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
1,0.3,0.0079040404040404,0.0006818181818181,0.5900000000000001,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
1,0.5,0.0251262626262626,-0.0027020202020202,0.5927272727272728,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
1,1.0,0.0423484848484848,-0.0129040404040403,0.5845454545454546,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
2,0.025,-0.003888888888888886,0.0008585858585858178,0.5990909090909091,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
2,0.05,-0.002727272727272726,0.0023737373737373613,0.5990909090909091,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
2,0.1,-0.005075757575757585,0.004141414141414186,0.5990909090909091,True,3,False,False,True,NO_CANDIDATE_MEETS_FROZEN_GATES
2,0.2,0.004494949494949496,0.003914141414141333,0.5990909090909091,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
2,0.3,0.014368686868686864,0.005808080808080744,0.5990909090909091,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
2,0.5,0.017196969696969672,0.0024747474747474074,0.5990909090909091,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
2,1.0,0.026969696969697015,-0.006262626262626266,0.5990909090909091,True,3,False,False,False,NO_CANDIDATE_MEETS_FROZEN_GATES
