family,fold,seed,task_method,invariant_method,T_anchor_BA,T_replica_BA,invariant_BA,delta_BA_INV,T_anchor_ID,T_replica_ID,invariant_ID,delta_ID,replica_delta_ID,selected_lambda,protected_rank,protected_assignment_exists,outer_test_used,outer_membership_enumerated
A_SUBJECT_GRL_EEGNET,0,0,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.7144444444444445,0.7555555555555555,0.7166666666666666,0.0022222222222220145,0.37555555555555553,0.46888888888888886,0.3655555555555556,-0.009999999999999953,0.09333333333333332,0.05,8,True,False,False
B_EEG_DG,0,0,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.7522222222222221,0.7466666666666666,0.6444444444444444,-0.10777777777777775,0.33111111111111113,0.35111111111111115,0.4733333333333334,0.14222222222222225,0.020000000000000018,,4,True,False,False
C_SCLDGN,0,0,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.7377777777777779,0.7455555555555555,0.7366666666666666,-0.0011111111111112848,0.3233333333333333,0.37333333333333335,0.2411111111111111,-0.0822222222222222,0.050000000000000044,,4,True,False,False
A_SUBJECT_GRL_EEGNET,0,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0050,0.7477777777777778,0.7188888888888888,0.7488888888888889,0.0011111111111111738,0.4122222222222222,0.42111111111111105,0.3955555555555555,-0.01666666666666672,0.008888888888888835,0.05,4,True,False,False
B_EEG_DG,0,1,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.7355555555555555,0.7144444444444444,0.6488888888888888,-0.08666666666666667,0.3233333333333333,0.3433333333333333,0.43222222222222223,0.10888888888888892,0.020000000000000018,,4,True,False,False
C_SCLDGN,0,1,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.7366666666666666,0.7233333333333333,0.7477777777777778,0.011111111111111183,0.37,0.3455555555555556,0.1988888888888889,-0.1711111111111111,-0.02444444444444438,,4,True,False,False
A_SUBJECT_GRL_EEGNET,1,0,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0025,0.6633333333333333,0.7033333333333334,0.6655555555555556,0.0022222222222222365,0.3711111111111111,0.34555555555555556,0.3511111111111111,-0.020000000000000018,-0.025555555555555554,0.025,4,True,False,False
B_EEG_DG,1,0,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.6922222222222222,0.7088888888888889,0.6677777777777778,-0.02444444444444438,0.3422222222222222,0.34111111111111114,0.4177777777777778,0.0755555555555556,-0.0011111111111110628,,4,True,False,False
C_SCLDGN,1,0,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.6566666666666666,0.6111111111111112,0.6644444444444445,0.007777777777777883,0.2888888888888889,0.2922222222222222,0.23222222222222222,-0.0566666666666667,0.0033333333333332993,,4,True,False,False
A_SUBJECT_GRL_EEGNET,1,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0025,0.658888888888889,0.6544444444444444,0.66,0.0011111111111110628,0.3844444444444444,0.2911111111111111,0.32666666666666666,-0.05777777777777776,-0.09333333333333332,0.025,8,True,False,False
B_EEG_DG,1,1,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.6677777777777778,0.701111111111111,0.6244444444444446,-0.043333333333333224,0.2677777777777778,0.29222222222222227,0.41,0.1422222222222222,0.02444444444444449,,4,True,False,False
C_SCLDGN,1,1,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.6044444444444445,0.6777777777777777,0.59,-0.014444444444444482,0.31444444444444447,0.2822222222222222,0.21555555555555556,-0.09888888888888892,-0.03222222222222226,,4,True,False,False
A_SUBJECT_GRL_EEGNET,2,0,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.7533333333333334,0.7544444444444446,0.7466666666666667,-0.00666666666666671,0.2977777777777778,0.34555555555555556,0.26333333333333336,-0.034444444444444444,0.04777777777777775,0.1,4,True,False,False
B_EEG_DG,2,0,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.7988888888888889,0.8,0.7733333333333333,-0.025555555555555554,0.2533333333333333,0.24888888888888885,0.3188888888888889,0.06555555555555559,-0.004444444444444445,,0,False,False,False
C_SCLDGN,2,0,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.7688888888888888,0.7288888888888888,0.7911111111111111,0.022222222222222254,0.3588888888888888,0.25222222222222224,0.17444444444444446,-0.18444444444444436,-0.10666666666666658,,4,True,False,False
A_SUBJECT_GRL_EEGNET,2,1,A0_TASK_ONLY_EEGNET,A1_SUBJECT_GRL_EEGNET_L0100,0.7422222222222223,0.76,0.7399999999999999,-0.0022222222222224586,0.30666666666666664,0.31666666666666665,0.2688888888888889,-0.037777777777777743,0.010000000000000009,0.1,4,True,False,False
B_EEG_DG,2,1,B0_EEG_DG_TASK_ONLY,B1_EEG_DG_FULL,0.7833333333333334,0.7633333333333333,0.7544444444444445,-0.028888888888888964,0.2588888888888889,0.29555555555555557,0.43000000000000005,0.17111111111111116,0.03666666666666668,,0,False,False,False
C_SCLDGN,2,1,C0_SCLDGN_TASK_ONLY,C1_SCLDGN_FULL,0.7566666666666666,0.7688888888888888,0.778888888888889,0.022222222222222365,0.32,0.2733333333333334,0.13666666666666666,-0.18333333333333335,-0.046666666666666634,,0,False,False,False
