status,mode,fold,seed,method_id,role,family,best_epoch,best_eval_BA,epochs_executed,parameter_count,checkpoint,elapsed_seconds,train_rows,eval_rows,outer_test_used,outer_membership_enumerated,paired_initialization,paired_order_seed
COMPLETE,smoke,0,777,A0_TASK_ONLY_EEGNET,T_anchor,A,3,0.565,3,40532,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1_1\outputs\smoke\fold-0\seed-777\A0_TASK_ONLY_EEGNET__T_anchor\best.pt,2.429619073867798,1600,200,False,False,False,349928018
COMPLETE,smoke,0,777,A1_SUBJECT_GRL_EEGNET_L0100,I_invariant,A,3,0.565,3,40532,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1_1\outputs\smoke\fold-0\seed-777\A1_SUBJECT_GRL_EEGNET_L0100__I_invariant\best.pt,1.7153050899505615,1600,200,False,False,True,694569593
COMPLETE,smoke,0,777,B0_EEG_DG_TASK_ONLY,T_anchor,B,3,0.54,3,405796,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1_1\outputs\smoke\fold-0\seed-777\B0_EEG_DG_TASK_ONLY__T_anchor\best.pt,3.5993459224700928,1600,200,False,False,False,431128472
COMPLETE,smoke,0,777,B1_EEG_DG_FULL,I_invariant,B,3,0.525,3,405796,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1_1\outputs\smoke\fold-0\seed-777\B1_EEG_DG_FULL__I_invariant\best.pt,3.851672649383545,1600,200,False,False,True,1615762793
COMPLETE,smoke,0,777,C0_SCLDGN_TASK_ONLY,T_anchor,C,3,0.505,3,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1_1\outputs\smoke\fold-0\seed-777\C0_SCLDGN_TASK_ONLY__T_anchor\best.pt,1.450801134109497,1600,200,False,False,False,844140079
COMPLETE,smoke,0,777,C1_SCLDGN_FULL,I_invariant,C,3,0.5,3,79349,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1_1\outputs\smoke\fold-0\seed-777\C1_SCLDGN_FULL__I_invariant\best.pt,4.262892484664917,1600,200,False,False,True,1358146288
