family,fold,seed,subject_id,T_anchor_BA,T_replica_BA,invariant_BA,delta_BA_INV,T_anchor_ID,T_replica_ID,invariant_ID,delta_ID,replica_delta_ID,outer_test_used,outer_membership_enumerated
A_SUBJECT_GRL_EEGNET,0,0,1,0.62,0.69,0.61,-0.01,0.22,0.21,0.16,-0.06,-0.01,False,False
A_SUBJECT_GRL_EEGNET,0,0,3,0.8400000000000001,0.88,0.8400000000000001,0.0,0.54,0.46,0.62,0.0799999999999999,-0.08,False,False
A_SUBJECT_GRL_EEGNET,0,0,6,0.91,0.91,0.92,0.01,0.4,0.5,0.42,0.0199999999999999,0.0999999999999999,False,False
A_SUBJECT_GRL_EEGNET,0,0,10,0.63,0.69,0.64,0.01,0.75,0.81,0.67,-0.0799999999999999,0.06,False,False
A_SUBJECT_GRL_EEGNET,0,0,17,0.6000000000000001,0.6,0.61,0.0099999999999998,0.11,0.5,0.11,0.0,0.39,False,False
A_SUBJECT_GRL_EEGNET,0,0,28,0.8400000000000001,0.85,0.8200000000000001,-0.02,0.11,0.37,0.11,0.0,0.26,False,False
A_SUBJECT_GRL_EEGNET,0,0,45,0.65,0.69,0.64,-0.01,0.9,0.9,0.82,-0.08,0.0,False,False
A_SUBJECT_GRL_EEGNET,0,0,48,0.64,0.72,0.6599999999999999,0.0199999999999999,0.23,0.26,0.22,-0.01,0.03,False,False
A_SUBJECT_GRL_EEGNET,0,0,54,0.7,0.77,0.71,0.01,0.12,0.21,0.16,0.04,0.09,False,False
B_EEG_DG,0,0,1,0.63,0.6799999999999999,0.55,-0.0799999999999999,0.37,0.11,0.3,-0.07,-0.26,False,False
B_EEG_DG,0,0,3,0.9,0.8400000000000001,0.8200000000000001,-0.0799999999999999,0.19,0.35,0.48,0.29,0.1599999999999999,False,False
B_EEG_DG,0,0,6,0.93,0.95,0.92,-0.01,0.35,0.3,0.33,-0.0199999999999999,-0.0499999999999999,False,False
B_EEG_DG,0,0,10,0.7,0.6799999999999999,0.61,-0.0899999999999999,0.62,0.8,0.97,0.35,0.18,False,False
B_EEG_DG,0,0,17,0.4599999999999999,0.61,0.54,0.08,0.02,0.01,0.22,0.2,-0.01,False,False
B_EEG_DG,0,0,28,0.91,0.8300000000000001,0.63,-0.2799999999999999,0.17,0.17,0.24,0.0699999999999999,0.0,False,False
B_EEG_DG,0,0,45,0.8300000000000001,0.74,0.48,-0.3500000000000001,0.92,0.91,0.85,-0.07,-0.01,False,False
B_EEG_DG,0,0,48,0.67,0.69,0.63,-0.04,0.19,0.27,0.43,0.24,0.08,False,False
B_EEG_DG,0,0,54,0.74,0.7,0.62,-0.12,0.15,0.24,0.44,0.29,0.09,False,False
C_SCLDGN,0,0,1,0.6499999999999999,0.74,0.74,0.09,0.1,0.26,0.07,-0.03,0.16,False,False
C_SCLDGN,0,0,3,0.93,0.88,0.8999999999999999,-0.03,0.29,0.37,0.13,-0.1599999999999999,0.08,False,False
C_SCLDGN,0,0,6,0.91,0.92,0.92,0.01,0.1,0.2,0.09,-0.01,0.1,False,False
C_SCLDGN,0,0,10,0.6900000000000001,0.63,0.5700000000000001,-0.12,0.6,0.62,0.5,-0.0999999999999999,0.02,False,False
C_SCLDGN,0,0,17,0.57,0.63,0.52,-0.0499999999999999,0.03,0.18,0.12,0.09,0.15,False,False
